Committing increasingly large files

git_version: git version 2.1.4
data_gen:    sparse

date:        2016-09-13T23:50:56.496561
commandline: ./increasing_file_size.py 10 34 --mag-steps=2 --data-gen=sparse
testversion: 40bd511 Gather platform info
hostname:    vcstest
platform:    Linux-3.16.0-4-amd64-x86_64-with-debian-8.5
memtotal:    1024412 kB
memfree:     611932 kB

fsinfo:
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        29G  2.7G   25G  10% /


magnitude             filebytes  filehsize  create_time  commit_time             repobytes  repohsize
       10                   400     1.0KiB        0.000        0.009                 27000   156.0KiB
       10                   600     1.5KiB        0.000        0.012                 27000   156.0KiB
       11                   800     2.0KiB        0.000        0.009                 27000   156.0KiB
       11                   c00     3.0KiB        0.000        0.019                 27000   156.0KiB
       12                  1000     4.0KiB        0.000        0.017                 27000   156.0KiB
       12                  1800     6.0KiB        0.000        0.017                 27000   156.0KiB
       13                  2000     8.0KiB        0.000        0.017                 27000   156.0KiB
       13                  3000    12.0KiB        0.000        0.010                 27000   156.0KiB
       14                  4000    16.0KiB        0.000        0.008                 27000   156.0KiB
       14                  6000    24.0KiB        0.000        0.011                 27000   156.0KiB
       15                  8000    32.0KiB        0.000        0.010                 27000   156.0KiB
       15                  c000    48.0KiB        0.000        0.016                 27000   156.0KiB
       16                 10000    64.0KiB        0.000        0.016                 27000   156.0KiB
       16                 18000    96.0KiB        0.000        0.020                 27000   156.0KiB
       17                 20000   128.0KiB        0.000        0.020                 27000   156.0KiB
       17                 30000   192.0KiB        0.000        0.013                 27000   156.0KiB
       18                 40000   256.0KiB        0.000        0.023                 27000   156.0KiB
       18                 60000   384.0KiB        0.000        0.024                 27000   156.0KiB
       19                 80000   512.0KiB        0.000        0.022                 27000   156.0KiB
       19                 c0000   768.0KiB        0.000        0.029                 27000   156.0KiB
       20                100000     1.0MiB        0.001        0.032                 28000   160.0KiB
       20                180000     1.5MiB        0.000        0.040                 28000   160.0KiB
       21                200000     2.0MiB        0.000        0.049                 29000   164.0KiB
       21                300000     3.0MiB        0.000        0.070                 2a000   168.0KiB
       22                400000     4.0MiB        0.000        0.091                 2b000   172.0KiB
       22                600000     6.0MiB        0.000        0.121                 2d000   180.0KiB
       23                800000     8.0MiB        0.000        0.157                 2f000   188.0KiB
       23                c00000    12.0MiB        0.000        0.213                 34000   208.0KiB
       24               1000000    16.0MiB        0.000        0.177                 38000   224.0KiB
       24               1800000    24.0MiB        0.000        0.376                 41000   260.0KiB
       25               2000000    32.0MiB        0.000        0.520                 4a000   296.0KiB
       25               3000000    48.0MiB        0.000        0.725                 5c000   368.0KiB
       26               4000000    64.0MiB        0.000        0.596                 6e000   440.0KiB
       26               6000000    96.0MiB        0.000        0.873                 92000   584.0KiB
       27               8000000   128.0MiB        0.000        1.157                 b5000   724.0KiB
       27               c000000   192.0MiB        0.000        1.710                 fd000  1012.0KiB
       28              10000000   256.0MiB        0.000        2.309                144000     1.3MiB
       28              18000000   384.0MiB        0.000        3.421                1d3000     1.8MiB
       29              20000000   512.0MiB        0.000        4.552                262000     2.4MiB
       29              30000000   768.0MiB        0.000        7.884                 e6000   920.0KiB
       30              40000000     1.0GiB        0.000       10.579                125000     1.1MiB
       30              60000000     1.5GiB        0.000       15.815                1a5000     1.6MiB
       31              80000000     2.0GiB        0.000       21.059                224000     2.1MiB
       31              c0000000     3.0GiB        0.000       31.519                323000     3.1MiB
       32             100000000     4.0GiB        0.000       87.478                422000     4.1MiB
       32             180000000     6.0GiB        0.000       63.393                61f000     6.1MiB
       33             200000000     8.0GiB        0.000      168.347                81d000     8.1MiB
       33             300000000    12.0GiB        0.000      253.723                c18000    12.1MiB
