# Committing increasingly large files
# 
# vcs:         bup
# vcs_version: debian/0.25-1
# data_gen:    random
# 
# date:        2016-10-07T16:15:50.577842
# commandline: ./increasing_file_size.py bup 0 37 --mag-step=2 --data-gen=random --tmp=~/tmp
# testversion: ae2c960 Indent multiline environment info
# hostname:    murphytest04
# platform:    Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:    8064260 kB
# memfree:     7887296 kB
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-home  203G   92M  192G   1% /home
#     
# 
magnitude     filebytes  filehsize  create_time  commit1_tim  commit1_size  commit1_ratio  commit2_tim  commit2_size  commit2_ratio      gc_time       gc_size  gc_ratio  errors
        0  0x0000000001       1.0B        0.000        0.499  0x0000024000      147456.00        0.908  0x0000026000      155648.00        0.003  0x0000026000  155648.00   False
        0  0x0000000001       1.0B        0.000        0.937  0x0000024000      147456.00        0.995  0x0000026000      155648.00        0.003  0x0000026000  155648.00   False
        1  0x0000000002       2.0B        0.000        0.925  0x0000024000       73728.00        1.002  0x0000026000       77824.00        0.003  0x0000026000  77824.00   False
        1  0x0000000003       3.0B        0.000        0.928  0x0000024000       49152.00        0.998  0x0000026000       51882.67        0.003  0x0000026000  51882.67   False
        2  0x0000000004       4.0B        0.000        0.915  0x0000024000       36864.00        1.001  0x0000026000       38912.00        0.003  0x0000026000  38912.00   False
        2  0x0000000006       6.0B        0.000        0.929  0x0000024000       24576.00        0.996  0x0000026000       25941.33        0.003  0x0000026000  25941.33   False
        3  0x0000000008       8.0B        0.000        0.928  0x0000024000       18432.00        0.985  0x0000026000       19456.00        0.002  0x0000026000  19456.00   False
        3  0x000000000c      12.0B        0.000        0.930  0x0000024000       12288.00        1.002  0x0000026000       12970.67        0.003  0x0000026000  12970.67   False
        4  0x0000000010      16.0B        0.000        0.919  0x0000024000        9216.00        1.006  0x0000026000        9728.00        0.003  0x0000026000   9728.00   False
        4  0x0000000018      24.0B        0.000        0.927  0x0000024000        6144.00        0.992  0x0000026000        6485.33        0.003  0x0000026000   6485.33   False
        5  0x0000000020      32.0B        0.000        0.922  0x0000024000        4608.00        1.003  0x0000026000        4864.00        0.002  0x0000026000   4864.00   False
        5  0x0000000030      48.0B        0.000        0.935  0x0000024000        3072.00        1.001  0x0000026000        3242.67        0.003  0x0000026000   3242.67   False
        6  0x0000000040      64.0B        0.000        0.939  0x0000024000        2304.00        0.987  0x0000026000        2432.00        0.003  0x0000026000   2432.00   False
        6  0x0000000060      96.0B        0.000        0.923  0x0000024000        1536.00        0.988  0x0000026000        1621.33        0.003  0x0000026000   1621.33   False
        7  0x0000000080     128.0B        0.000        0.939  0x0000024000        1152.00        1.005  0x0000026000        1216.00        0.003  0x0000026000   1216.00   False
        7  0x00000000c0     192.0B        0.000        0.926  0x0000024000         768.00        0.995  0x0000026000         810.67        0.003  0x0000026000    810.67   False
        8  0x0000000100     256.0B        0.000        0.927  0x0000024000         576.00        0.990  0x0000026000         608.00        0.003  0x0000026000    608.00   False
        8  0x0000000180     384.0B        0.000        0.929  0x0000024000         384.00        0.998  0x0000026000         405.33        0.003  0x0000026000    405.33   False
        9  0x0000000200     512.0B        0.000        0.937  0x0000024000         288.00        0.976  0x0000026000         304.00        0.002  0x0000026000    304.00   False
        9  0x0000000300     768.0B        0.000        0.933  0x0000024000         192.00        1.000  0x0000026000         202.67        0.003  0x0000026000    202.67   False
       10  0x0000000400     1.0KiB        0.000        0.924  0x0000024000         144.00        1.001  0x0000026000         152.00        0.003  0x0000026000    152.00   False
       10  0x0000000600     1.5KiB        0.000        0.929  0x0000024000          96.00        0.993  0x0000026000         101.33        0.003  0x0000026000    101.33   False
       11  0x0000000800     2.0KiB        0.000        0.930  0x0000024000          72.00        0.989  0x0000026000          76.00        0.003  0x0000026000     76.00   False
       11  0x0000000c00     3.0KiB        0.000        0.936  0x0000024000          48.00        1.016  0x0000026000          50.67        0.003  0x0000026000     50.67   False
       12  0x0000001000     4.0KiB        0.001        0.921  0x0000025000          37.00        0.987  0x0000028000          40.00        0.003  0x0000028000     40.00   False
       12  0x0000001800     6.0KiB        0.001        0.921  0x0000026000          25.33        1.005  0x0000029000          27.33        0.003  0x0000029000     27.33   False
       13  0x0000002000     8.0KiB        0.001        0.924  0x0000027000          19.50        1.004  0x000002a000          21.00        0.002  0x000002a000     21.00   False
       13  0x0000003000    12.0KiB        0.001        0.927  0x0000029000          13.67        1.002  0x000002c000          14.67        0.003  0x000002c000     14.67   False
       14  0x0000004000    16.0KiB        0.001        0.914  0x000002b000          10.75        0.999  0x000002f000          11.75        0.002  0x000002f000     11.75   False
       14  0x0000006000    24.0KiB        0.002        0.938  0x000002f000           7.83        0.997  0x0000032000           8.33        0.003  0x0000032000      8.33   False
       15  0x0000008000    32.0KiB        0.002        0.923  0x0000033000           6.38        0.993  0x000003a000           7.25        0.002  0x000003a000      7.25   False
       15  0x000000c000    48.0KiB        0.005        0.932  0x000003b000           4.92        0.986  0x0000040000           5.33        0.003  0x0000040000      5.33   False
       16  0x0000010000    64.0KiB        0.004        0.939  0x0000043000           4.19        0.982  0x0000048000           4.50        0.003  0x0000048000      4.50   False
       16  0x0000018000    96.0KiB        0.008        0.923  0x0000053000           3.46        0.991  0x000005d000           3.88        0.003  0x000005d000      3.88   False
       17  0x0000020000   128.0KiB        0.009        0.923  0x0000063000           3.09        1.025  0x000006d000           3.41        0.002  0x000006d000      3.41   False
       17  0x0000030000   192.0KiB        0.015        0.899  0x0000083000           2.73        0.985  0x0000088000           2.83        0.002  0x0000088000      2.83   False
       18  0x0000040000   256.0KiB        0.019        0.924  0x00000a3000           2.55        0.998  0x00000a9000           2.64        0.003  0x00000a9000      2.64   False
       18  0x0000060000   384.0KiB        0.027        0.912  0x00000e3000           2.36        0.982  0x00000e9000           2.43        0.003  0x00000e9000      2.43   False
       19  0x0000080000   512.0KiB        0.037        0.913  0x0000123000           2.27        0.982  0x0000127000           2.30        0.003  0x0000127000      2.30   False
       19  0x00000c0000   768.0KiB        0.052        0.905  0x00001a5000           2.19        0.968  0x00001ac000           2.23        0.003  0x00001ac000      2.23   False
       20  0x0000100000     1.0MiB        0.069        0.873  0x0000225000           2.14        0.973  0x000022d000           2.18        0.003  0x000022d000      2.18   False
       20  0x0000180000     1.5MiB        0.105        0.899  0x0000326000           2.10        0.943  0x0000329000           2.11        0.003  0x0000329000      2.11   False
       21  0x0000200000     2.0MiB        0.138        0.847  0x0000428000           2.08        0.929  0x000042d000           2.09        0.002  0x000042d000      2.09   False
       21  0x0000300000     3.0MiB        0.207        0.834  0x000062a000           2.05        0.912  0x0000630000           2.06        0.003  0x0000630000      2.06   False
       22  0x0000400000     4.0MiB        0.273        0.775  0x000082c000           2.04        0.898  0x0000831000           2.05        0.003  0x0000831000      2.05   False
       22  0x0000600000     6.0MiB        0.413        0.715  0x0000c32000           2.03        0.841  0x0000c39000           2.04        0.003  0x0000c39000      2.04   False
       23  0x0000800000     8.0MiB        0.548        1.608  0x0001036000           2.03        0.796  0x0001041000           2.03        0.003  0x0001041000      2.03   False
       23  0x0000c00000    12.0MiB        0.819        1.477  0x000183f000           2.02        0.704  0x0001845000           2.02        0.003  0x0001845000      2.02   False
       24  0x0001000000    16.0MiB        1.095        1.282  0x000204a000           2.02        0.589  0x0002052000           2.02        0.003  0x0002052000      2.02   False
       24  0x0001800000    24.0MiB        1.641        2.031  0x000305e000           2.02        1.396  0x000306c000           2.02        0.003  0x000306c000      2.02   False
       25  0x0002000000    32.0MiB        2.187        1.698  0x0004074000           2.01        1.202  0x0004080000           2.02        0.003  0x0004080000      2.02   False
       25  0x0003000000    48.0MiB        3.278        3.105  0x000609b000           2.01        1.835  0x00060ab000           2.01        0.003  0x00060ab000      2.01   False
       26  0x0004000000    64.0MiB        4.371        3.383  0x00080c4000           2.01        1.431  0x00080db000           2.01        0.003  0x00080db000      2.01   False
       26  0x0006000000    96.0MiB        6.555        5.306  0x000c112000           2.01        2.583  0x000c131000           2.01        0.003  0x000c131000      2.01   False
       27  0x0008000000   128.0MiB        8.738        5.934  0x0010167000           2.01        2.803  0x001018c000           2.01        0.003  0x001018c000      2.01   False
       27  0x000c000000   192.0MiB       13.110        8.689  0x00181fe000           2.01        4.275  0x0018233000           2.01        0.003  0x0018233000      2.01   False
       28  0x0010000000   256.0MiB       17.476       11.865  0x00202a9000           2.01        5.512  0x00202ee000           2.01        0.003  0x00202ee000      2.01   False
       28  0x0018000000   384.0MiB       26.220       17.540  0x00303db000           2.01        7.420  0x0030443000           2.01        0.003  0x0030443000      2.01   False
       29  0x0020000000   512.0MiB       34.961       22.817  0x004052f000           2.01        9.915  0x00405b6000           2.01        0.003  0x00405b6000      2.01   False
       29  0x0030000000   768.0MiB       52.456       33.413  0x006078e000           2.01       22.743  0x0060857000           2.01        0.003  0x0060857000      2.01   False
       30  0x0040000000     1.0GiB       70.053       44.298  0x0080a37000           2.01       19.982  0x0080b3c000           2.01        0.003  0x0080b3c000      2.01   False
       30  0x0060000000     1.5GiB      105.137       66.477  0x00c0f0d000           2.01       36.269  0x00c10a5000           2.01        0.003  0x00c10a5000      2.01   False
       31  0x0080000000     2.0GiB      140.304       89.098  0x01013cd000           2.01       41.962  0x01015da000           2.01        0.003  0x01015da000      2.01   False
       31  0x00c0000000     3.0GiB      210.267      132.588  0x0181ded000           2.01       60.885  0x01820f9000           2.01        0.002  0x01820f9000      2.01   False
       32  0x0100000000     4.0GiB      280.644      176.580  0x020286d000           2.01       82.925  0x0203690000           2.01        0.002  0x0203690000      2.01   False
       32  0x0180000000     6.0GiB      421.170      265.785  0x0304ac8000           2.01      124.726  0x03050df000           2.01        0.003  0x03050df000      2.01   False
       33  0x0200000000     8.0GiB      561.892      496.256  0x0405e1c000           2.01      167.127  0x040714f000           2.01        0.003  0x040714f000      2.01   False
       33  0x0300000000    12.0GiB      842.400      754.128  0x060958a000           2.01      246.144  0x060b9e3000           2.02        0.003  0x060b9e3000      2.02   False
       34  0x0400000000    16.0GiB     1124.187     1020.118  0x080e105000           2.01      332.278  0x080e202000           2.01        0.003  0x080e202000      2.01   False
       34  0x0600000000    24.0GiB     1689.165     1584.849  0x0c1581f000           2.01      508.473  0x0c15512000           2.01        0.003  0x0c15512000      2.01   False
       35  0x0800000000    32.0GiB     2259.461     2117.255  0x101a24c000           2.01      745.205  0x101c2a3000           2.01        0.003  0x101c2a3000      2.01   False
       35  0x0c00000000    48.0GiB     3392.176     3143.006  0x18273e5000           2.01      989.691  0x182a46f000           2.01        0.004  0x182a46f000      2.01   False
       36  0x1000000000    64.0GiB     4549.084     4268.288  0x203ab97000           2.01     1456.940  0x2038813000           2.01        0.004  0x2038813000      2.01   False
       36  0x1800000000    96.0GiB     6783.212     6492.811  0x2fe89de000           2.00        0.303  0x2fe89de000           2.00        0.003  0x2fe89de000      2.00    True
