# Committing increasingly large files
# 
# vcs:         git
# vcs_version: git version 2.1.4
# data_gen:    random
# 
# date:          2016-10-21T18:45:30.784713
# commandline:   ./increasing_file_size.py git 0 38 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   2759e67 Do an initial reformat just in case
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7920708 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize   cre_time    c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait    c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait    gc_time       gc_size   gc_cmd   gc_repo     gc_user     gc_nice   gc_system     gc_idle   gc_iowait
  0  0x0000000001      1.0B      0.000      0.005  0x0000028000       ok  verified   assumed           1           0           0           1           0      0.008  0x000002e000       ok  verified   assumed           1           0           1           0           0      0.129  0x0000026000       ok   assumed           0           0           0          15           9
  0  0x0000000001      1.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           0           1           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           1           0      0.121  0x0000026000       ok   assumed           1           0           1          13           9
  1  0x0000000002      2.0B      0.000      0.005  0x0000028000       ok  verified   assumed           1           0           0           0           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           1           0      0.103  0x0000026000       ok   assumed           0           0           2          11           9
  1  0x0000000003      3.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           0           0           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           1           0      0.103  0x0000026000       ok   assumed           1           0           1          11           9
  2  0x0000000004      4.0B      0.000      0.005  0x0000028000       ok  verified   assumed           1           0           1           1           0      0.005  0x000002d000       ok  verified   assumed           0           0           0           0           0      0.155  0x0000026000       ok   assumed           1           0           2          11          18
  2  0x0000000006      6.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           1           0      0.005  0x000002e000       ok  verified   assumed           0           0           0           1           0      0.114  0x0000026000       ok   assumed           1           0           1          11          10
  3  0x0000000008      8.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           0           0           0      0.005  0x000002e000       ok  verified   assumed           0           0           0           1           0      0.101  0x0000026000       ok   assumed           0           0           1          10           9
  3  0x000000000c     12.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           0           0           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           1           0      0.122  0x0000026000       ok   assumed           1           0           1          12          11
  4  0x0000000010     16.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           0           0           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           1           0      0.115  0x0000026000       ok   assumed           1           0           0          12          10
  4  0x0000000018     24.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           0           0      0.005  0x000002e000       ok  verified   assumed           1           0           0           1           0      0.109  0x0000026000       ok   assumed           1           0           2          11          10
  5  0x0000000020     32.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           1           0      0.005  0x000002e000       ok  verified   assumed           0           0           0           0           0      0.122  0x0000026000       ok   assumed           1           0           1          12          11
  5  0x0000000030     48.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           0           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           0           0      0.132  0x0000026000       ok   assumed           0           0           1          13          12
  6  0x0000000040     64.0B      0.000      0.005  0x0000028000       ok  verified   assumed           1           0           0           1           0      0.005  0x000002e000       ok  verified   assumed           1           0           0           1           0      0.092  0x0000026000       ok   assumed           1           0           2           9           7
  6  0x0000000060     96.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           0           1           0      0.005  0x000002d000       ok  verified   assumed           0           0           0           0           0      0.128  0x0000026000       ok   assumed           0           0           1          14          11
  7  0x0000000080    128.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           0           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           1           0      0.144  0x0000026000       ok   assumed           1           0           1          15          13
  7  0x00000000c0    192.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           1           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           0           0      0.099  0x0000026000       ok   assumed           0           0           1          10           9
  8  0x0000000100    256.0B      0.000      0.005  0x0000028000       ok  verified   assumed           1           0           0           1           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           0           0      0.119  0x0000026000       ok   assumed           0           0           1          12          10
  8  0x0000000180    384.0B      0.000      0.005  0x0000028000       ok  verified   assumed           1           0           1           0           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           1           0      0.163  0x0000026000       ok   assumed           0           0           2          16          15
  9  0x0000000200    512.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           1           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           1           0      0.130  0x0000026000       ok   assumed           0           0           1          13          11
  9  0x0000000300    768.0B      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           1           1      0.006  0x000002e000       ok  verified   assumed           1           0           1           0           0      0.118  0x0000026000       ok   assumed           0           0           2          12          10
 10  0x0000000400    1.0KiB      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           0           1           0      0.005  0x000002e000       ok  verified   assumed           1           0           0           0           0      0.121  0x0000026000       ok   assumed           0           0           2          12          11
 10  0x0000000600    1.5KiB      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           1           0           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           1           0      0.127  0x0000026000       ok   assumed           0           0           1          13          11
 11  0x0000000800    2.0KiB      0.000      0.005  0x0000028000       ok  verified   assumed           0           0           0           0           0      0.005  0x000002e000       ok  verified   assumed           0           0           1           0           0      0.107  0x0000026000       ok   assumed           0           0           1          11           9
 11  0x0000000c00    3.0KiB      0.000      0.008  0x0000028000       ok  verified   assumed           1           0           0           1           0      0.005  0x000002e000       ok  verified   assumed           0           0           0           1           0      0.130  0x0000026000       ok   assumed           1           0           1          13          12
 12  0x0000001000    4.0KiB      0.000      0.005  0x0000029000       ok  verified   assumed           0           0           0           1           0      0.005  0x0000030000       ok  verified   assumed           0           0           1           1           0      0.158  0x0000027000       ok   assumed           1           0           1          16          14
 12  0x0000001800    6.0KiB      0.001      0.005  0x000002a000       ok  verified   assumed           0           0           1           0           1      0.005  0x0000031000       ok  verified   assumed           0           0           1           1           0      0.115  0x0000028000       ok   assumed           0           0           1          10          12
 13  0x0000002000    8.0KiB      0.001      0.005  0x000002b000       ok  verified   assumed           0           0           0           1           0      0.006  0x0000033000       ok  verified   assumed           0           0           1           1           0      0.098  0x0000029000       ok   assumed           0           0           2          10           8
 13  0x0000003000   12.0KiB      0.001      0.005  0x000002d000       ok  verified   assumed           0           0           0           1           0      0.006  0x0000035000       ok  verified   assumed           0           0           0           1           0      0.099  0x000002b000       ok   assumed           0           0           1          10           8
 14  0x0000004000   16.0KiB      0.001      0.009  0x000002f000       ok  verified   assumed           1           0           0           1           0      0.007  0x0000039000       ok  verified   assumed           0           0           1           1           0      0.102  0x000002d000       ok   assumed           1           0           0          10           9
 14  0x0000006000   24.0KiB      0.002      0.006  0x0000033000       ok  verified   assumed           0           0           1           0           0      0.006  0x000003f000       ok  verified   assumed           1           0           1           0           0      0.139  0x0000031000       ok   assumed           1           0           1          14          12
 15  0x0000008000   32.0KiB      0.002      0.006  0x0000037000       ok  verified   assumed           0           0           1           1           0      0.007  0x0000045000       ok  verified   assumed           0           0           1           1           0      0.100  0x0000035000       ok   assumed           1           0           1          11           8
 15  0x000000c000   48.0KiB      0.003      0.007  0x000003f000       ok  verified   assumed           0           0           1           1           0      0.011  0x0000051000       ok  verified   assumed           0           0           1           2           0      0.145  0x000003d000       ok   assumed           1           0           2          14          14
 16  0x0000010000   64.0KiB      0.004      0.009  0x0000047000       ok  verified   assumed           1           0           1           1           0      0.010  0x000005d000       ok  verified   assumed           0           0           1           1           0      0.105  0x0000045000       ok   assumed           1           0           0          10           9
 16  0x0000018000   96.0KiB      0.007      0.012  0x0000057000       ok  verified   assumed           1           0           0           1           0      0.011  0x0000075000       ok  verified   assumed           1           0           1           1           0      0.127  0x0000055000       ok   assumed           1           0           2          13          10
 17  0x0000020000  128.0KiB      0.009      0.010  0x0000067000       ok  verified   assumed           1           0           1           1           0      0.012  0x000008d000       ok  verified   assumed           1           0           0           1           0      0.118  0x0000065000       ok   assumed           2           0           0          11          10
 17  0x0000030000  192.0KiB      0.015      0.013  0x0000087000       ok  verified   assumed           1           0           1           1           0      0.018  0x00000bd000       ok  verified   assumed           2           0           1           2           0      0.155  0x0000085000       ok   assumed           2           0           0          15          12
 18  0x0000040000  256.0KiB      0.022      0.016  0x00000a7000       ok  verified   assumed           1           0           1           2           0      0.024  0x00000ed000       ok  verified   assumed           2           0           0           2           0      0.138  0x00000a5000       ok   assumed           2           0           2          14          12
 18  0x0000060000  384.0KiB      0.026      0.025  0x00000e7000       ok  verified   assumed           2           0           0           3           0      0.033  0x000014d000       ok  verified   assumed           4           0           0           3           0      0.136  0x00000e5000       ok   assumed           2           0           2          14          10
