# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       d/f/c/f/b1922cd4e09ad126d6f3f85b180f8657ccb0
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          4
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:04:12.768415
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=04 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7438904 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1          4         1         5         1        ok       0.000  0x005cd3800  0x000186400  0x00594d400        25688          18        25670  b/3/0/7/0022c44bc8064575aab16498430a1e3586ba
    0x1000          1          4         2         9         1        ok       0.000  0x005cd3800  0x000188800  0x00594b000        25688          23        25665  3/8/a/6/66152fe64024ee49d0541459d4f54d7b71d7
    0x1000          1          4         3        13         1        ok       0.000  0x005cd3800  0x00018ac00  0x005948c00        25688          28        25660  0/d/0/1/96fce18764fbf2304402d3bbec18a9e6053a
    0x1000          1          4         4        17         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          33        25655  1/0/a/1/6ad871bbb8fa25f9435772ff601ca98594e4
    0x1000          1          4         5        20         1        ok       0.000  0x005cd3800  0x00018f000  0x005944800        25688          37        25651  1/c/6/b/9d9ff3f663857e6b9f1b7ab2ac5c78ad75d9
    0x1000          1          4         6        24         1        ok       0.000  0x005cd3800  0x000191400  0x005942400        25688          42        25646  2/5/e/1/432e3a46e2155fda3cdb0c6db996d9b15101
    0x1000          1          4         7        28         1        ok       0.000  0x005cd3800  0x000193800  0x005940000        25688          47        25641  8/5/7/a/96a7a1944070c5dd0b55bbd9934af07e3125
    0x1000          1          4         8        32         1        ok       0.000  0x005cd3800  0x000195c00  0x00593dc00        25688          52        25636  7/e/3/6/62bef90e1485ed6e7222980ccb2bd76f6e09
    0x1000          1          4         9        35         1        ok       0.000  0x005cd3800  0x000197c00  0x00593bc00        25688          56        25632  3/4/8/d/fcea819d166b52e5dcefde8654ea0b6cddb1
    0x1000          1          4        10        38         1        ok       0.000  0x005cd3800  0x000199c00  0x005939c00        25688          60        25628  b/7/4/6/72ac1f973e8ca64a0254d298543028cae405
    0x1000          1          4        11        41         1        ok       0.000  0x005cd3800  0x00019bc00  0x005937c00        25688          64        25624  1/5/9/8/d0243761dc4ddb7d429ef96104b6c455352c
    0x1000          1          4        12        45         1        ok       0.000  0x005cd3800  0x00019e000  0x005935800        25688          69        25619  5/7/d/6/fb5b25368a65ca5fba5ace95b3d2e27c1326
    0x1000          1          4        13        49         1        ok       0.000  0x005cd3800  0x0001a0400  0x005933400        25688          74        25614  c/c/2/b/247ecf9545986717a9c0e513a80a806a0edf
    0x1000          1          4        14        52         1        ok       0.000  0x005cd3800  0x0001a2400  0x005931400        25688          78        25610  3/b/9/5/0ce1e43bf4153b2d7ef769dee7df850b6779
    0x1000          1          4        15        55         1        ok       0.000  0x005cd3800  0x0001a4400  0x00592f400        25688          82        25606  c/2/1/a/d222103b0ddfc68e6f217cb48acce7606d0d
    0x1000          1          4        16        58         1        ok       0.000  0x005cd3800  0x0001a6400  0x00592d400        25688          86        25602  1/2/d/c/32fce71adc06591354e0378ee2fec88b60cb
    0x1000          1          4        17        62         1        ok       0.000  0x005cd3800  0x0001a8800  0x00592b000        25688          91        25597  f/1/a/2/fd26af30fd475cdb7cc8f5ad92ba1834a714
    0x1000          1          4        18        65         1        ok       0.000  0x005cd3800  0x0001aa800  0x005929000        25688          95        25593  2/0/8/d/09dac22779e1be9ba5898367b7681f533787
    0x1000          1          4        19        68         1        ok       0.000  0x005cd3800  0x0001ac800  0x005927000        25688          99        25589  b/d/0/5/52574b73f6a52c7be5551c535ee9e6eb469e
    0x1000          1          4        20        71         1        ok       0.000  0x005cd3800  0x0001ae800  0x005925000        25688         103        25585  8/9/c/8/2207da1d71585ad5ae7f981d0ebcc3567f8b
    0x1000          1          4        21        73         1        ok       0.000  0x005cd3800  0x0001b0400  0x005923400        25688         106        25582  1/0/f/0/c2d65ac092934665d8b169a2bbf939657ad5
    0x1000          1          4        22        77         1        ok       0.000  0x005cd3800  0x0001b2800  0x005921000        25688         111        25577  9/3/f/3/d62a0a6dee7e6490ebef051ca76c8abbfe1b
    0x1000          1          4        23        81         1        ok       0.000  0x005cd3800  0x0001b4c00  0x00591ec00        25688         116        25572  6/3/6/d/d547dea79905b997acc872b4710ca5450d39
    0x1000          1          4        24        84         1        ok       0.000  0x005cd3800  0x0001b6c00  0x00591cc00        25688         120        25568  c/1/2/5/39b7514d58d6bbdab3478cb6e94ecd8ca3b4
    0x1000          1          4        25        86         1        ok       0.000  0x005cd3800  0x0001b8800  0x00591b000        25688         123        25565  c/c/9/f/512c95f44c6ff91d57f733c8a8b1324d2d67
    0x1000          1          4        26        89         1        ok       0.000  0x005cd3800  0x0001ba800  0x005919000        25688         127        25561  2/c/d/e/34b119722326a984dd8fd0bc3c1c1c091b3e
    0x1000          1          4        27        93         1        ok       0.000  0x005cd3800  0x0001bcc00  0x005916c00        25688         132        25556  4/9/b/9/2e961f2bae5c5e93dcec116af33283798d18
    0x1000          1          4        28        96         1        ok       0.000  0x005cd3800  0x0001bec00  0x005914c00        25688         136        25552  4/d/9/a/82d054674e961c7615d590f5e9088a75a26f
    0x1000          1          4        29        99         1        ok       0.000  0x005cd3800  0x0001c0c00  0x005912c00        25688         140        25548  f/f/5/4/9640350024a5cb1ec01913f9765b9a9dde0c
    0x1000          1          4        30       102         1        ok       0.000  0x005cd3800  0x0001c2c00  0x005910c00        25688         144        25544  6/b/4/5/85421fe0f2bbaa98210f520d384cc4e7e0c4
    0x1000          1          4        31       105         1        ok       0.000  0x005cd3800  0x0001c4c00  0x00590ec00        25688         148        25540  3/0/8/8/e442c2007267c648160b22ddcfbe5b48e8f7
    0x1000          1          4        32       108         1        ok       0.000  0x005cd3800  0x0001c6c00  0x00590cc00        25688         152        25536  8/3/5/7/7f6a736f5b3def6a2a73d5048d4c13d05b31
    0x1000          1          4        33       112         1        ok       0.000  0x005cd3800  0x0001c9000  0x00590a800        25688         157        25531  d/9/b/9/850d190879db2d3c1d0b050b670f30eda6fe
    0x1000          1          4        34       115         1        ok       0.000  0x005cd3800  0x0001cb000  0x005908800        25688         161        25527  4/6/8/b/af132ab20877f49a049d58e7892ffa989bc1
    0x1000          1          4        35       118         1        ok       0.000  0x005cd3800  0x0001cd000  0x005906800        25688         165        25523  2/3/a/2/d3fa3317b986b7bcf57b6e9f6313bf38a8a2
    0x1000          1          4        36       121         1        ok       0.000  0x005cd3800  0x0001cf000  0x005904800        25688         169        25519  8/c/0/9/d44d99eced5c55b667a38f5cc10d0f441794
    0x1000          1          4        37       124         1        ok       0.000  0x005cd3800  0x0001d1000  0x005902800        25688         173        25515  3/c/d/0/722b7eec482c3707ec52b848e512c7983cb8
    0x1000          1          4        38       127         1        ok       0.000  0x005cd3800  0x0001d3000  0x005900800        25688         177        25511  f/8/9/e/fc2f0f7cc7df8cd80da13bc0baf4343bb893
    0x1000          1          4        39       130         1        ok       0.000  0x005cd3800  0x0001d5000  0x0058fe800        25688         181        25507  5/2/4/4/01d33d4e88b81a4b079dcad8586ba9adb962
    0x1000          1          4        40       133         1        ok       0.000  0x005cd3800  0x0001d7000  0x0058fc800        25688         185        25503  7/3/6/f/c59f6536751d9759a19e2bc4de8366e2ed48
    0x1000          1          4        41       136         1        ok       0.000  0x005cd3800  0x0001d9000  0x0058fa800        25688         189        25499  0/a/2/c/7a35599053de7f1acc76cd6cc9527e79dff8
    0x1000          1          4        42       138         1        ok       0.000  0x005cd3800  0x0001dac00  0x0058f8c00        25688         192        25496  8/c/3/9/a4b4d53539fccfb241f9966db6b854380bcf
    0x1000          1          4        43       141         1        ok       0.000  0x005cd3800  0x0001dcc00  0x0058f6c00        25688         196        25492  1/8/a/2/b559836c82731c51961cff2a753f66a2f048
    0x1000          1          4        44       144         1        ok       0.000  0x005cd3800  0x0001dec00  0x0058f4c00        25688         200        25488  2/8/3/4/9c6914df48be8202a7108f759004efae20de
    0x1000          1          4        45       148         1        ok       0.000  0x005cd3800  0x0001e1000  0x0058f2800        25688         205        25483  a/d/b/1/7ebd5e6656f6cdaf454317ccbdcbee56e0d0
    0x1000          1          4        46       151         1        ok       0.000  0x005cd3800  0x0001e3000  0x0058f0800        25688         209        25479  8/f/9/6/4fef0e0a0091edcd384666d1a161b8c1d886
    0x1000          1          4        47       154         1        ok       0.000  0x005cd3800  0x0001e5000  0x0058ee800        25688         213        25475  9/0/2/1/880e1b851d73c069d28e4df4dd2b974fc4c0
    0x1000          1          4        48       156         1        ok       0.000  0x005cd3800  0x0001e6c00  0x0058ecc00        25688         216        25472  b/3/e/7/d9c8221aab087b4c740cc9d71179b5a7e3c7
    0x1000          1          4        49       158         1        ok       0.000  0x005cd3800  0x0001e8800  0x0058eb000        25688         219        25469  7/e/7/c/d1c216bf557b41440c80cff3913b94bc07c1
    0x1000          1          4        50       161         1        ok       0.000  0x005cd3800  0x0001ea800  0x0058e9000        25688         223        25465  f/3/a/0/675faafea6eb702ebb9064ce26af699cfe52
    0x1000          1          4        51       164         1        ok       0.000  0x005cd3800  0x0001ec800  0x0058e7000        25688         227        25461  8/d/0/b/4b8c57205fe720fd246b61cef8888619fbb0
    0x1000          1          4        52       167         1        ok       0.000  0x005cd3800  0x0001ee800  0x0058e5000        25688         231        25457  2/a/2/1/aff10ca0cac80fd4e98e88961dca9025ff26
    0x1000          1          4        53       169         1        ok       0.000  0x005cd3800  0x0001f0400  0x0058e3400        25688         234        25454  8/d/3/6/5da8f10ef111f77936036b525725d9521b99
    0x1000          1          4        54       172         1        ok       0.000  0x005cd3800  0x0001f2400  0x0058e1400        25688         238        25450  0/f/4/6/2ad71dda9cbfcbb227f5bfcf83b14168c48f
    0x1000          1          4        55       175         1        ok       0.000  0x005cd3800  0x0001f4400  0x0058df400        25688         242        25446  4/e/e/e/c54607d9f542662c7da953b3e72aaa5ffe31
    0x1000          1          4        56       179         1        ok       0.000  0x005cd3800  0x0001f6800  0x0058dd000        25688         247        25441  e/c/1/1/80cd93b699334652a89bca55afb5acd179e5
    0x1000          1          4        57       182         1        ok       0.000  0x005cd3800  0x0001f8800  0x0058db000        25688         251        25437  9/e/d/7/624854460e051850d4b821328fc6b0fa33a8
    0x1000          1          4        58       185         1        ok       0.000  0x005cd3800  0x0001fa800  0x0058d9000        25688         255        25433  8/0/c/9/9390767700060bb068b2df1042f7cfb94d60
