# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       e/4/d/3/0/3/1602cf1d7992814976ad499c805b3e8c02
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          6
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:05:53.011188
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=06 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7460648 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1          6         1         7         1        ok       0.000  0x005cd3800  0x000186c00  0x00594cc00        25688          20        25668  8/f/4/0/d/c/7c868b4a340649ef3c9f4973c2847d50bf
    0x1000          1          6         2        13         1        ok       0.000  0x005cd3800  0x000189800  0x00594a000        25688          27        25661  e/2/5/8/1/c/f25f701cbd19beb60ca88d0456cbbb7385
    0x1000          1          6         3        19         1        ok       0.000  0x005cd3800  0x00018c400  0x005947400        25688          34        25654  1/3/e/e/5/f/1952370b6676ab3ebd0a5b7bd95fcb2331
    0x1000          1          6         4        24         1        ok       0.000  0x005cd3800  0x00018ec00  0x005944c00        25688          40        25648  e/9/3/1/6/8/eb32a38b6c87165bd006089e78105de3c3
    0x1000          1          6         5        30         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          47        25641  b/f/a/b/5/1/fe053c8e30414dbce9516e49c9619477c9
    0x1000          1          6         6        36         1        ok       0.000  0x005cd3800  0x000194400  0x00593f400        25688          54        25634  2/1/f/c/6/d/95db5df41f819afba76f70aea951f0ddc6
    0x1000          1          6         7        42         1        ok       0.000  0x005cd3800  0x000197000  0x00593c800        25688          61        25627  9/2/5/5/b/0/11508ecbd3a1389a7876553bc2976563c0
    0x1000          1          6         8        48         1        ok       0.000  0x005cd3800  0x000199c00  0x005939c00        25688          68        25620  c/c/3/f/9/e/7f917433c3edef4ee78b8b55d7071cdc35
    0x1000          1          6         9        53         1        ok       0.000  0x005cd3800  0x00019c400  0x005937400        25688          74        25614  1/4/e/9/6/9/ec46c9906f8740aa0c4e1d244140e25ed9
    0x1000          1          6        10        59         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          81        25607  3/0/c/9/0/6/0c5c57c8e8b2dbdd8af1cb6f5526127566
    0x1000          1          6        11        65         1        ok       0.000  0x005cd3800  0x0001a1c00  0x005931c00        25688          88        25600  5/6/f/e/2/8/a73b07c817512c5b1e19c93b9540844c8e
    0x1000          1          6        12        70         1        ok       0.000  0x005cd3800  0x0001a4400  0x00592f400        25688          94        25594  8/e/b/1/1/b/a1c9b1a302b55873031363d137a6c34094
    0x1000          1          6        13        75         1        ok       0.000  0x005cd3800  0x0001a6c00  0x00592cc00        25688         100        25588  8/8/9/e/4/0/c6ed24eafddc039a0fe2db13b59a347381
    0x1000          1          6        14        80         1        ok       0.000  0x005cd3800  0x0001a9400  0x00592a400        25688         106        25582  2/a/a/5/1/7/fdc764bcbfadc57cdea8cad3d699e428e6
    0x1000          1          6        15        85         1        ok       0.000  0x005cd3800  0x0001abc00  0x005927c00        25688         112        25576  9/a/d/4/3/8/5f90b6b890d7b7c3d695b36b604b9610c0
    0x1000          1          6        16        91         1        ok       0.000  0x005cd3800  0x0001ae800  0x005925000        25688         119        25569  a/d/8/5/2/8/68d26c8b24100722e4c016a27fa9f78557
    0x1000          1          6        17        95         1        ok       0.000  0x005cd3800  0x0001b0c00  0x005922c00        25688         124        25564  5/6/c/a/c/e/f160c84c54213254dc7f09fa83c780a638
    0x1000          1          6        18       101         1        ok       0.000  0x005cd3800  0x0001b3800  0x005920000        25688         131        25557  f/9/c/c/1/4/6f8dae8e52f6e5b9fa24118a5e5f90739d
    0x1000          1          6        19       106         1        ok       0.000  0x005cd3800  0x0001b6000  0x00591d800        25688         137        25551  8/4/b/d/5/b/72dfc5cfabe041b1b0a225ec670fd0f703
    0x1000          1          6        20       111         1        ok       0.000  0x005cd3800  0x0001b8800  0x00591b000        25688         143        25545  2/5/2/7/b/a/701f0c9efbed3e9366eee9de2f50f51388
    0x1000          1          6        21       116         1        ok       0.000  0x005cd3800  0x0001bb000  0x005918800        25688         149        25539  b/8/f/0/6/a/4399797b176360af8ba7866b8cc7335a1e
    0x1000          1          6        22       121         1        ok       0.000  0x005cd3800  0x0001bd800  0x005916000        25688         155        25533  c/2/7/a/b/2/84518f9b5b8a93185704df8dc961c6a3a4
    0x1000          1          6        23       127         1        ok       0.000  0x005cd3800  0x0001c0400  0x005913400        25688         162        25526  7/f/3/3/a/b/91a2fa5a1015fa822c2cf4f0f7ed659692
    0x1000          1          6        24       132         1        ok       0.000  0x005cd3800  0x0001c2c00  0x005910c00        25688         168        25520  5/c/3/2/c/e/5544d8c86e3b1ee8d2aeda928a6e86d6b8
    0x1000          1          6        25       137         1        ok       0.000  0x005cd3800  0x0001c5400  0x00590e400        25688         174        25514  c/0/9/e/4/4/29f55e7371ad6f01b6f05a73ab0053d3bd
    0x1000          1          6        26       141         1        ok       0.000  0x005cd3800  0x0001c7800  0x00590c000        25688         179        25509  5/6/2/c/2/6/1791921d8ccfe9f2d664536bf0be428007
    0x1000          1          6        27       146         1        ok       0.000  0x005cd3800  0x0001ca000  0x005909800        25688         185        25503  3/8/8/b/3/f/5dd7be4024b611092ffb05068361e3aa3e
    0x1000          1          6        28       149         1        ok       0.000  0x005cd3800  0x0001cc000  0x005907800        25688         189        25499  8/4/b/b/a/c/7660c811de8460327f465c123b164c7dd3
    0x1000          1          6        29       154         1        ok       0.000  0x005cd3800  0x0001ce800  0x005905000        25688         195        25493  a/5/6/c/7/b/070faa4ce7603670feeb63bcc7ee5a8908
    0x1000          1          6        30       159         1        ok       0.000  0x005cd3800  0x0001d1000  0x005902800        25688         201        25487  3/4/8/7/6/9/42f290e7801a137327bc99528a673652ac
