# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       a/0/2/2/3/5/13b8655881126ea9495ba54e84bf16d8fd
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          6
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:07:46.367251
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=06 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7421836 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1          6         1         7         1        ok       0.000  0x005cd3800  0x000186c00  0x00594cc00        25688          20        25668  9/9/5/0/9/2/8c2305cd5c427f769c14a8f2ca5e6151ca
    0x1000          1          6         2        13         1        ok       0.000  0x005cd3800  0x000189800  0x00594a000        25688          27        25661  7/f/d/e/5/b/35b90ebb1854111b7e019f57d350628f85
    0x1000          1          6         3        19         1        ok       0.000  0x005cd3800  0x00018c400  0x005947400        25688          34        25654  b/7/1/5/f/e/d5d56ce3c184c861e3d3245600209255cb
    0x1000          1          6         4        24         1        ok       0.000  0x005cd3800  0x00018ec00  0x005944c00        25688          40        25648  b/f/d/b/4/6/360dab6e709bd50c9035a4ea19cc1385ca
    0x1000          1          6         5        30         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          47        25641  6/5/e/a/d/e/ff6d918dcb372d5ac91a81dd279706c61e
    0x1000          1          6         6        36         1        ok       0.000  0x005cd3800  0x000194400  0x00593f400        25688          54        25634  c/8/1/5/2/8/6815d72892d62d088fa43f80d8bb9ad759
    0x1000          1          6         7        40         1        ok       0.000  0x005cd3800  0x000196800  0x00593d000        25688          59        25629  b/f/1/d/1/8/430522cf9069e136dcf2d3ab81e1300b48
    0x1000          1          6         8        46         1        ok       0.000  0x005cd3800  0x000199400  0x00593a400        25688          66        25622  f/5/9/6/f/7/6b8ab0f03b42482f3645305e8f589c104d
    0x1000          1          6         9        52         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          73        25615  d/3/4/1/0/4/6bbfc00b9ebad8dc9fe31c38dbac14ec11
    0x1000          1          6        10        58         1        ok       0.000  0x005cd3800  0x00019ec00  0x005934c00        25688          80        25608  0/c/4/2/3/a/89ddf4b6036199d31e010dc8c2cbee1b3a
