# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       b/9/2/f/f/6/f/cd731ac1a58b704c41d74d56dde523d60
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          7
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:06:32.870616
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=07 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7462300 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1          7         1         8         1        ok       0.000  0x005cd3800  0x000187000  0x00594c800        25688          21        25667  5/7/6/b/2/d/9/10ca3433c0a939ca8cf1960e567f10c20
    0x1000          1          7         2        15         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          29        25659  8/6/c/a/a/6/e/d7bbe6fb0f25ad32844d418551b71c455
    0x1000          1          7         3        22         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          37        25651  d/6/6/0/8/b/9/738268be0de1e9a2a061d6bf85006a4e8
    0x1000          1          7         4        29         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          45        25643  0/d/4/c/3/e/0/8615a8bebfbcdcacb6527a0ce1710cdc2
    0x1000          1          7         5        35         1        ok       0.000  0x005cd3800  0x000192c00  0x005940c00        25688          52        25636  5/b/c/6/8/2/c/9df01515e56dc7f3ed5313034c6e216c3
    0x1000          1          7         6        42         1        ok       0.000  0x005cd3800  0x000195c00  0x00593dc00        25688          60        25628  3/4/c/f/d/9/7/0c38917669528ae73d463823a150a8e45
    0x1000          1          7         7        49         1        ok       0.000  0x005cd3800  0x000198c00  0x00593ac00        25688          68        25620  e/d/d/f/d/e/9/791bfa25225b840de0b201a0fc8c0e57c
    0x1000          1          7         8        54         1        ok       0.000  0x005cd3800  0x00019b400  0x005938400        25688          74        25614  d/6/5/f/1/8/f/c1586a67feaed9e68b0891f3ea54c97e9
    0x1000          1          7         9        61         1        ok       0.000  0x005cd3800  0x00019e400  0x005935400        25688          82        25606  6/1/f/5/4/f/3/a297ad6190f93af469a3ecb207a43a94c
    0x1000          1          7        10        67         1        ok       0.000  0x005cd3800  0x0001a1000  0x005932800        25688          89        25599  0/7/1/7/6/5/8/60d832bc6662bf06af34a0ae6269184a3
    0x1000          1          7        11        73         1        ok       0.000  0x005cd3800  0x0001a3c00  0x00592fc00        25688          96        25592  8/0/e/3/b/5/a/745abc5f94c8d36d27fbe4b1064400eb0
    0x1000          1          7        12        80         1        ok       0.000  0x005cd3800  0x0001a6c00  0x00592cc00        25688         104        25584  1/f/8/0/8/5/c/d888163235371c43d741772fbc8a1e195
    0x1000          1          7        13        86         1        ok       0.000  0x005cd3800  0x0001a9800  0x00592a000        25688         111        25577  8/9/f/f/f/6/a/f317c1f11025d8b16745c2a82fc822cdc
    0x1000          1          7        14        92         1        ok       0.000  0x005cd3800  0x0001ac400  0x005927400        25688         118        25570  d/4/0/4/9/d/3/f6a7b6d0f4f690ebe27b410e7e4059e17
    0x1000          1          7        15        99         1        ok       0.000  0x005cd3800  0x0001af400  0x005924400        25688         126        25562  2/6/9/5/1/9/f/ed943e082ecdc62a3a85eac5dc06010e8
    0x1000          1          7        16       106         1        ok       0.000  0x005cd3800  0x0001b2400  0x005921400        25688         134        25554  9/2/3/3/6/6/2/5d4fc7fa450bc90128faceee74a1a12e6
    0x1000          1          7        17       113         1        ok       0.000  0x005cd3800  0x0001b5400  0x00591e400        25688         142        25546  4/8/a/a/f/f/6/7ade7929362fa4e03a3d24bc13bbf5cd3
    0x1000          1          7        18       120         1        ok       0.000  0x005cd3800  0x0001b8400  0x00591b400        25688         150        25538  c/c/8/9/7/7/9/9864eddbacb16e99eb1777124b407aa55
    0x1000          1          7        19       127         1        ok       0.000  0x005cd3800  0x0001bb400  0x005918400        25688         158        25530  7/7/6/1/9/7/f/55c5f56aa1b0ea4ad4ec38d1af0f6c788
    0x1000          1          7        20       133         1        ok       0.000  0x005cd3800  0x0001be000  0x005915800        25688         165        25523  7/b/2/2/f/b/7/1270da917c5e86705c384eed3c86b6a22
    0x1000          1          7        21       139         1        ok       0.000  0x005cd3800  0x0001c0c00  0x005912c00        25688         172        25516  2/0/a/9/1/6/3/6b070f89831655601743548008e5dc6a2
    0x1000          1          7        22       145         1        ok       0.000  0x005cd3800  0x0001c3800  0x005910000        25688         179        25509  c/b/a/5/7/9/2/f7c9367ba85bffa4a06f1869118c4a020
    0x1000          1          7        23       150         1        ok       0.000  0x005cd3800  0x0001c6000  0x00590d800        25688         185        25503  8/9/6/4/f/5/8/db62d73ce6b2cd118be997e06331eda98
    0x1000          1          7        24       157         1        ok       0.000  0x005cd3800  0x0001c9000  0x00590a800        25688         193        25495  f/2/8/e/7/b/3/73ce382aa94f61d13585fa5f7a852b7b3
    0x1000          1          7        25       164         1        ok       0.000  0x005cd3800  0x0001cc000  0x005907800        25688         201        25487  b/b/f/2/d/1/8/0fe601c19822850d5249ec2602b6939c7
    0x1000          1          7        26       170         1        ok       0.000  0x005cd3800  0x0001cec00  0x005904c00        25688         208        25480  b/8/3/7/0/c/c/3bdde562fabbeb4a4cad155b51465d889
    0x1000          1          7        27       176         1        ok       0.000  0x005cd3800  0x0001d1800  0x005902000        25688         215        25473  c/3/0/4/9/5/f/4a1e0e68903cf8a0595b57e3610e43619
    0x1000          1          7        28       182         1        ok       0.000  0x005cd3800  0x0001d4400  0x0058ff400        25688         222        25466  9/d/7/4/9/b/9/68340de8aefed3229b172f486d192d409
    0x1000          1          7        29       188         1        ok       0.000  0x005cd3800  0x0001d7000  0x0058fc800        25688         229        25459  5/d/a/f/6/b/6/5f3035587257d26a5d5700c5503a3afe0
    0x1000          1          7        30       193         1        ok       0.000  0x005cd3800  0x0001d9800  0x0058fa000        25688         235        25453  c/c/0/9/5/5/4/5609a6f35e148d0261fbb61579a508468
    0x1000          1          7        31       199         1        ok       0.000  0x005cd3800  0x0001dc400  0x0058f7400        25688         242        25446  f/f/a/2/4/3/d/67c391e7148fb0e58e87a8ce4760b77df
    0x1000          1          7        32       205         1        ok       0.000  0x005cd3800  0x0001df000  0x0058f4800        25688         249        25439  9/0/2/1/2/3/0/35836d7afe71d328bf3568e56264d8ba9
    0x1000          1          7        33       212         1        ok       0.000  0x005cd3800  0x0001e2000  0x0058f1800        25688         257        25431  a/5/9/d/b/e/8/eafe0784138c6b5df1d55133b382ff81f
    0x1000          1          7        34       218         1        ok       0.000  0x005cd3800  0x0001e4c00  0x0058eec00        25688         264        25424  c/5/d/f/1/2/9/f19bc798ef4b9ee98d9363730ece96ed9
    0x1000          1          7        35       224         1        ok       0.000  0x005cd3800  0x0001e7800  0x0058ec000        25688         271        25417  f/8/b/0/2/e/7/4e0e1c247a6fc5f5029fd0aa54775206c
    0x1000          1          7        36       230         1        ok       0.000  0x005cd3800  0x0001ea400  0x0058e9400        25688         278        25410  a/c/b/3/5/3/6/c49a1367fe028d57859e29f95b18b7884
    0x1000          1          7        37       236         1        ok       0.000  0x005cd3800  0x0001ed000  0x0058e6800        25688         285        25403  b/3/b/2/e/f/0/177432e8152760b12a3e9e3ae127becf6
    0x1000          1          7        38       242         1        ok       0.000  0x005cd3800  0x0001efc00  0x0058e3c00        25688         292        25396  a/b/f/1/4/c/3/0f0fa09541ff188c847261491ef213dd6
    0x1000          1          7        39       248         1        ok       0.000  0x005cd3800  0x0001f2800  0x0058e1000        25688         299        25389  d/5/7/6/a/2/9/3f05e5465768955f31bff57f96734f14e
    0x1000          1          7        40       254         1        ok       0.000  0x005cd3800  0x0001f5400  0x0058de400        25688         306        25382  1/6/1/e/f/b/5/128be0dc448b30a8886e4d035b62323fe
    0x1000          1          7        41       260         1        ok       0.000  0x005cd3800  0x0001f8000  0x0058db800        25688         313        25375  9/f/4/b/2/1/c/7884a15ee92afb23eeebbc91cbf0b5525
    0x1000          1          7        42       266         1        ok       0.000  0x005cd3800  0x0001fac00  0x0058d8c00        25688         320        25368  a/e/f/6/0/4/f/cbb32edfa45bbac76b78ee86012b6a2ed
    0x1000          1          7        43       272         1        ok       0.000  0x005cd3800  0x0001fd800  0x0058d6000        25688         327        25361  6/d/e/b/f/0/5/e7a516c0e8cec9d7791f2bc13decb465d
    0x1000          1          7        44       278         1        ok       0.000  0x005cd3800  0x000200400  0x0058d3400        25688         334        25354  6/e/d/f/3/5/e/1acc910711acf7377f20958492be2a54d
    0x1000          1          7        45       284         1        ok       0.000  0x005cd3800  0x000203000  0x0058d0800        25688         341        25347  4/c/a/6/9/2/c/bc02bba7551fa4dffd87086821121c61f
    0x1000          1          7        46       290         1        ok       0.000  0x005cd3800  0x000205c00  0x0058cdc00        25688         348        25340  e/2/c/c/f/d/9/2e48a6e4086654051e89ba82ef1246663
    0x1000          1          7        47       295         1        ok       0.000  0x005cd3800  0x000208400  0x0058cb400        25688         354        25334  2/0/b/5/3/f/5/b388bce94c54bbb1e2aff2c4912d4c90f
    0x1000          1          7        48       301         1        ok       0.000  0x005cd3800  0x00020b000  0x0058c8800        25688         361        25327  9/5/2/2/7/f/4/a5278195de1dd0ef8563abdd097597af4
    0x1000          1          7        49       306         1        ok       0.000  0x005cd3800  0x00020d800  0x0058c6000        25688         367        25321  a/5/e/0/3/c/4/c3662f90f740c79b08468cbab746967d8
    0x1000          1          7        50       312         1        ok       0.000  0x005cd3800  0x000210400  0x0058c3400        25688         374        25314  c/6/7/1/e/2/7/d89a4e710590c287c5d70339d0ce1baad
    0x1000          1          7        51       318         1        ok       0.000  0x005cd3800  0x000213000  0x0058c0800        25688         381        25307  1/2/6/9/3/6/6/2a20f821cb91eae9387cbf44195ddeda2
    0x1000          1          7        52       324         1        ok       0.000  0x005cd3800  0x000215c00  0x0058bdc00        25688         388        25300  2/e/5/8/2/8/6/8ac40a2873a89cd150f047f1e60d11bbf
    0x1000          1          7        53       330         1        ok       0.000  0x005cd3800  0x000218800  0x0058bb000        25688         395        25293  9/e/7/f/8/9/b/d629a0bdaed39c708073fb2dc1ede4bf3
    0x1000          1          7        54       335         1        ok       0.000  0x005cd3800  0x00021b000  0x0058b8800        25688         401        25287  9/e/a/6/a/b/d/f6f8ca1bed9ab93b667cea9531fadf1ad
    0x1000          1          7        55       341         1        ok       0.000  0x005cd3800  0x00021dc00  0x0058b5c00        25688         408        25280  d/0/a/b/4/e/0/86f4761e34d99a4947e57731cc89a789d
    0x1000          1          7        56       347         1        ok       0.000  0x005cd3800  0x000220800  0x0058b3000        25688         415        25273  e/8/1/f/3/6/1/2b8126ab85eb78f409bf70e7034c5419f
    0x1000          1          7        57       353         1        ok       0.000  0x005cd3800  0x000223400  0x0058b0400        25688         422        25266  e/6/5/2/c/4/3/56038286610580a930fd8578e105c7957
    0x1000          1          7        58       359         1        ok       0.000  0x005cd3800  0x000226000  0x0058ad800        25688         429        25259  a/3/e/4/d/1/3/6b245edc44d1cc910c19313a7d37c8f46
    0x1000          1          7        59       365         1        ok       0.000  0x005cd3800  0x000228c00  0x0058aac00        25688         436        25252  b/e/a/3/c/3/4/80c7d08efd531514e54bed9d5c4e0b920
    0x1000          1          7        60       371         1        ok       0.000  0x005cd3800  0x00022b800  0x0058a8000        25688         443        25245  b/9/0/f/7/3/d/7601a900e1b38c734af25dd2e887e5cb0
    0x1000          1          7        61       377         1        ok       0.000  0x005cd3800  0x00022e400  0x0058a5400        25688         450        25238  3/d/d/e/7/a/5/770660829a748535c35674b94084d8860
    0x1000          1          7        62       382         1        ok       0.000  0x005cd3800  0x000230c00  0x0058a2c00        25688         456        25232  b/9/b/f/d/3/6/fc21f2b8e1935075b52059ca21c377b06
    0x1000          1          7        63       388         1        ok       0.000  0x005cd3800  0x000233800  0x0058a0000        25688         463        25225  9/b/1/e/1/b/0/06c10548b4e1895a10f3cfed69eeff43d
    0x1000          1          7        64       394         1        ok       0.000  0x005cd3800  0x000236400  0x00589d400        25688         470        25218  0/b/9/4/0/6/0/f0ec8ef8e427ac9d215c99fca9a0ee188
    0x1000          1          7        65       400         1        ok       0.000  0x005cd3800  0x000239000  0x00589a800        25688         477        25211  0/5/0/9/d/f/9/e2a7324a3c77c72a6b5776a5c2e3f4a1d
    0x1000          1          7        66       406         1        ok       0.000  0x005cd3800  0x00023bc00  0x005897c00        25688         484        25204  c/7/0/d/a/2/2/8ce94be4b780dfa185e660d752dcaafde
    0x1000          1          7        67       412         1        ok       0.000  0x005cd3800  0x00023e800  0x005895000        25688         491        25197  c/d/f/9/3/c/f/f71712258277cfb70447e6f99608f71e2
    0x1000          1          7        68       418         1        ok       0.000  0x005cd3800  0x000241400  0x005892400        25688         498        25190  b/0/4/0/a/0/4/264967cd348a143c946c414412d90f7fa
    0x1000          1          7        69       424         1        ok       0.000  0x005cd3800  0x000244000  0x00588f800        25688         505        25183  6/7/5/7/a/6/9/488caf41b0bd09f31c6a064e30d921fcb
    0x1000          1          7        70       429         1        ok       0.000  0x005cd3800  0x000246800  0x00588d000        25688         511        25177  6/d/0/0/8/7/e/daa20b26049455751bde08cf385c20cd1
    0x1000          1          7        71       435         1        ok       0.000  0x005cd3800  0x000249400  0x00588a400        25688         518        25170  8/1/b/e/e/9/d/9bdb2091ca4c9b02dd8e5fa4144cb219e
    0x1000          1          7        72       441         1        ok       0.000  0x005cd3800  0x00024c000  0x005887800        25688         525        25163  e/4/a/2/6/2/b/900d3d9f29d612d22b41002311333c406
    0x1000          1          7        73       447         1        ok       0.000  0x005cd3800  0x00024ec00  0x005884c00        25688         532        25156  0/f/5/4/3/e/c/1f2444f53c87cc73b4e424b09b02647ca
    0x1000          1          7        74       452         1        ok       0.000  0x005cd3800  0x000251400  0x005882400        25688         538        25150  0/5/f/4/3/8/e/1180a3604a60220a4b417853670e17173
    0x1000          1          7        75       457         1        ok       0.000  0x005cd3800  0x000253c00  0x00587fc00        25688         544        25144  b/9/4/1/2/d/7/70839ca5783601083377d4f0e1f598698
    0x1000          1          7        76       463         1        ok       0.000  0x005cd3800  0x000256800  0x00587d000        25688         551        25137  a/f/2/0/3/e/0/42cd047d22cde6b61437df18bd53dfbef
    0x1000          1          7        77       469         1        ok       0.000  0x005cd3800  0x000259400  0x00587a400        25688         558        25130  6/2/d/4/f/f/5/7299b29acdec023771a5412f651c850f8
    0x1000          1          7        78       475         1        ok       0.000  0x005cd3800  0x00025c000  0x005877800        25688         565        25123  0/a/4/3/e/1/e/d3b73fda3603c92333dd61c02d98fca2e
    0x1000          1          7        79       481         1        ok       0.000  0x005cd3800  0x00025ec00  0x005874c00        25688         572        25116  7/c/f/b/f/b/f/267fab39236f1f1d62861fa3513e72c7a
    0x1000          1          7        80       486         1        ok       0.000  0x005cd3800  0x000261400  0x005872400        25688         578        25110  c/6/1/7/9/c/e/4fc9bffcc8fef635a98c372a7e67004b7
    0x1000          1          7        81       491         1        ok       0.000  0x005cd3800  0x000263c00  0x00586fc00        25688         584        25104  3/d/0/b/3/d/9/a5dd8734d9c94e3fcb34edae1a56c7fa1
    0x1000          1          7        82       497         1        ok       0.000  0x005cd3800  0x000266800  0x00586d000        25688         591        25097  b/c/f/b/d/d/8/519096fa353ff43cab03aa05327f5b125
    0x1000          1          7        83       503         1        ok       0.000  0x005cd3800  0x000269400  0x00586a400        25688         598        25090  b/1/8/6/2/4/5/095b167f9142f7b83bdbdf00dfc81d81f
    0x1000          1          7        84       509         1        ok       0.000  0x005cd3800  0x00026c000  0x005867800        25688         605        25083  0/3/3/4/2/5/2/01ba71014ad818f8a32b69aa2a801b468
