# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       1/5/4/8/b/c/1/4cf46c46d99ad7f8a8ccfedb9f15d781b
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          7
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:07:07.422546
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=07 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7434540 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1          7         1         8         1        ok       0.000  0x005cd3800  0x000187000  0x00594c800        25688          21        25667  d/b/4/c/3/e/e/eef65ca240002a88896ba3febb7f93258
    0x1000          1          7         2        15         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          29        25659  4/e/a/0/c/d/f/5c083a0d0b9bf4c5474ab14ef388e2660
    0x1000          1          7         3        22         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          37        25651  2/7/8/4/3/1/d/c4d93c50f6810bbb15a442bc47a30813b
    0x1000          1          7         4        28         1        ok       0.000  0x005cd3800  0x00018fc00  0x005943c00        25688          44        25644  d/8/8/4/a/7/c/59449f351a6bd7a170f42fb418614a375
    0x1000          1          7         5        34         1        ok       0.000  0x005cd3800  0x000192800  0x005941000        25688          51        25637  4/1/3/5/7/1/3/2d7b881576cb8ba77ac8ae4623044cf26
    0x1000          1          7         6        41         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          59        25629  c/6/5/5/c/8/3/62d350ad4d39f9eb86e68bbab9b5a29cc
    0x1000          1          7         7        48         1        ok       0.000  0x005cd3800  0x000198800  0x00593b000        25688          67        25621  1/6/e/2/e/8/8/a08d4fc69e4455c0264ed30127d77c1d2
    0x1000          1          7         8        55         1        ok       0.000  0x005cd3800  0x00019b800  0x005938000        25688          75        25613  f/9/d/7/2/b/4/17477837162961ec6e06fc111bab3e12c
    0x1000          1          7         9        61         1        ok       0.000  0x005cd3800  0x00019e400  0x005935400        25688          82        25606  f/5/6/c/b/3/9/1af51952d96b2b28e25250b93d9417118
    0x1000          1          7        10        68         1        ok       0.000  0x005cd3800  0x0001a1400  0x005932400        25688          90        25598  e/7/2/3/1/3/2/3a37a9cc7969b9b527cac819325367b78
