# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       5/a/c/6/c/8/7/9/f/8eaffb10970219db47b0e7775a26317
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          9
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:07:37.503802
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=09 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7460444 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1          9         1        10         1        ok       0.000  0x005cd3800  0x000187800  0x00594c000        25688          23        25665  0/e/d/0/c/b/9/e/c/9952471f310b65292ca665a5d19575b
    0x1000          1          9         2        19         1        ok       0.000  0x005cd3800  0x00018b000  0x005948800        25688          33        25655  4/a/0/c/4/6/3/f/e/4dca1dd2ab963940fe931eaec8a3049
    0x1000          1          9         3        28         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          43        25645  6/a/7/5/e/f/b/9/2/aa389fb02d9d3a8fa44f6f1fbe9536b
    0x1000          1          9         4        36         1        ok       0.000  0x005cd3800  0x000191c00  0x005941c00        25688          52        25636  4/6/e/d/7/2/8/e/e/966b9be1d80791fb0e10abe4aaaff3f
    0x1000          1          9         5        44         1        ok       0.000  0x005cd3800  0x000195000  0x00593e800        25688          61        25627  4/4/2/6/d/d/d/f/a/c45dc5421ece01139c5d6fe48b5853f
    0x1000          1          9         6        52         1        ok       0.000  0x005cd3800  0x000198400  0x00593b400        25688          70        25618  6/7/7/f/7/0/a/3/3/392417e12ecf7df3244d2fcdaea27c3
    0x1000          1          9         7        61         1        ok       0.000  0x005cd3800  0x00019bc00  0x005937c00        25688          80        25608  9/f/7/5/4/3/2/5/2/2d298bbadbce4f5b9ed9fbb97f7c42d
    0x1000          1          9         8        70         1        ok       0.000  0x005cd3800  0x00019f400  0x005934400        25688          90        25598  3/3/f/b/b/6/3/3/c/78ad49e997159a314d430449886c5bc
    0x1000          1          9         9        79         1        ok       0.000  0x005cd3800  0x0001a2c00  0x005930c00        25688         100        25588  f/6/5/4/8/2/8/9/3/e57a1396ca234230ab35a25463f46fa
    0x1000          1          9        10        88         1        ok       0.000  0x005cd3800  0x0001a6400  0x00592d400        25688         110        25578  d/0/f/b/4/3/f/e/b/f1aebc9dcce95e129c80add2673b3a9
