# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       6/a/f/e/6/d/f/1/0/5fb4cb85248481d90eb3753a9f6b7aa
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          9
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:09:44.950384
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=09 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7421040 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1          9         1        10         1        ok       0.000  0x005cd3800  0x000187800  0x00594c000        25688          23        25665  3/2/6/2/6/0/9/9/4/11145561ce93ebdc2601483136aa7ce
    0x1000          1          9         2        19         1        ok       0.000  0x005cd3800  0x00018b000  0x005948800        25688          33        25655  b/6/0/7/b/4/4/a/1/ed5c0982d197ba4d4a4cfd01713d69f
    0x1000          1          9         3        28         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          43        25645  4/6/3/e/b/5/a/b/5/33290e127f555ebb6a01bc22865d349
    0x1000          1          9         4        36         1        ok       0.000  0x005cd3800  0x000191c00  0x005941c00        25688          52        25636  3/6/1/a/f/d/2/b/2/f3bcb8073d4c8c9a4d07790e50dbc0a
    0x1000          1          9         5        45         1        ok       0.000  0x005cd3800  0x000195400  0x00593e400        25688          62        25626  e/4/d/2/a/b/5/7/c/03cf64f9ca6543aaac5140ca870809a
    0x1000          1          9         6        53         1        ok       0.000  0x005cd3800  0x000198800  0x00593b000        25688          71        25617  e/a/d/8/4/2/f/5/f/178eb9883f2442123a0777de84385de
    0x1000          1          9         7        62         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          81        25607  2/8/6/1/4/e/7/3/2/f125af1b674e2ef6b1404b007bffeb1
    0x1000          1          9         8        71         1        ok       0.000  0x005cd3800  0x00019f800  0x005934000        25688          91        25597  d/2/1/e/f/5/1/8/2/ac7ad433bd4092c4e7957e73064a80b
    0x1000          1          9         9        79         1        ok       0.000  0x005cd3800  0x0001a2c00  0x005930c00        25688         100        25588  d/c/4/0/b/d/d/2/7/ee9d137f975cffcb657791d8e0fd087
    0x1000          1          9        10        88         1        ok       0.000  0x005cd3800  0x0001a6400  0x00592d400        25688         110        25578  8/d/c/a/d/3/7/b/4/e01b59f4e1a1afc1e7840c466edef95
    0x1000          1          9        11        97         1        ok       0.000  0x005cd3800  0x0001a9c00  0x005929c00        25688         120        25568  1/4/b/8/4/d/4/a/6/59e9243be661d156bae0c6cd2870030
    0x1000          1          9        12       105         1        ok       0.000  0x005cd3800  0x0001ad000  0x005926800        25688         129        25559  e/1/1/2/2/0/7/8/5/e4c43fa674132a4360950d5d0567540
    0x1000          1          9        13       112         1        ok       0.000  0x005cd3800  0x0001b0000  0x005923800        25688         137        25551  e/4/e/8/7/7/1/9/e/6caed86c9a7246622816f249b14077d
    0x1000          1          9        14       120         1        ok       0.000  0x005cd3800  0x0001b3400  0x005920400        25688         146        25542  b/7/a/a/c/3/3/7/c/fef6194f5e4723145be7de1bb369948
    0x1000          1          9        15       129         1        ok       0.000  0x005cd3800  0x0001b6c00  0x00591cc00        25688         156        25532  5/0/b/e/3/3/5/1/7/200b3fa47e0556fdea1bcba555b5b8e
    0x1000          1          9        16       137         1        ok       0.000  0x005cd3800  0x0001ba000  0x005919800        25688         165        25523  8/e/3/3/8/d/7/2/c/ba791e564caddde8c901eda278c987a
    0x1000          1          9        17       145         1        ok       0.000  0x005cd3800  0x0001bd400  0x005916400        25688         174        25514  5/7/0/b/4/8/c/7/9/7b700fbf0a0a3aa0f803c4622215bb6
    0x1000          1          9        18       153         1        ok       0.000  0x005cd3800  0x0001c0800  0x005913000        25688         183        25505  8/7/7/2/0/9/9/e/f/2643ffe0681866eb757d7e442f9422b
    0x1000          1          9        19       162         1        ok       0.000  0x005cd3800  0x0001c4000  0x00590f800        25688         193        25495  c/1/6/4/6/2/f/0/7/13b2225e707dde0b3ecb6aa9e0b703a
    0x1000          1          9        20       169         1        ok       0.000  0x005cd3800  0x0001c7000  0x00590c800        25688         201        25487  e/4/4/5/f/a/f/5/a/2141915a8a4de92c7ff58851a2b2dbf
    0x1000          1          9        21       178         1        ok       0.000  0x005cd3800  0x0001ca800  0x005909000        25688         211        25477  f/2/3/e/6/e/9/f/e/db7f7a386c5c2bb793a0097482379a3
    0x1000          1          9        22       186         1        ok       0.000  0x005cd3800  0x0001cdc00  0x005905c00        25688         220        25468  e/7/f/1/6/d/8/d/6/53621cdf00e67369847100a5616099b
    0x1000          1          9        23       194         1        ok       0.000  0x005cd3800  0x0001d1000  0x005902800        25688         229        25459  d/3/5/c/1/3/a/c/9/ea5cf2264cdeeaf51d87c9cb3df6369
    0x1000          1          9        24       202         1        ok       0.000  0x005cd3800  0x0001d4400  0x0058ff400        25688         238        25450  5/9/3/5/1/4/3/1/b/637e2d92c9ff28fe6fb49871d8f73a4
    0x1000          1          9        25       210         1        ok       0.000  0x005cd3800  0x0001d7800  0x0058fc000        25688         247        25441  d/d/3/5/d/f/a/e/c/6c7f3bf39ad8d99df9c27eab4927b23
    0x1000          1          9        26       217         1        ok       0.000  0x005cd3800  0x0001da800  0x0058f9000        25688         255        25433  3/6/2/5/6/b/2/7/d/af60d5510667e4877512f5a6d01e897
    0x1000          1          9        27       226         1        ok       0.000  0x005cd3800  0x0001de000  0x0058f5800        25688         265        25423  a/0/8/8/a/4/f/b/b/8271b66f7313b6fac63dbddf19921d2
    0x1000          1          9        28       233         1        ok       0.000  0x005cd3800  0x0001e1000  0x0058f2800        25688         273        25415  b/7/5/5/1/b/8/6/6/ee7080888363b4bd98e344a939f1a40
    0x1000          1          9        29       241         1        ok       0.000  0x005cd3800  0x0001e4400  0x0058ef400        25688         282        25406  1/e/c/2/9/8/f/9/c/68da4fff6d99b8eaaa76949944d256b
    0x1000          1          9        30       250         1        ok       0.000  0x005cd3800  0x0001e7c00  0x0058ebc00        25688         292        25396  6/3/3/e/a/e/4/4/b/7d37e2e9890014286ccd91930e1f23b
    0x1000          1          9        31       258         1        ok       0.000  0x005cd3800  0x0001eb000  0x0058e8800        25688         301        25387  8/c/7/a/f/8/b/8/f/2283ea66d29c42e0145143628d73c40
    0x1000          1          9        32       265         1        ok       0.000  0x005cd3800  0x0001ee000  0x0058e5800        25688         309        25379  1/4/0/d/e/8/b/f/f/596aaf3a10a8c59bf92d4bb7abdb64f
    0x1000          1          9        33       272         1        ok       0.000  0x005cd3800  0x0001f1000  0x0058e2800        25688         317        25371  5/7/4/0/f/6/f/4/6/e853d5972ce06386385554912743ae6
