# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       3/f/f/a/b/9/e/e/0/e2c7dab8b4070250afa92a4fd50c3f6
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          9
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:08:19.382401
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=09 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7433264 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1          9         1        10         1        ok       0.000  0x005cd3800  0x000187800  0x00594c000        25688          23        25665  7/d/0/8/a/d/5/d/b/c2d5358dc1e4dc21219fda2dff3105d
    0x1000          1          9         2        19         1        ok       0.000  0x005cd3800  0x00018b000  0x005948800        25688          33        25655  d/2/5/f/d/5/8/5/8/d36851a67e8a98e03da3035058bf8d4
    0x1000          1          9         3        28         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          43        25645  e/0/b/4/0/5/5/8/3/d2922c8a9ecfb37a7cbd4b8f3c99896
    0x1000          1          9         4        36         1        ok       0.000  0x005cd3800  0x000191c00  0x005941c00        25688          52        25636  d/3/4/e/e/4/3/8/a/e216f06232d4347c5c3176b3ed8c4ed
    0x1000          1          9         5        44         1        ok       0.000  0x005cd3800  0x000195000  0x00593e800        25688          61        25627  d/a/b/2/8/5/c/9/f/e1a84a3f3150e009441e57c2eabb8ee
    0x1000          1          9         6        52         1        ok       0.000  0x005cd3800  0x000198400  0x00593b400        25688          70        25618  7/7/7/2/a/3/1/4/e/555af4a9af98f482be1be5cee77c846
    0x1000          1          9         7        61         1        ok       0.000  0x005cd3800  0x00019bc00  0x005937c00        25688          80        25608  3/f/d/a/e/6/0/9/c/e73118dcd09a196a2b1dc4524851222
    0x1000          1          9         8        70         1        ok       0.000  0x005cd3800  0x00019f400  0x005934400        25688          90        25598  6/a/7/5/8/2/1/c/5/e2d378afed2a98c6652caa040df1533
    0x1000          1          9         9        79         1        ok       0.000  0x005cd3800  0x0001a2c00  0x005930c00        25688         100        25588  f/a/2/8/7/9/2/6/0/492f8dd9d6cb6774c6c2e883a7808b1
    0x1000          1          9        10        87         1        ok       0.000  0x005cd3800  0x0001a6000  0x00592d800        25688         109        25579  3/2/2/7/6/2/3/1/d/96af2c094cebb8073eb5b8b8e7d4be8
