# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       8/f/2/1/0/a/1/1/e/0/7dd7113f500485c6d3bcebf0b2b8cb
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          10
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:10:15.440841
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=10 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7419084 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1         10         1        11         1        ok       0.000  0x005cd3800  0x000187c00  0x00594bc00        25688          24        25664  2/3/f/2/1/2/c/6/c/7/90c951809996da39fd688d6d2e262a
    0x1000          1         10         2        21         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          35        25653  f/4/c/8/e/9/e/b/2/b/f76c2e6dbe609a86bb03146a8ff715
    0x1000          1         10         3        31         1        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          46        25642  0/2/9/8/2/9/c/9/6/6/35f9343dd84be03474764e35d74b5a
    0x1000          1         10         4        41         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          57        25631  6/f/3/d/a/b/d/9/b/9/f732d87f61d45949c3a7ec4e33fc9a
    0x1000          1         10         5        51         1        ok       0.000  0x005cd3800  0x000196c00  0x00593cc00        25688          68        25620  a/0/2/b/7/3/a/6/5/5/3c8943043c34b1f22cf8a0b8faea17
    0x1000          1         10         6        61         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          79        25609  e/b/7/2/e/7/3/b/5/f/2fef86a76e00ec00161d4154171a31
    0x1000          1         10         7        71         1        ok       0.000  0x005cd3800  0x00019e400  0x005935400        25688          90        25598  b/c/2/4/d/e/6/2/0/5/bbb7bc75bba2a7747fe8ace6570b66
    0x1000          1         10         8        81         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688         101        25587  8/9/4/3/5/b/b/c/a/2/07a93b7fe1f8010b7f4c8ba7444550
    0x1000          1         10         9        90         1        ok       0.000  0x005cd3800  0x0001a5800  0x00592e000        25688         111        25577  e/6/c/0/5/7/c/2/1/a/eddaf2b9df69e74eb297efec8b8e6e
    0x1000          1         10        10        99         1        ok       0.000  0x005cd3800  0x0001a9000  0x00592a800        25688         121        25567  b/8/6/1/2/c/8/8/b/c/15652b6dc4422608283aa0b06290e9
    0x1000          1         10        11       109         1        ok       0.000  0x005cd3800  0x0001acc00  0x005926c00        25688         132        25556  3/1/c/6/7/6/4/5/9/7/de6b5094b7a0639328ae2f3f0e0f18
    0x1000          1         10        12       117         1        ok       0.000  0x005cd3800  0x0001b0000  0x005923800        25688         141        25547  b/8/7/f/d/d/1/6/2/0/568a6faed77052fa42a6d6e2db1f78
    0x1000          1         10        13       126         1        ok       0.000  0x005cd3800  0x0001b3800  0x005920000        25688         151        25537  a/f/e/6/9/b/6/1/4/5/28df58fb4d8034cf95bf9c419d322f
    0x1000          1         10        14       136         1        ok       0.000  0x005cd3800  0x0001b7400  0x00591c400        25688         162        25526  7/5/c/7/2/3/1/8/9/2/a923341108d37cd8d64602101703e3
    0x1000          1         10        15       146         1        ok       0.000  0x005cd3800  0x0001bb000  0x005918800        25688         173        25515  4/e/5/6/7/2/e/7/0/e/3a728c894c0b1431add67a3dc34b2f
    0x1000          1         10        16       155         1        ok       0.000  0x005cd3800  0x0001be800  0x005915000        25688         183        25505  e/2/7/e/2/a/1/8/6/c/49d00ba477f4f460e65b5ca9f70789
    0x1000          1         10        17       164         1        ok       0.000  0x005cd3800  0x0001c2000  0x005911800        25688         193        25495  3/7/0/7/d/d/0/7/c/7/8eb3de9fd703817c275e28c3659b38
    0x1000          1         10        18       174         1        ok       0.000  0x005cd3800  0x0001c5c00  0x00590dc00        25688         204        25484  d/a/c/4/1/c/5/a/9/4/6dcb2d883dd7223d497c6330822678
