# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       0/b/2/e/2/e/7/1/6/5/f/be9e4cced4aa61c7dda43ad03c338
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          11
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:08:29.568060
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=11 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7457568 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1         11         1        12         1        ok       0.000  0x005cd3800  0x000188000  0x00594b800        25688          25        25663  c/1/d/6/1/8/4/6/3/e/9/5f36d1a3981d4e99eb837935798d9
    0x1000          1         11         2        23         1        ok       0.000  0x005cd3800  0x00018c000  0x005947800        25688          37        25651  2/1/3/6/b/f/e/a/2/8/f/22f74c3f61d8dd66db941675baa26
    0x1000          1         11         3        34         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          49        25639  f/7/1/8/e/e/1/4/9/f/5/da8c7d55381b96d6a71580289901b
    0x1000          1         11         4        44         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          60        25628  2/f/5/4/4/9/7/c/f/9/d/7cfe4533953fe984a1c04d3b966f5
    0x1000          1         11         5        54         1        ok       0.000  0x005cd3800  0x000197800  0x00593c000        25688          71        25617  2/7/a/3/c/d/f/2/f/2/0/2fd28348c0feabfdaebbcc6cdc82c
    0x1000          1         11         6        65         1        ok       0.000  0x005cd3800  0x00019b800  0x005938000        25688          83        25605  3/b/2/a/0/e/5/9/3/b/d/741c218b337791e8d66530c87df47
    0x1000          1         11         7        75         1        ok       0.000  0x005cd3800  0x00019f400  0x005934400        25688          94        25594  c/8/5/e/c/b/2/2/f/f/0/2fa3ee79ce82c36d29f4e7c00f532
    0x1000          1         11         8        85         1        ok       0.000  0x005cd3800  0x0001a3000  0x005930800        25688         105        25583  f/8/5/6/d/c/7/6/2/e/5/d68f6351327263eba54ffa76bcfb5
    0x1000          1         11         9        95         1        ok       0.000  0x005cd3800  0x0001a6c00  0x00592cc00        25688         116        25572  2/5/4/c/a/e/5/9/6/3/d/5f780bdb87b77a855c1d51e7f2619
    0x1000          1         11        10       106         1        ok       0.000  0x005cd3800  0x0001aac00  0x005928c00        25688         128        25560  9/0/9/8/2/1/9/1/e/1/9/d87391162f3311be0be2def03e49a
