# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       9/1/8/3/d/0/a/1/b/f/9/2/c44bccfd4eefff13e41e87bb67b4
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          12
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:08:54.484578
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=12 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7456752 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1         12         1        13         1        ok       0.000  0x005cd3800  0x000188400  0x00594b400        25688          26        25662  6/3/c/c/e/1/5/2/7/d/5/e/f32b36a5a08bf8f3d925ded510f8
    0x1000          1         12         2        25         1        ok       0.000  0x005cd3800  0x00018c800  0x005947000        25688          39        25649  c/1/4/1/a/e/e/2/5/9/f/c/0cadb55306c22e632f88be6a970e
    0x1000          1         12         3        37         1        ok       0.000  0x005cd3800  0x000190c00  0x005942c00        25688          52        25636  3/5/2/a/6/9/b/3/9/7/b/b/525ddbaced0756f4981418481dd5
    0x1000          1         12         4        49         1        ok       0.000  0x005cd3800  0x000195000  0x00593e800        25688          65        25623  2/5/e/9/e/b/5/6/0/0/9/8/4d1e3ce1f62810faf064d59784de
    0x1000          1         12         5        61         1        ok       0.000  0x005cd3800  0x000199400  0x00593a400        25688          78        25610  5/0/9/9/8/0/2/5/a/9/4/4/958ff56f39e59315b19c93b6fdbe
    0x1000          1         12         6        72         1        ok       0.000  0x005cd3800  0x00019d400  0x005936400        25688          90        25598  5/6/2/7/9/2/1/a/5/e/6/d/aa04f3b6842e0e6ce45624ade625
    0x1000          1         12         7        83         1        ok       0.000  0x005cd3800  0x0001a1400  0x005932400        25688         102        25586  3/4/b/b/9/1/1/5/a/c/7/4/c184500ceb0e16f6c732a7ced3f6
    0x1000          1         12         8        94         1        ok       0.000  0x005cd3800  0x0001a5400  0x00592e400        25688         114        25574  5/2/0/a/5/c/f/6/d/1/e/d/989cfa8b26bab68dda95258d55df
    0x1000          1         12         9       106         1        ok       0.000  0x005cd3800  0x0001a9800  0x00592a000        25688         127        25561  0/6/f/9/2/e/c/9/e/3/8/5/0225de7dce9ea9bae800c4aae3c9
    0x1000          1         12        10       117         1        ok       0.000  0x005cd3800  0x0001ad800  0x005926000        25688         139        25549  5/f/1/a/6/8/9/f/6/e/0/6/bfa7ce62ec945c73bb48ba11a716
