# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       b/5/1/8/8/e/a/6/a/d/b/9/d/2/8/c1d8a94f72bae0934c58868f2
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          15
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:09:59.956132
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=15 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7445616 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1         15         1        16         1        ok       0.000  0x005cd3800  0x000189000  0x00594a800        25688          29        25659  d/1/d/5/f/b/7/0/a/8/9/6/4/7/3/57a7592c2f518477b1dc022a4
    0x1000          1         15         2        31         1        ok       0.000  0x005cd3800  0x00018e000  0x005945800        25688          45        25643  4/c/f/f/2/3/0/4/3/8/4/6/9/a/1/15004085c6ba69504a3d8ce58
    0x1000          1         15         3        45         1        ok       0.000  0x005cd3800  0x000192c00  0x005940c00        25688          60        25628  d/e/1/7/4/3/2/a/7/3/9/9/5/a/9/bab10f52e75c406153ccd1a5e
    0x1000          1         15         4        60         1        ok       0.000  0x005cd3800  0x000197c00  0x00593bc00        25688          76        25612  b/7/1/1/b/8/a/b/8/a/f/e/2/d/8/089420658d1e76d7b2552917b
    0x1000          1         15         5        75         1        ok       0.000  0x005cd3800  0x00019cc00  0x005936c00        25688          92        25596  0/6/b/f/2/d/8/4/b/8/3/7/b/a/7/1852eb1eaaa022f07e5d6d81c
    0x1000          1         15         6        90         1        ok       0.000  0x005cd3800  0x0001a1c00  0x005931c00        25688         108        25580  6/2/1/6/5/1/a/d/b/0/f/f/2/e/d/3ea713e9c65c899891e5f066a
    0x1000          1         15         7       104         1        ok       0.000  0x005cd3800  0x0001a6800  0x00592d000        25688         123        25565  6/b/4/c/5/0/9/5/4/9/d/5/f/b/b/333fec5acadb9c23abe7241b3
    0x1000          1         15         8       118         1        ok       0.000  0x005cd3800  0x0001ab400  0x005928400        25688         138        25550  d/6/d/c/0/2/e/0/f/c/b/f/2/8/9/4bfebbff3e456f8cc4ad28031
    0x1000          1         15         9       133         1        ok       0.000  0x005cd3800  0x0001b0400  0x005923400        25688         154        25534  5/0/b/e/c/a/9/5/3/c/5/f/4/4/d/cd6d3ddd69dcfdad01334cb20
    0x1000          1         15        10       148         1        ok       0.000  0x005cd3800  0x0001b5400  0x00591e400        25688         170        25518  a/d/5/8/c/7/3/9/e/7/6/6/9/1/3/4fa006f58c5aef427fe729b36
    0x1000          1         15        11       163         1        ok       0.000  0x005cd3800  0x0001ba400  0x005919400        25688         186        25502  3/1/f/6/0/2/c/d/a/0/e/7/2/c/6/a95d49a01a8a0ff42945896e7
    0x1000          1         15        12       177         1        ok       0.000  0x005cd3800  0x0001bf000  0x005914800        25688         201        25487  3/2/9/2/0/9/d/f/0/a/1/7/d/8/3/5801ca1b2f8f7bd4c813b6848
    0x1000          1         15        13       191         1        ok       0.000  0x005cd3800  0x0001c3c00  0x00590fc00        25688         216        25472  b/3/3/e/a/0/0/0/4/a/d/c/f/8/6/0e6640bb8eec4293e7ef56d69
    0x1000          1         15        14       205         1        ok       0.000  0x005cd3800  0x0001c8800  0x00590b000        25688         231        25457  4/1/1/9/7/7/b/4/7/1/c/c/a/e/3/4cdf161d54ead645ee6b7da0a
    0x1000          1         15        15       220         1        ok       0.000  0x005cd3800  0x0001cd800  0x005906000        25688         247        25441  1/d/0/b/6/3/f/1/9/1/2/e/3/3/3/48b8757b07cacd93d1cf86e54
    0x1000          1         15        16       234         1        ok       0.000  0x005cd3800  0x0001d2400  0x005901400        25688         262        25426  0/9/0/5/1/1/f/d/2/4/6/8/7/3/3/2122487830f01bed3f9c69dd7
    0x1000          1         15        17       248         1        ok       0.000  0x005cd3800  0x0001d7000  0x0058fc800        25688         277        25411  6/c/9/4/d/7/9/c/2/9/a/7/0/8/9/0750429c3283b6168a0e7ad68
    0x1000          1         15        18       262         1        ok       0.000  0x005cd3800  0x0001dbc00  0x0058f7c00        25688         292        25396  b/f/a/9/4/e/8/a/9/6/c/8/6/e/0/ccf6384c5a8cef11f30e4196c
    0x1000          1         15        19       276         1        ok       0.000  0x005cd3800  0x0001e0800  0x0058f3000        25688         307        25381  1/b/3/a/b/f/9/a/c/f/c/e/c/5/c/e742d059a28143a3110865b15
    0x1000          1         15        20       289         1        ok       0.000  0x005cd3800  0x0001e5000  0x0058ee800        25688         321        25367  1/d/f/0/c/6/a/2/3/2/b/6/9/9/1/01e7c705ce10203f05c0dd9a6
    0x1000          1         15        21       304         1        ok       0.000  0x005cd3800  0x0001ea000  0x0058e9800        25688         337        25351  7/0/5/2/2/a/7/0/6/6/1/c/9/0/3/7bbe614e7333c72d386e6d37b
    0x1000          1         15        22       319         1        ok       0.000  0x005cd3800  0x0001ef000  0x0058e4800        25688         353        25335  c/f/e/4/5/5/1/2/0/2/7/8/c/b/2/4b4c03c204823fe1f73fe25ad
    0x1000          1         15        23       333         1        ok       0.000  0x005cd3800  0x0001f3c00  0x0058dfc00        25688         368        25320  d/3/2/1/4/b/9/e/5/1/8/d/2/e/f/5a61e6811a260c7fb83616e06
    0x1000          1         15        24       346         1        ok       0.000  0x005cd3800  0x0001f8400  0x0058db400        25688         382        25306  7/0/0/c/1/6/8/9/2/b/e/e/3/8/a/13ad59edac72f5025d62aaa5c
    0x1000          1         15        25       360         1        ok       0.000  0x005cd3800  0x0001fd000  0x0058d6800        25688         397        25291  7/b/e/2/d/6/7/5/2/e/6/5/a/4/a/982f8b496d716d57ff2467234
    0x1000          1         15        26       375         1        ok       0.000  0x005cd3800  0x000202000  0x0058d1800        25688         413        25275  8/8/d/c/9/3/d/1/4/6/a/0/3/c/6/a7a7058e8b3ea1eccf3517e49
    0x1000          1         15        27       390         1        ok       0.000  0x005cd3800  0x000207000  0x0058cc800        25688         429        25259  2/3/a/9/c/7/e/9/c/4/1/b/a/2/1/6169165543a0995a4ddf0d051
    0x1000          1         15        28       404         1        ok       0.000  0x005cd3800  0x00020bc00  0x0058c7c00        25688         444        25244  4/4/b/a/1/1/5/c/b/4/c/b/9/3/1/cad3a9ede331fad23bf0e9f65
    0x1000          1         15        29       418         1        ok       0.000  0x005cd3800  0x000210800  0x0058c3000        25688         459        25229  5/9/0/d/2/2/0/9/7/7/f/7/8/e/1/6c20abe80e25e4742ddf325f4
    0x1000          1         15        30       433         1        ok       0.000  0x005cd3800  0x000215800  0x0058be000        25688         475        25213  9/8/7/f/8/5/c/3/5/f/1/b/9/7/0/2ff9d45ab9071044f9f4bd7de
    0x1000          1         15        31       447         1        ok       0.000  0x005cd3800  0x00021a400  0x0058b9400        25688         490        25198  8/1/7/8/d/f/2/8/d/2/3/b/c/f/9/fa1815155fcdd5fbdcf0757c1
    0x1000          1         15        32       459         1        ok       0.000  0x005cd3800  0x00021e800  0x0058b5000        25688         503        25185  b/3/3/5/f/6/e/6/1/5/d/e/d/b/f/5c1eb3758e0beffb5a36228dc
    0x1000          1         15        33       473         1        ok       0.000  0x005cd3800  0x000223400  0x0058b0400        25688         518        25170  d/a/a/1/8/2/5/c/f/e/6/c/d/c/9/f51d4dfaccdc4cad92f197762
    0x1000          1         15        34       488         1        ok       0.000  0x005cd3800  0x000228400  0x0058ab400        25688         534        25154  f/a/6/1/7/d/2/2/2/3/d/7/2/e/4/84fb7807c9b42f5a2eb0a68fd
    0x1000          1         15        35       502         1        ok       0.000  0x005cd3800  0x00022d000  0x0058a6800        25688         549        25139  0/c/3/9/5/e/4/1/5/1/1/a/4/3/a/a3bb8915f772e3680d6a1ca0e
    0x1000          1         15        36       516         1        ok       0.000  0x005cd3800  0x000231c00  0x0058a1c00        25688         564        25124  9/a/3/3/1/2/c/3/6/b/7/5/4/e/4/83222ec6c1e167fb07892557a
    0x1000          1         15        37       529         1        ok       0.000  0x005cd3800  0x000236400  0x00589d400        25688         578        25110  f/a/5/8/7/f/6/7/4/8/c/e/8/0/7/81734079bf42755ea2fdf1863
    0x1000          1         15        38       543         1        ok       0.000  0x005cd3800  0x00023b000  0x005898800        25688         593        25095  b/1/9/3/5/1/6/0/b/7/a/3/1/f/d/b5aa249386dd4b1364b29d55e
    0x1000          1         15        39       557         1        ok       0.000  0x005cd3800  0x00023fc00  0x005893c00        25688         608        25080  8/7/0/b/c/7/5/7/0/5/c/b/c/1/a/735e2606b932e9728c6c080e6
    0x1000          1         15        40       571         1        ok       0.000  0x005cd3800  0x000244800  0x00588f000        25688         623        25065  4/5/b/8/d/5/8/a/e/a/1/9/d/4/d/92f5e267a24497b252a622d5b
    0x1000          1         15        41       585         1        ok       0.000  0x005cd3800  0x000249400  0x00588a400        25688         638        25050  2/d/8/c/3/8/9/f/e/5/f/4/d/3/e/3b85a266b48b3423077b4f70a
