# Simulating growing object file directories
# 
# dir_split:          1
# example_file:       f/d/a/6/b/b/3/2/6/3/b/0/d/3/5/d/81abe6625e950fc290253004
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          16
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:10:19.831000
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=01 --dir-depth=16 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7446064 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          1         16         1        17         1        ok       0.000  0x005cd3800  0x000189400  0x00594a400        25688          30        25658  9/e/d/2/c/2/1/1/d/2/f/9/b/b/f/1/2527c65c99b790f1033e58ab
    0x1000          1         16         2        33         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          47        25641  e/8/c/5/a/b/f/b/b/4/2/b/9/7/0/3/04cc742a390788163434212f
    0x1000          1         16         3        49         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          64        25624  f/0/3/c/1/7/4/7/6/1/4/a/0/6/c/1/d9c0715b7e113361e15010c0
    0x1000          1         16         4        65         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          81        25607  1/6/5/c/6/d/b/f/3/c/4/c/4/4/c/9/68e79e1b5bcb685e01656305
    0x1000          1         16         5        81         1        ok       0.000  0x005cd3800  0x00019e400  0x005935400        25688          98        25590  7/2/7/b/3/f/e/d/7/7/d/b/a/e/8/0/83dff5d434df2de859f43744
    0x1000          1         16         6        96         1        ok       0.000  0x005cd3800  0x0001a3400  0x005930400        25688         114        25574  f/5/0/5/f/8/f/b/1/2/5/6/8/e/d/2/657496486e975344262a1080
    0x1000          1         16         7       112         1        ok       0.000  0x005cd3800  0x0001a8800  0x00592b000        25688         131        25557  3/c/5/0/c/b/d/9/3/8/a/6/d/3/7/9/12ee0dbaf8c32dfb86cd26fc
    0x1000          1         16         8       128         1        ok       0.000  0x005cd3800  0x0001adc00  0x005925c00        25688         148        25540  6/0/4/1/f/8/8/9/9/8/9/c/d/6/6/e/51d6e7c6f0515f2c3bb3bd6f
    0x1000          1         16         9       143         1        ok       0.000  0x005cd3800  0x0001b2c00  0x005920c00        25688         164        25524  3/2/2/5/8/a/5/4/4/5/7/8/f/2/b/a/0d86749def24b691b9ea50bb
    0x1000          1         16        10       159         1        ok       0.000  0x005cd3800  0x0001b8000  0x00591b800        25688         181        25507  c/2/3/7/b/1/1/c/8/f/c/8/3/8/c/3/b5700e9d8bc71e63717c7b03
    0x1000          1         16        11       174         1        ok       0.000  0x005cd3800  0x0001bd000  0x005916800        25688         197        25491  1/5/5/a/9/8/8/4/a/1/0/4/3/4/a/d/94bb56e8b423c0789309bd68
    0x1000          1         16        12       190         1        ok       0.000  0x005cd3800  0x0001c2400  0x005911400        25688         214        25474  4/a/6/9/0/b/e/c/0/5/9/8/4/1/1/a/9e123f45a8ff30583b2b6d44
    0x1000          1         16        13       206         1        ok       0.000  0x005cd3800  0x0001c7800  0x00590c000        25688         231        25457  8/f/b/d/3/f/f/7/0/7/f/a/2/4/4/d/489fadd8d8a9a0b06e20cc0b
    0x1000          1         16        14       221         1        ok       0.000  0x005cd3800  0x0001cc800  0x005907000        25688         247        25441  e/6/8/5/1/2/8/d/4/d/e/b/1/8/e/2/ffe51387cfb9154a3ebdb1ba
    0x1000          1         16        15       236         1        ok       0.000  0x005cd3800  0x0001d1800  0x005902000        25688         263        25425  8/c/b/7/7/0/3/a/c/5/f/8/3/9/b/d/4d507cf737d4fcfc2f35cb4f
    0x1000          1         16        16       251         1        ok       0.000  0x005cd3800  0x0001d6800  0x0058fd000        25688         279        25409  9/4/a/0/c/e/5/f/5/2/8/6/6/f/6/c/0e758e3e96d9c61397a69ddd
    0x1000          1         16        17       267         1        ok       0.000  0x005cd3800  0x0001dbc00  0x0058f7c00        25688         296        25392  5/b/8/d/1/5/3/0/5/2/4/7/e/a/8/a/7c75ab3bab9bcc9a10a345c6
    0x1000          1         16        18       283         1        ok       0.000  0x005cd3800  0x0001e1000  0x0058f2800        25688         313        25375  2/d/0/b/e/9/2/0/b/e/1/e/9/6/8/3/164f1d1dd80299abf6c140ff
    0x1000          1         16        19       298         1        ok       0.000  0x005cd3800  0x0001e6000  0x0058ed800        25688         329        25359  3/a/a/a/c/2/4/4/8/3/1/7/a/8/a/c/a43eeb67e3510936798598de
    0x1000          1         16        20       313         1        ok       0.000  0x005cd3800  0x0001eb000  0x0058e8800        25688         345        25343  7/4/8/6/7/6/c/9/9/7/8/7/d/d/1/c/dee20883cd896da15805ac31
    0x1000          1         16        21       328         1        ok       0.000  0x005cd3800  0x0001f0000  0x0058e3800        25688         361        25327  e/9/1/b/2/0/1/a/4/0/c/1/f/6/9/8/497fceb6ccdb0d6d73184a82
    0x1000          1         16        22       343         1        ok       0.000  0x005cd3800  0x0001f5000  0x0058de800        25688         377        25311  8/d/f/3/7/d/f/2/f/0/6/3/1/d/d/1/b8eb13d23771ff621c1488ad
    0x1000          1         16        23       359         1        ok       0.000  0x005cd3800  0x0001fa400  0x0058d9400        25688         394        25294  b/4/4/e/6/7/c/5/3/9/3/f/9/7/6/d/e8fba16d1c4941fd23aceb97
    0x1000          1         16        24       373         1        ok       0.000  0x005cd3800  0x0001ff000  0x0058d4800        25688         409        25279  e/8/a/6/1/1/a/5/8/9/7/3/d/5/3/7/f0206af698a14c74d22fe6e9
    0x1000          1         16        25       388         1        ok       0.000  0x005cd3800  0x000204000  0x0058cf800        25688         425        25263  3/6/1/1/6/c/1/0/3/8/8/4/8/0/4/6/c44784a6d284de7b66737c5e
    0x1000          1         16        26       403         1        ok       0.000  0x005cd3800  0x000209000  0x0058ca800        25688         441        25247  6/b/e/0/e/a/8/0/5/1/0/6/2/5/c/6/8be4f818edb81abd3d8ff4eb
    0x1000          1         16        27       418         1        ok       0.000  0x005cd3800  0x00020e000  0x0058c5800        25688         457        25231  4/7/d/c/7/5/4/0/8/5/e/7/4/0/6/4/d17da4b43f6b9007ca75b354
    0x1000          1         16        28       433         1        ok       0.000  0x005cd3800  0x000213000  0x0058c0800        25688         473        25215  5/3/1/e/d/9/a/0/7/a/6/9/1/e/2/6/36482b9e9a5b2baebeceb319
    0x1000          1         16        29       448         1        ok       0.000  0x005cd3800  0x000218000  0x0058bb800        25688         489        25199  c/d/9/3/b/3/4/2/f/1/2/5/4/b/5/b/672273bb557992514536ff09
    0x1000          1         16        30       463         1        ok       0.000  0x005cd3800  0x00021d000  0x0058b6800        25688         505        25183  3/9/0/7/2/a/9/2/d/8/4/5/c/9/0/5/501958655f3053229cf713a2
    0x1000          1         16        31       478         1        ok       0.000  0x005cd3800  0x000222000  0x0058b1800        25688         521        25167  5/7/5/2/a/0/b/2/7/6/8/a/8/6/b/2/bcaff57553fff6fed0cfc318
    0x1000          1         16        32       494         1        ok       0.000  0x005cd3800  0x000227400  0x0058ac400        25688         538        25150  a/3/6/f/5/f/9/f/c/2/d/6/6/c/9/f/a8df6165a64b2a277360e95e
    0x1000          1         16        33       509         1        ok       0.000  0x005cd3800  0x00022c400  0x0058a7400        25688         554        25134  6/c/8/e/2/3/f/c/a/2/a/8/8/1/4/a/8f21c99c323264a42d94ed27
    0x1000          1         16        34       524         1        ok       0.000  0x005cd3800  0x000231400  0x0058a2400        25688         570        25118  2/f/2/c/2/8/3/b/5/2/6/4/2/c/e/f/5a4b7284a915f9630c458c6e
    0x1000          1         16        35       539         1        ok       0.000  0x005cd3800  0x000236400  0x00589d400        25688         586        25102  3/8/6/0/6/d/9/4/3/2/b/b/8/7/f/7/d29136f9d55435fd271f183c
    0x1000          1         16        36       553         1        ok       0.000  0x005cd3800  0x00023b000  0x005898800        25688         601        25087  5/7/0/9/e/d/5/0/0/f/a/7/d/d/c/8/783e2b102b84bffac2c7bc18
    0x1000          1         16        37       569         1        ok       0.000  0x005cd3800  0x000240400  0x005893400        25688         618        25070  0/f/5/a/9/3/9/c/2/6/c/c/f/f/b/9/b0ff4e6feec9a85bf2645a1c
