# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       0a/c1/f03a5ced99467698bc239f80c4610210e70f
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          2
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:12:14.497605
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=02 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7438080 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          2         1         3         1        ok       0.000  0x005cd3800  0x000185c00  0x00594dc00        25688          16        25672  33/19/cd5fe9b1e71bd48ebd7ca76290d19b288e51
    0x1000          2          2         2         5         1        ok       0.000  0x005cd3800  0x000187800  0x00594c000        25688          19        25669  d8/99/947b1ce426607d37b6df200b2dc79516d934
    0x1000          2          2         3         7         1        ok       0.000  0x005cd3800  0x000189400  0x00594a400        25688          22        25666  e6/4f/16332f24a7a0c1a3a645871d7f9c86799824
    0x1000          2          2         4         9         1        ok       0.000  0x005cd3800  0x00018b000  0x005948800        25688          25        25663  e8/35/b3aaa9b70865dcc78bddd16bdd91a5db6695
    0x1000          2          2         5        11         1        ok       0.000  0x005cd3800  0x00018cc00  0x005946c00        25688          28        25660  a7/aa/e012f0adf28dec2f5cf44ab63c4d69f37f01
    0x1000          2          2         6        13         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          31        25657  51/8f/490044703f91a0b11632e8cb9d526813a026
    0x1000          2          2         7        15         1        ok       0.000  0x005cd3800  0x000190400  0x005943400        25688          34        25654  59/48/cdbacfbc36fed92bbe41b0a89842be6af04f
    0x1000          2          2         8        17         1        ok       0.000  0x005cd3800  0x000192000  0x005941800        25688          37        25651  ef/20/cbf6cfdb7dfde53bd1e5adffca17e88114fa
    0x1000          2          2         9        19         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          40        25648  06/d9/68b5856c4f370410920b4b57444b0e39afff
    0x1000          2          2        10        21         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          43        25645  95/c1/fee2d495326bdb44c0fa60c336c70e6683ce
    0x1000          2          2        11        23         1        ok       0.000  0x005cd3800  0x000197400  0x00593c400        25688          46        25642  87/27/559aff224f12075bebe82291f31b6165b297
    0x1000          2          2        12        25         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          49        25639  af/09/adfddc0df0efd4c71af1dceb3a47614f7d75
    0x1000          2          2        13        27         1        ok       0.000  0x005cd3800  0x00019ac00  0x005938c00        25688          52        25636  08/58/6ae4fb05132a14d2ca2a8235e8b5d8959368
    0x1000          2          2        14        29         1        ok       0.000  0x005cd3800  0x00019c800  0x005937000        25688          55        25633  70/f4/b37b70099433cae6592271073d936443246c
    0x1000          2          2        15        31         1        ok       0.000  0x005cd3800  0x00019e400  0x005935400        25688          58        25630  8a/d5/50ecdad3c2ba00a3faddcc50a02b3066d43c
    0x1000          2          2        16        33         1        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          61        25627  d4/ee/816836046aab2a50b052b6a9ddbababdb0c9
    0x1000          2          2        17        35         1        ok       0.000  0x005cd3800  0x0001a1c00  0x005931c00        25688          64        25624  8b/fc/3aca6a6156b8757e6534f64480097fe3915b
    0x1000          2          2        18        37         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688          67        25621  c4/29/e73c48daed0a0d6d7ff4105a34906db4e085
    0x1000          2          2        19        39         1        ok       0.000  0x005cd3800  0x0001a5400  0x00592e400        25688          70        25618  76/a5/14d381342b6526d866f1008eeb107fea7cf4
    0x1000          2          2        20        41         1        ok       0.000  0x005cd3800  0x0001a7000  0x00592c800        25688          73        25615  80/10/e22606bdc8f6b1637eeb45861090a50e8623
    0x1000          2          2        21        42         1        ok       0.000  0x005cd3800  0x0001a8800  0x00592b000        25688          75        25613  87/6e/0ca85deebf2ed9dcbb4d408cadf72f7dc13d
    0x1000          2          2        22        44         1        ok       0.000  0x005cd3800  0x0001aa400  0x005929400        25688          78        25610  f3/a9/fbb2c269f53392642d9b6dc94215166275a1
    0x1000          2          2        23        46         1        ok       0.000  0x005cd3800  0x0001ac000  0x005927800        25688          81        25607  32/7c/29e80f6180d072f3f2d9ee42792a887b324d
    0x1000          2          2        24        48         1        ok       0.000  0x005cd3800  0x0001adc00  0x005925c00        25688          84        25604  02/3c/d10f37f36171611c47c920e1afa8692cf8d5
    0x1000          2          2        25        50         1        ok       0.000  0x005cd3800  0x0001af800  0x005924000        25688          87        25601  1e/56/8d307730bcf05ce845b7922de9656e314ab7
    0x1000          2          2        26        52         1        ok       0.000  0x005cd3800  0x0001b1400  0x005922400        25688          90        25598  bb/89/360d5ceb137ab3812fd3a1b930618ebc5eec
    0x1000          2          2        27        53         1        ok       0.000  0x005cd3800  0x0001b2c00  0x005920c00        25688          92        25596  d8/01/2492bf3f6935d1ac93b8ed4f3758dc5262f4
    0x1000          2          2        28        55         1        ok       0.000  0x005cd3800  0x0001b4800  0x00591f000        25688          95        25593  6d/21/c560f02f1cb9da77a33094d46f02a55ed257
    0x1000          2          2        29        57         1        ok       0.000  0x005cd3800  0x0001b6400  0x00591d400        25688          98        25590  c0/65/cc59908ddd08e84aa750a79588a072505d6b
    0x1000          2          2        30        59         1        ok       0.000  0x005cd3800  0x0001b8000  0x00591b800        25688         101        25587  58/df/15654d47be30f755b8479197cf590e86dec0
    0x1000          2          2        31        61         1        ok       0.000  0x005cd3800  0x0001b9c00  0x005919c00        25688         104        25584  57/90/4f82aef643be445b6fbabf5f767d1f7ced9c
    0x1000          2          2        32        63         1        ok       0.000  0x005cd3800  0x0001bb800  0x005918000        25688         107        25581  1d/1a/ead1d130965d08f11b710d7d57e92e9b488d
    0x1000          2          2        33        65         1        ok       0.000  0x005cd3800  0x0001bd400  0x005916400        25688         110        25578  18/85/b92c0625fb96362c3c2da619262e5ecb2c73
    0x1000          2          2        34        67         1        ok       0.000  0x005cd3800  0x0001bf000  0x005914800        25688         113        25575  bc/43/5a58b9792ea281e0dc7c90abe2affb181211
    0x1000          2          2        35        69         1        ok       0.000  0x005cd3800  0x0001c0c00  0x005912c00        25688         116        25572  98/57/39da3e4519ab1d448799eda52a0f4e3cdf99
    0x1000          2          2        36        71         1        ok       0.000  0x005cd3800  0x0001c2800  0x005911000        25688         119        25569  db/7f/ea6cb9b7c439e78646b9ce3483a382ebff3a
    0x1000          2          2        37        73         1        ok       0.000  0x005cd3800  0x0001c4400  0x00590f400        25688         122        25566  0f/1a/08ee7fbfcba9f553b16c53fd072be71764c8
    0x1000          2          2        38        75         1        ok       0.000  0x005cd3800  0x0001c6000  0x00590d800        25688         125        25563  23/10/ff20ed1e20b9310581e52279a291e8dfd6d3
    0x1000          2          2        39        77         1        ok       0.000  0x005cd3800  0x0001c7c00  0x00590bc00        25688         128        25560  6c/39/afb9b231ad8f25ae187527ce7d1b9b40ebdf
    0x1000          2          2        40        79         1        ok       0.000  0x005cd3800  0x0001c9800  0x00590a000        25688         131        25557  be/69/d3a5f49a6ea069d87dad7793e749b90160ac
