# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       f5/93/05c958a6dabcd4d83922b7f9ea8eacedce6f
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          2
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:10:49.704070
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=02 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7424144 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          2         1         3         1        ok       0.000  0x005cd3800  0x000185c00  0x00594dc00        25688          16        25672  ad/57/4c02aef41451d782a220b53e2383e098929a
    0x1000          2          2         2         5         1        ok       0.000  0x005cd3800  0x000187800  0x00594c000        25688          19        25669  65/93/0ef95acff2f65defef083b24904ef1f8770a
    0x1000          2          2         3         7         1        ok       0.000  0x005cd3800  0x000189400  0x00594a400        25688          22        25666  c9/08/eb0182fd1ab285a872625575d43111e0dc33
    0x1000          2          2         4         9         1        ok       0.000  0x005cd3800  0x00018b000  0x005948800        25688          25        25663  f5/37/b46782c784bfcfeebbc3ed1d63e050f6bec8
    0x1000          2          2         5        11         1        ok       0.000  0x005cd3800  0x00018cc00  0x005946c00        25688          28        25660  be/c6/d2d4baa90a1f9f53982dc7d3725e880c8c04
    0x1000          2          2         6        13         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          31        25657  33/6b/050691d67ea15dabee0f428161fcdb491877
    0x1000          2          2         7        15         1        ok       0.000  0x005cd3800  0x000190400  0x005943400        25688          34        25654  14/1a/10ac70f4281d95dc5746647e7807c10a5ede
    0x1000          2          2         8        17         1        ok       0.000  0x005cd3800  0x000192000  0x005941800        25688          37        25651  ed/0e/5a3fd1fff16cf451e6116ade5873a9438ef2
    0x1000          2          2         9        19         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          40        25648  6c/d4/b202dc37be71fef7fbbfc1bc5fdd78fcea76
    0x1000          2          2        10        21         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          43        25645  ba/20/1a3006c7c1286bbe73b7e082652a1278ddd5
    0x1000          2          2        11        23         1        ok       0.000  0x005cd3800  0x000197400  0x00593c400        25688          46        25642  97/c4/3894337421fb380b27ee681c8c6b91d84540
    0x1000          2          2        12        25         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          49        25639  5b/e4/4a25aef802c6d4d651cc79d486e254086530
    0x1000          2          2        13        27         1        ok       0.000  0x005cd3800  0x00019ac00  0x005938c00        25688          52        25636  71/60/af8018495e4392b548126d71476894d5c282
    0x1000          2          2        14        29         1        ok       0.000  0x005cd3800  0x00019c800  0x005937000        25688          55        25633  8f/74/faa7aa357da9e7bc4b03d3c8aa30a76f1e32
    0x1000          2          2        15        31         1        ok       0.000  0x005cd3800  0x00019e400  0x005935400        25688          58        25630  e3/d1/1859633364abda1d8c614b22f794cf0b1aa3
    0x1000          2          2        16        33         1        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          61        25627  3a/33/2a5dcb58a48e89b7fcf56781351baad7b348
    0x1000          2          2        17        35         1        ok       0.000  0x005cd3800  0x0001a1c00  0x005931c00        25688          64        25624  29/93/5ff49d16990811cde95b8c1816e17639b3a0
    0x1000          2          2        18        37         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688          67        25621  1a/f0/4da255c7c12f85c216f95fd7372257f117b5
    0x1000          2          2        19        39         1        ok       0.000  0x005cd3800  0x0001a5400  0x00592e400        25688          70        25618  80/4c/498c2fc9f018e0900211dfaf19ca84b12de7
    0x1000          2          2        20        41         1        ok       0.000  0x005cd3800  0x0001a7000  0x00592c800        25688          73        25615  34/04/57fd9a12da2b33672296c15b077a9fa66be0
    0x1000          2          2        21        43         1        ok       0.000  0x005cd3800  0x0001a8c00  0x00592ac00        25688          76        25612  67/f0/25311c0b8d08d098091e52f27399b4789ad5
    0x1000          2          2        22        45         1        ok       0.000  0x005cd3800  0x0001aa800  0x005929000        25688          79        25609  11/b5/85c0f71c206a228e53cdf40d2917990acc74
    0x1000          2          2        23        47         1        ok       0.000  0x005cd3800  0x0001ac400  0x005927400        25688          82        25606  56/42/9b28f7c5796c76c35ae8744c8898e4d15c8b
    0x1000          2          2        24        49         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688          85        25603  b0/1e/12b84bc18d8a6402efc8696cf0ac3cb851db
