# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       e4/10/2e/bb9273fb73402e68fa83e21a14342d30fb
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          3
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:13:17.049524
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=03 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7408776 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          3         1         4         1        ok       0.000  0x005cd3800  0x000186000  0x00594d800        25688          17        25671  df/1c/d1/232b33b0140e7c53336594019a887f8e39
    0x1000          2          3         2         7         1        ok       0.000  0x005cd3800  0x000188000  0x00594b800        25688          21        25667  3d/95/d3/b2cc198cbd2be5fc8bda4ed1b969a420ed
    0x1000          2          3         3        10         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          25        25663  c0/db/b7/19ef4c8f5541e62c94fc4eab3181bf683e
    0x1000          2          3         4        13         1        ok       0.000  0x005cd3800  0x00018c000  0x005947800        25688          29        25659  4c/e8/52/d76ea8c53ce33568fa32569d6d59ec3264
    0x1000          2          3         5        16         1        ok       0.000  0x005cd3800  0x00018e000  0x005945800        25688          33        25655  d6/f0/32/66b9e8ad753171fca64123bc7ba710266f
    0x1000          2          3         6        19         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          37        25651  6b/d9/aa/2088dd4173f82e6604abc6a96459562fb0
    0x1000          2          3         7        22         1        ok       0.000  0x005cd3800  0x000192000  0x005941800        25688          41        25647  64/0a/bd/a1b177c36a8e8719c5605feb7233a32945
    0x1000          2          3         8        25         1        ok       0.000  0x005cd3800  0x000194000  0x00593f800        25688          45        25643  e3/3f/c3/5c66651d3abf49c86ed958ce0a7cb62fe2
    0x1000          2          3         9        28         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          49        25639  08/61/73/f549a7e0ab37e143a0c90bd7dc92e3be5e
    0x1000          2          3        10        31         1        ok       0.000  0x005cd3800  0x000198000  0x00593b800        25688          53        25635  65/7a/b7/a4af6f5f589962b1cb42f0f0d1a6adb69a
    0x1000          2          3        11        34         1        ok       0.000  0x005cd3800  0x00019a000  0x005939800        25688          57        25631  87/19/a3/fcc87ea11af959ec73dceee9ff2bbeb1d6
    0x1000          2          3        12        37         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          61        25627  46/a4/89/580e32e37abecc9db8170a1c1c7f11e312
    0x1000          2          3        13        40         1        ok       0.000  0x005cd3800  0x00019e000  0x005935800        25688          65        25623  ea/87/a5/88a976dc86d0b88141c060513d4e004fc4
    0x1000          2          3        14        43         1        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          69        25619  1a/53/f9/7cd11cc08d112827f0422d0d2022ec1c06
    0x1000          2          3        15        46         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          73        25615  8b/dc/55/87ffbcd16eb8733e8b6f1fb50cdf3dd800
    0x1000          2          3        16        49         1        ok       0.000  0x005cd3800  0x0001a4000  0x00592f800        25688          77        25611  22/98/ef/0993a2cb9788ac95ae8ab0d4f9ac936fd6
    0x1000          2          3        17        52         1        ok       0.000  0x005cd3800  0x0001a6000  0x00592d800        25688          81        25607  75/ac/a6/b7e76859bf1155472936ae83ab48f23af7
    0x1000          2          3        18        55         1        ok       0.000  0x005cd3800  0x0001a8000  0x00592b800        25688          85        25603  fd/92/13/d87b46c42897de42c7aeb63c11b39d3a22
    0x1000          2          3        19        58         1        ok       0.000  0x005cd3800  0x0001aa000  0x005929800        25688          89        25599  7b/9b/af/ff5e016a32cea0dc17c71066761cb2fc9b
    0x1000          2          3        20        61         1        ok       0.000  0x005cd3800  0x0001ac000  0x005927800        25688          93        25595  d3/a2/54/6572cc245083c61f3a8bf1b85d5ca6e989
    0x1000          2          3        21        64         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688          97        25591  52/ba/bf/5d7bf5759eb4015293ed71664b68c4f2d9
    0x1000          2          3        22        67         1        ok       0.000  0x005cd3800  0x0001b0000  0x005923800        25688         101        25587  a0/b8/00/d48a3f7e48c438291f90078fbafc2a3878
