# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       e9/0d/cf/0e/9604afee8f33e2107d81445f8f83b5a0
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          4
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:13:59.352322
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=04 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7408156 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          4         1         5         1        ok       0.000  0x005cd3800  0x000186400  0x00594d400        25688          18        25670  db/02/1b/e3/da6a4d78954d087d89f840759299ddf7
    0x1000          2          4         2         9         1        ok       0.000  0x005cd3800  0x000188800  0x00594b000        25688          23        25665  89/10/8b/fb/1008145d9507a55dc63a8301fe02bf79
    0x1000          2          4         3        13         1        ok       0.000  0x005cd3800  0x00018ac00  0x005948c00        25688          28        25660  b4/27/f5/53/e8d6b6f2499e7e25e29d8f91adb53dcf
    0x1000          2          4         4        17         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          33        25655  32/b7/21/da/d9f126da3491b83f372b3dc991b8b0f1
    0x1000          2          4         5        21         1        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          38        25650  d3/25/17/02/2ecc515d44af6206a7cc8c0f02e522d3
    0x1000          2          4         6        25         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          43        25645  26/45/ea/f0/1506b190f2d3f722109f1af9043d0b6b
    0x1000          2          4         7        29         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          48        25640  08/b3/a3/c9/fb32c434050a345899f8752ab1aedd10
    0x1000          2          4         8        33         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          53        25635  ea/82/ed/74/73ff9305cbe797492496e2ab8000292b
    0x1000          2          4         9        37         1        ok       0.000  0x005cd3800  0x000198400  0x00593b400        25688          58        25630  4e/c3/fb/c6/bb8b7896e773386b8f63abac7cfee61d
    0x1000          2          4        10        41         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          63        25625  8e/98/a2/40/14ab9502d1b2af6011b1fa516d613e2e
    0x1000          2          4        11        45         1        ok       0.000  0x005cd3800  0x00019cc00  0x005936c00        25688          68        25620  7c/be/8a/ac/cb6b887eeda268b0f13072e25c81c202
    0x1000          2          4        12        49         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          73        25615  d5/99/25/1e/a40f9f97ce6a90e64e1259cf7ec99aa6
    0x1000          2          4        13        53         1        ok       0.000  0x005cd3800  0x0001a1400  0x005932400        25688          78        25610  c8/f4/b3/83/de1714c8b69587f33f1780cc3ffbf23f
    0x1000          2          4        14        57         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688          83        25605  b9/a5/6d/af/de392fcb909b7b3285f104fd5aad20c8
