# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       41/6a/42/28/e2a8436ed6456b1d873b83c6ec1990f9
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          4
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:12:32.880941
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=04 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7422416 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          4         1         5         1        ok       0.000  0x005cd3800  0x000186400  0x00594d400        25688          18        25670  fa/50/dc/56/093a9967439184253e755d1842334105
    0x1000          2          4         2         9         1        ok       0.000  0x005cd3800  0x000188800  0x00594b000        25688          23        25665  54/9d/71/bc/73cdb678ae6a14b09622941b931c2c03
    0x1000          2          4         3        13         1        ok       0.000  0x005cd3800  0x00018ac00  0x005948c00        25688          28        25660  59/23/e1/da/d5d68aa01d7a941c981abf52b909a6cd
    0x1000          2          4         4        17         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          33        25655  2f/fc/03/4f/26d0b147846de662db1cccbbbf81e408
    0x1000          2          4         5        21         1        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          38        25650  3c/09/10/2a/db0a4fe58d6894577ce7597782e4ef77
    0x1000          2          4         6        25         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          43        25645  1b/aa/82/e4/d042ab9ff94428ba90f47f77a1535596
    0x1000          2          4         7        29         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          48        25640  15/88/d3/af/9d70fe4d7937bc21b3d2f20a98fcfb09
    0x1000          2          4         8        32         1        ok       0.000  0x005cd3800  0x000195c00  0x00593dc00        25688          52        25636  fa/0e/45/e8/8a13e40aae5e1a3074ef6735e5ab9a63
    0x1000          2          4         9        36         1        ok       0.000  0x005cd3800  0x000198000  0x00593b800        25688          57        25631  5c/9f/f6/6c/6c93cdf471464b2e8e7c0499f4955b0c
    0x1000          2          4        10        40         1        ok       0.000  0x005cd3800  0x00019a400  0x005939400        25688          62        25626  7d/bd/8e/41/68c191ef1e2c6859cc665ecaad7c5637
    0x1000          2          4        11        44         1        ok       0.000  0x005cd3800  0x00019c800  0x005937000        25688          67        25621  52/32/a2/67/98cdbfbdd68da362df5dbe91bf33de16
    0x1000          2          4        12        48         1        ok       0.000  0x005cd3800  0x00019ec00  0x005934c00        25688          72        25616  23/d6/07/90/397a1a09da04761d9832c95a5a095eb5
    0x1000          2          4        13        52         1        ok       0.000  0x005cd3800  0x0001a1000  0x005932800        25688          77        25611  6f/c8/94/34/d31fd2f59f375d210bfe1d9c49248ed7
    0x1000          2          4        14        56         1        ok       0.000  0x005cd3800  0x0001a3400  0x005930400        25688          82        25606  12/56/0e/47/653c652e93f1c93d0239bc28f705b5ce
    0x1000          2          4        15        60         1        ok       0.000  0x005cd3800  0x0001a5800  0x00592e000        25688          87        25601  aa/89/95/a0/71c556d9ddfddecd53dad9b0f5996d9f
    0x1000          2          4        16        64         1        ok       0.000  0x005cd3800  0x0001a7c00  0x00592bc00        25688          92        25596  29/4b/7b/ad/2223557764c3845a818eadbbfa9b6b8b
    0x1000          2          4        17        68         1        ok       0.000  0x005cd3800  0x0001aa000  0x005929800        25688          97        25591  d7/71/c1/03/57cd0bf79b7cb143a46942cf3f1595c5
