# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       e3/d4/e6/86/d3/aaad2380474c9414b6f22e2b511e4c
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          5
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:13:06.279891
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=05 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7419556 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          5         1         6         1        ok       0.000  0x005cd3800  0x000186800  0x00594d000        25688          19        25669  1f/0e/03/dd/5f/9a7b46ec08e36b552bb026990cda97
    0x1000          2          5         2        11         1        ok       0.000  0x005cd3800  0x000189000  0x00594a800        25688          25        25663  e1/b8/74/17/44/69f95129797c0f52da4f55d3910f26
    0x1000          2          5         3        16         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          31        25657  50/9c/fe/ff/6f/fd2a7f3e63f9d3f3edcf691c5c18e5
    0x1000          2          5         4        21         1        ok       0.000  0x005cd3800  0x00018e000  0x005945800        25688          37        25651  85/20/30/0c/e1/deded9e402342fe4f3ebbc24b68d07
    0x1000          2          5         5        26         1        ok       0.000  0x005cd3800  0x000190800  0x005943000        25688          43        25645  ac/35/21/6e/34/efe7965408e734897970df6b6c61b2
    0x1000          2          5         6        31         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          49        25639  c0/6e/fd/09/95/bc8725e8ac9463fad82cf174589e20
    0x1000          2          5         7        36         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          55        25633  42/ae/d0/a9/0e/d3321ddf39a0abfc52e52ba69b0bb4
    0x1000          2          5         8        41         1        ok       0.000  0x005cd3800  0x000198000  0x00593b800        25688          61        25627  56/95/a6/f3/6b/4e1f62a7c130bc336f7f84bb013a30
    0x1000          2          5         9        46         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          67        25621  58/97/61/7d/83/7ddf877037d1c166c7930718483e3c
    0x1000          2          5        10        51         1        ok       0.000  0x005cd3800  0x00019d000  0x005936800        25688          73        25615  d1/bd/78/07/63/c25bd6b4da8a356c2862c619c7378b
    0x1000          2          5        11        56         1        ok       0.000  0x005cd3800  0x00019f800  0x005934000        25688          79        25609  02/78/b2/a9/bb/41b4281f7b5931e44623e93f28bc06
    0x1000          2          5        12        61         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          85        25603  ae/24/1d/74/7c/a64c8359a12a0023e02f79a3b6eb0c
    0x1000          2          5        13        66         1        ok       0.000  0x005cd3800  0x0001a4800  0x00592f000        25688          91        25597  37/fc/96/f5/47/acec944d3ebe2057d90543da269c50
    0x1000          2          5        14        71         1        ok       0.000  0x005cd3800  0x0001a7000  0x00592c800        25688          97        25591  96/af/14/dd/39/4099ee7995b64ff560bfff62348302
    0x1000          2          5        15        76         1        ok       0.000  0x005cd3800  0x0001a9800  0x00592a000        25688         103        25585  d6/67/25/fd/7f/b723caf75e4863e5c94f528ca3592a
    0x1000          2          5        16        81         1        ok       0.000  0x005cd3800  0x0001ac000  0x005927800        25688         109        25579  63/ac/c5/00/e0/ce94e6fcb39a7f7b1333acacb5bfe6
    0x1000          2          5        17        85         1        ok       0.000  0x005cd3800  0x0001ae400  0x005925400        25688         114        25574  85/6a/44/80/d9/358d5b9143ce98bb5edbe800ff4ea6
    0x1000          2          5        18        90         1        ok       0.000  0x005cd3800  0x0001b0c00  0x005922c00        25688         120        25568  dd/c1/f2/f6/6a/224eabf40dd19703b523ca3a9e4827
    0x1000          2          5        19        95         1        ok       0.000  0x005cd3800  0x0001b3400  0x005920400        25688         126        25562  dc/93/40/a1/4b/0a6662b5754a0c69be79029c65df30
    0x1000          2          5        20       100         1        ok       0.000  0x005cd3800  0x0001b5c00  0x00591dc00        25688         132        25556  a5/7d/aa/56/c5/f8d7e00e9ce3ccf701004fc8509318
    0x1000          2          5        21       105         1        ok       0.000  0x005cd3800  0x0001b8400  0x00591b400        25688         138        25550  ed/f6/78/30/ed/c61719b777b6c7ead6f99f9eac5017
    0x1000          2          5        22       110         1        ok       0.000  0x005cd3800  0x0001bac00  0x005918c00        25688         144        25544  29/dc/be/ad/8f/222c66850725b23b9edf44581946b9
    0x1000          2          5        23       115         1        ok       0.000  0x005cd3800  0x0001bd400  0x005916400        25688         150        25538  87/b4/e7/07/7a/9b88a4fb7894a2089187599ed82556
    0x1000          2          5        24       120         1        ok       0.000  0x005cd3800  0x0001bfc00  0x005913c00        25688         156        25532  d4/88/b2/21/fb/48e6700e2ddc00b79817ade44ba7ca
    0x1000          2          5        25       125         1        ok       0.000  0x005cd3800  0x0001c2400  0x005911400        25688         162        25526  e8/a0/eb/99/c3/71deb90926a206dfd8c0bd7f3def6f
