# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       99/9e/1f/dd/57/bc/64b0dcce6abba58ff5d2f70413b1
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          6
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:15:00.120670
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=06 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7434404 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          6         1         7         1        ok       0.000  0x005cd3800  0x000186c00  0x00594cc00        25688          20        25668  ad/ae/75/1d/66/81/6786c6e77c9b159540c1ef050618
    0x1000          2          6         2        13         1        ok       0.000  0x005cd3800  0x000189800  0x00594a000        25688          27        25661  7a/ac/d3/45/17/dd/6545aa7b225be9df0ecdd17f934c
    0x1000          2          6         3        19         1        ok       0.000  0x005cd3800  0x00018c400  0x005947400        25688          34        25654  07/bd/3c/61/b0/8b/ce41c518f4520be43242196015b8
    0x1000          2          6         4        24         1        ok       0.000  0x005cd3800  0x00018ec00  0x005944c00        25688          40        25648  ad/79/ad/26/f8/92/d52e3a9244e2c5f226c8cc476228
    0x1000          2          6         5        30         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          47        25641  49/e5/b5/87/16/b4/8c7957c8d6ee337d55a453dad1b4
    0x1000          2          6         6        36         1        ok       0.000  0x005cd3800  0x000194400  0x00593f400        25688          54        25634  47/53/69/1b/09/9e/607951e3914858706e09111cc464
    0x1000          2          6         7        42         1        ok       0.000  0x005cd3800  0x000197000  0x00593c800        25688          61        25627  fc/3d/1c/cd/f6/dd/58ad0bb1010e7c4084c2e6394a8f
    0x1000          2          6         8        48         1        ok       0.000  0x005cd3800  0x000199c00  0x005939c00        25688          68        25620  d9/f1/37/26/a7/cd/57ef8043055269631a8584d31c4f
    0x1000          2          6         9        54         1        ok       0.000  0x005cd3800  0x00019c800  0x005937000        25688          75        25613  53/59/8e/16/aa/e4/ecbc6c4474f1e578e966f169f1cc
    0x1000          2          6        10        60         1        ok       0.000  0x005cd3800  0x00019f400  0x005934400        25688          82        25606  e6/5a/5f/25/f1/8b/f3e2a6a765449c93407a2628a80e
    0x1000          2          6        11        66         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          89        25599  98/df/bd/43/38/9a/33b53ede2242105652d5d7fd8fec
    0x1000          2          6        12        72         1        ok       0.000  0x005cd3800  0x0001a4c00  0x00592ec00        25688          96        25592  2e/43/2f/07/d9/35/65871c2a3a9394106426d8a861d8
    0x1000          2          6        13        78         1        ok       0.000  0x005cd3800  0x0001a7800  0x00592c000        25688         103        25585  d8/dd/59/76/1e/7f/7fc712e4e485cc2aa612c7edae95
    0x1000          2          6        14        84         1        ok       0.000  0x005cd3800  0x0001aa400  0x005929400        25688         110        25578  41/01/12/38/54/c1/83207e984781598b0f862536c439
    0x1000          2          6        15        90         1        ok       0.000  0x005cd3800  0x0001ad000  0x005926800        25688         117        25571  1c/b3/24/ed/8d/56/e9f982a99ad1a07a2fce1189c4f9
    0x1000          2          6        16        96         1        ok       0.000  0x005cd3800  0x0001afc00  0x005923c00        25688         124        25564  d0/b5/4a/4b/ef/40/e49d1eeac797c54d2d6379d0be27
    0x1000          2          6        17       102         1        ok       0.000  0x005cd3800  0x0001b2800  0x005921000        25688         131        25557  8f/99/e9/ef/2a/35/ae494893727a5dab09a585d7ea2f
    0x1000          2          6        18       108         1        ok       0.000  0x005cd3800  0x0001b5400  0x00591e400        25688         138        25550  d5/b4/e0/07/91/e2/24a0ad62a7241031ee720d6206d0
    0x1000          2          6        19       114         1        ok       0.000  0x005cd3800  0x0001b8000  0x00591b800        25688         145        25543  f9/2b/e3/0b/ba/e8/840f0eb44dfaeb9dfdf6cc6631a5
    0x1000          2          6        20       120         1        ok       0.000  0x005cd3800  0x0001bac00  0x005918c00        25688         152        25536  3a/30/4a/c1/d8/6a/56ff6b43d26aa829b69043a5281e
    0x1000          2          6        21       126         1        ok       0.000  0x005cd3800  0x0001bd800  0x005916000        25688         159        25529  8d/39/0c/f7/3d/f8/370701e3a8e27d77dbc891db1db2
    0x1000          2          6        22       132         1        ok       0.000  0x005cd3800  0x0001c0400  0x005913400        25688         166        25522  db/de/ba/da/bc/d3/dc5232d629a236d553348aee2e54
    0x1000          2          6        23       138         1        ok       0.000  0x005cd3800  0x0001c3000  0x005910800        25688         173        25515  92/99/0d/12/5f/01/e772acdfceab890a5c1d9e3c8bc6
    0x1000          2          6        24       144         1        ok       0.000  0x005cd3800  0x0001c5c00  0x00590dc00        25688         180        25508  c6/f9/5d/92/fa/31/89065ec54a44c6d450b518ac499f
    0x1000          2          6        25       150         1        ok       0.000  0x005cd3800  0x0001c8800  0x00590b000        25688         187        25501  39/b9/bd/f3/ed/9b/c62730d24f0077747e3b4f875798
    0x1000          2          6        26       156         1        ok       0.000  0x005cd3800  0x0001cb400  0x005908400        25688         194        25494  ce/87/e6/e2/b8/87/f8f7135dea08789356da3c7cfbdc
    0x1000          2          6        27       162         1        ok       0.000  0x005cd3800  0x0001ce000  0x005905800        25688         201        25487  16/57/b2/38/62/66/b8a07e1b7ac1fc8972c811da268d
    0x1000          2          6        28       168         1        ok       0.000  0x005cd3800  0x0001d0c00  0x005902c00        25688         208        25480  72/9f/11/ad/ca/be/1d1019ba1d6ca40950d1f26d4e3c
    0x1000          2          6        29       174         1        ok       0.000  0x005cd3800  0x0001d3800  0x005900000        25688         215        25473  c3/bf/4e/1d/8b/ef/8402f238d8268d5f31bc6994836b
    0x1000          2          6        30       180         1        ok       0.000  0x005cd3800  0x0001d6400  0x0058fd400        25688         222        25466  95/01/a3/63/32/8f/61c37069c3b3ac9f097359d8a3c1
    0x1000          2          6        31       186         1        ok       0.000  0x005cd3800  0x0001d9000  0x0058fa800        25688         229        25459  54/bc/c5/63/5b/38/a28863f6a650bec2af848153ce28
    0x1000          2          6        32       192         1        ok       0.000  0x005cd3800  0x0001dbc00  0x0058f7c00        25688         236        25452  14/3b/34/0c/85/30/6d352ba3cb48c574d45d9de094a8
    0x1000          2          6        33       198         1        ok       0.000  0x005cd3800  0x0001de800  0x0058f5000        25688         243        25445  fb/12/a0/77/7d/0c/7f75afbf967217ca69d28429cdc3
    0x1000          2          6        34       204         1        ok       0.000  0x005cd3800  0x0001e1400  0x0058f2400        25688         250        25438  85/0b/9d/93/b8/dd/0f7da53d2cc0d51e80cc13c81856
    0x1000          2          6        35       210         1        ok       0.000  0x005cd3800  0x0001e4000  0x0058ef800        25688         257        25431  2a/44/2e/18/9a/bf/4bb01acbc90f9cae69b2781c5eef
    0x1000          2          6        36       216         1        ok       0.000  0x005cd3800  0x0001e6c00  0x0058ecc00        25688         264        25424  fa/4e/a3/89/99/7b/bc13fd78ca288d642c0ba82e24dc
    0x1000          2          6        37       222         1        ok       0.000  0x005cd3800  0x0001e9800  0x0058ea000        25688         271        25417  d7/f2/bf/b6/6d/b6/288864a21cd5cd87c24e4e5b11df
    0x1000          2          6        38       228         1        ok       0.000  0x005cd3800  0x0001ec400  0x0058e7400        25688         278        25410  66/bb/e3/f2/8c/c3/1d36bc8abe3c2e60d96a0be00b63
    0x1000          2          6        39       234         1        ok       0.000  0x005cd3800  0x0001ef000  0x0058e4800        25688         285        25403  6d/d7/ca/39/59/5f/3f066026ddf92e56dc83dc5fdf7b
    0x1000          2          6        40       240         1        ok       0.000  0x005cd3800  0x0001f1c00  0x0058e1c00        25688         292        25396  58/62/54/3f/bc/6f/b399ae61e9684e63427b139cef1e
    0x1000          2          6        41       246         1        ok       0.000  0x005cd3800  0x0001f4800  0x0058df000        25688         299        25389  2d/bf/b9/3c/b2/79/ce5cd5f1ec2bb24b6ec9e2d469a4
    0x1000          2          6        42       252         1        ok       0.000  0x005cd3800  0x0001f7400  0x0058dc400        25688         306        25382  91/73/11/fb/e3/cd/44c70b522155f62989b4a241c274
    0x1000          2          6        43       258         1        ok       0.000  0x005cd3800  0x0001fa000  0x0058d9800        25688         313        25375  c5/3f/cf/b9/49/ec/b413df3efdef5411e4715e42e708
    0x1000          2          6        44       264         1        ok       0.000  0x005cd3800  0x0001fcc00  0x0058d6c00        25688         320        25368  29/eb/26/49/2e/52/d8d4dcaeec416a4089d3d5c68039
    0x1000          2          6        45       270         1        ok       0.000  0x005cd3800  0x0001ff800  0x0058d4000        25688         327        25361  5b/35/f7/b3/c6/ef/8adb155334100c6c47260d8ee21e
    0x1000          2          6        46       275         1        ok       0.000  0x005cd3800  0x000202000  0x0058d1800        25688         333        25355  f9/3e/be/68/10/f7/ff7d3ec2955286bbaa2e3dd5b531
    0x1000          2          6        47       281         1        ok       0.000  0x005cd3800  0x000204c00  0x0058cec00        25688         340        25348  2b/dd/ce/7d/cb/71/fdade191141d89064dba9fa4b8db
    0x1000          2          6        48       287         1        ok       0.000  0x005cd3800  0x000207800  0x0058cc000        25688         347        25341  64/87/f8/d0/46/fe/572f4cdcf50a95222257f9661bcf
    0x1000          2          6        49       293         1        ok       0.000  0x005cd3800  0x00020a400  0x0058c9400        25688         354        25334  b4/35/15/44/cb/fd/46c341568524a745f9c0c57ad578
    0x1000          2          6        50       298         1        ok       0.000  0x005cd3800  0x00020cc00  0x0058c6c00        25688         360        25328  d7/82/ae/f6/27/df/f5a81aca05ddb4f9c435142a9d50
    0x1000          2          6        51       304         1        ok       0.000  0x005cd3800  0x00020f800  0x0058c4000        25688         367        25321  ca/63/92/e1/e9/55/837b065ca336ab4597fd6b74fa32
    0x1000          2          6        52       310         1        ok       0.000  0x005cd3800  0x000212400  0x0058c1400        25688         374        25314  c4/b1/97/37/96/0a/7a736feb899daa63cc8a58d4af7e
    0x1000          2          6        53       315         1        ok       0.000  0x005cd3800  0x000214c00  0x0058bec00        25688         380        25308  1c/84/d6/67/89/91/c017ff8759520138bcc3d24b1caa
    0x1000          2          6        54       321         1        ok       0.000  0x005cd3800  0x000217800  0x0058bc000        25688         387        25301  77/0f/69/91/b2/e9/113b5b8646b5bd5a35652542bb8d
