# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       51/8e/16/b0/ca/2e/80507137bccf2a58b0f61ced473a
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          6
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:15:00.708692
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=06 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7403376 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          6         1         7         1        ok       0.000  0x005cd3800  0x000186c00  0x00594cc00        25688          20        25668  44/b5/89/fe/37/6e/42b9acf29e4f928d67f4828c76ea
    0x1000          2          6         2        13         1        ok       0.000  0x005cd3800  0x000189800  0x00594a000        25688          27        25661  01/ca/37/cf/d4/fc/29f30a13552c0753957fadd97632
    0x1000          2          6         3        19         1        ok       0.000  0x005cd3800  0x00018c400  0x005947400        25688          34        25654  47/40/ec/62/8b/75/ee24e9f98be4d684be5b428341dd
    0x1000          2          6         4        25         1        ok       0.000  0x005cd3800  0x00018f000  0x005944800        25688          41        25647  3b/a0/71/3b/a3/e9/8253e2b7c0077c4facfcdf67327b
    0x1000          2          6         5        31         1        ok       0.000  0x005cd3800  0x000191c00  0x005941c00        25688          48        25640  7a/64/28/36/ad/c2/34eeadb9eea7a0e4a640cb83c34c
    0x1000          2          6         6        37         1        ok       0.000  0x005cd3800  0x000194800  0x00593f000        25688          55        25633  7d/a3/e1/92/03/cf/d89ad37b3a81caa575a08cbdfbad
    0x1000          2          6         7        43         1        ok       0.000  0x005cd3800  0x000197400  0x00593c400        25688          62        25626  38/48/25/68/b3/ad/fb3962b7758dcd6a1c5dcb828426
    0x1000          2          6         8        49         1        ok       0.000  0x005cd3800  0x00019a000  0x005939800        25688          69        25619  f3/5a/4f/2f/a9/9b/fc8b29669420e69ec34c36ada6bf
    0x1000          2          6         9        55         1        ok       0.000  0x005cd3800  0x00019cc00  0x005936c00        25688          76        25612  f7/dc/e8/fb/a8/e0/aa5daf06244d0c09746d36f3f5d2
    0x1000          2          6        10        61         1        ok       0.000  0x005cd3800  0x00019f800  0x005934000        25688          83        25605  78/d9/99/8b/04/d1/ba57f29bbc193019931fbda7da71
    0x1000          2          6        11        67         1        ok       0.000  0x005cd3800  0x0001a2400  0x005931400        25688          90        25598  4c/d8/4f/77/33/1d/afe6435d087895cf85a3e69d33f8
    0x1000          2          6        12        73         1        ok       0.000  0x005cd3800  0x0001a5000  0x00592e800        25688          97        25591  7e/e3/94/84/36/bb/4c4e3203d898232ac1422265bd66
    0x1000          2          6        13        79         1        ok       0.000  0x005cd3800  0x0001a7c00  0x00592bc00        25688         104        25584  b3/0a/65/85/0f/c6/64f1f72ccd392eb2cc4b0278fc53
    0x1000          2          6        14        85         1        ok       0.000  0x005cd3800  0x0001aa800  0x005929000        25688         111        25577  fa/2e/d8/7d/01/9e/f0725f105d832f0ea0ab05834c9a
    0x1000          2          6        15        91         1        ok       0.000  0x005cd3800  0x0001ad400  0x005926400        25688         118        25570  89/16/ff/ed/41/49/4fad6eb659ea69363f587177d033
    0x1000          2          6        16        97         1        ok       0.000  0x005cd3800  0x0001b0000  0x005923800        25688         125        25563  04/7f/f0/7d/bf/0f/e56ed8935612d363cf263b153d8d
    0x1000          2          6        17       103         1        ok       0.000  0x005cd3800  0x0001b2c00  0x005920c00        25688         132        25556  2b/1e/16/ba/76/a8/c140b3998161ff1076fd335406a8
    0x1000          2          6        18       109         1        ok       0.000  0x005cd3800  0x0001b5800  0x00591e000        25688         139        25549  7f/d0/40/3f/c7/dc/96f1d2c3ea89ee94ad25e4ff4232
    0x1000          2          6        19       115         1        ok       0.000  0x005cd3800  0x0001b8400  0x00591b400        25688         146        25542  99/d6/0e/7b/5c/94/79ab553abf2a00754bc56d1d7877
    0x1000          2          6        20       121         1        ok       0.000  0x005cd3800  0x0001bb000  0x005918800        25688         153        25535  e5/42/c4/fe/68/55/fba62dbd5bbabf40acc86554c28f
    0x1000          2          6        21       126         1        ok       0.000  0x005cd3800  0x0001bd800  0x005916000        25688         159        25529  38/21/b1/96/87/77/7a8f3619112a700c622983acca11
    0x1000          2          6        22       132         1        ok       0.000  0x005cd3800  0x0001c0400  0x005913400        25688         166        25522  39/62/75/32/fe/a9/1150f2218b7b064ecd6c936447f8
    0x1000          2          6        23       138         1        ok       0.000  0x005cd3800  0x0001c3000  0x005910800        25688         173        25515  ed/fb/80/cc/85/65/7474165e2edc859d80cab98f78d3
    0x1000          2          6        24       144         1        ok       0.000  0x005cd3800  0x0001c5c00  0x00590dc00        25688         180        25508  41/ae/32/f6/f3/36/a5c9ef99330c91cbf4938c89cb6e
    0x1000          2          6        25       150         1        ok       0.000  0x005cd3800  0x0001c8800  0x00590b000        25688         187        25501  bc/27/e4/5c/78/3a/dab67c54b2417fbaa68572f492d9
    0x1000          2          6        26       156         1        ok       0.000  0x005cd3800  0x0001cb400  0x005908400        25688         194        25494  96/7a/12/93/0e/34/92b4d96f559c3a2e0c11a1b3b4e6
    0x1000          2          6        27       162         1        ok       0.000  0x005cd3800  0x0001ce000  0x005905800        25688         201        25487  9b/ec/a2/0e/59/26/50ef5e5738a2e41dd94de6367cfb
    0x1000          2          6        28       168         1        ok       0.000  0x005cd3800  0x0001d0c00  0x005902c00        25688         208        25480  0f/4c/ac/64/3c/93/2ab4f8275ef0388ae278b7bb0ab3
