# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       9b/3e/d8/70/d3/f5/5ed0b1dae1ce2a7f820534470a53
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          6
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:13:34.534386
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=06 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7417128 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          6         1         7         1        ok       0.000  0x005cd3800  0x000186c00  0x00594cc00        25688          20        25668  29/35/bc/bb/c8/60/9a51805e8dcf7d03b6667637e6ed
    0x1000          2          6         2        13         1        ok       0.000  0x005cd3800  0x000189800  0x00594a000        25688          27        25661  dc/53/25/c0/57/3a/0e72fd89255e97e254ee8ed01309
    0x1000          2          6         3        19         1        ok       0.000  0x005cd3800  0x00018c400  0x005947400        25688          34        25654  70/05/52/26/72/82/8187c46767d4718d103ced319cdd
    0x1000          2          6         4        25         1        ok       0.000  0x005cd3800  0x00018f000  0x005944800        25688          41        25647  78/d9/71/e4/32/48/50358415216e83aa6dd0d2a07a2c
    0x1000          2          6         5        31         1        ok       0.000  0x005cd3800  0x000191c00  0x005941c00        25688          48        25640  43/72/4f/57/a3/b5/b739f114714081d94ada85fa2e9b
    0x1000          2          6         6        37         1        ok       0.000  0x005cd3800  0x000194800  0x00593f000        25688          55        25633  7b/dc/18/8d/9e/65/32ecfdf5330908a8f2ef13fad0de
    0x1000          2          6         7        43         1        ok       0.000  0x005cd3800  0x000197400  0x00593c400        25688          62        25626  93/41/7c/ba/d0/b0/7589b302fef401adfa751650cb98
    0x1000          2          6         8        49         1        ok       0.000  0x005cd3800  0x00019a000  0x005939800        25688          69        25619  18/40/83/d3/24/51/245909403e6b1d0f6a64f4e9bfb5
    0x1000          2          6         9        55         1        ok       0.000  0x005cd3800  0x00019cc00  0x005936c00        25688          76        25612  b2/ca/f7/e2/54/8f/2f1b18184a6a18b4b22b27be6d5f
    0x1000          2          6        10        61         1        ok       0.000  0x005cd3800  0x00019f800  0x005934000        25688          83        25605  b9/fc/c2/dd/00/f7/5b4b501c6f364010c256dd96a968
    0x1000          2          6        11        67         1        ok       0.000  0x005cd3800  0x0001a2400  0x005931400        25688          90        25598  1b/40/e9/fb/da/4c/a4c7f25dc84ecbda0e4ac03253dc
    0x1000          2          6        12        73         1        ok       0.000  0x005cd3800  0x0001a5000  0x00592e800        25688          97        25591  65/32/e5/23/3b/3c/03c27f62b3d35fc76040290a2d3a
    0x1000          2          6        13        79         1        ok       0.000  0x005cd3800  0x0001a7c00  0x00592bc00        25688         104        25584  8b/a8/14/b2/de/3a/1e14cc6005b58929841b7aeb9e74
    0x1000          2          6        14        85         1        ok       0.000  0x005cd3800  0x0001aa800  0x005929000        25688         111        25577  12/95/35/6a/dd/fc/a139223ae53f618a719e73dcc12c
    0x1000          2          6        15        91         1        ok       0.000  0x005cd3800  0x0001ad400  0x005926400        25688         118        25570  36/37/aa/bd/01/12/7c8ab9ac8023e92017336c16a686
    0x1000          2          6        16        97         1        ok       0.000  0x005cd3800  0x0001b0000  0x005923800        25688         125        25563  99/d7/76/6f/50/00/4803b576b45d06e6d31a8f78cab4
    0x1000          2          6        17       103         1        ok       0.000  0x005cd3800  0x0001b2c00  0x005920c00        25688         132        25556  0d/e6/6b/3e/d3/05/c37451058c8e8c98499e6b12b12c
    0x1000          2          6        18       109         1        ok       0.000  0x005cd3800  0x0001b5800  0x00591e000        25688         139        25549  2e/51/25/f4/00/30/f7d79dff44b760076fdc23cdd14b
    0x1000          2          6        19       115         1        ok       0.000  0x005cd3800  0x0001b8400  0x00591b400        25688         146        25542  d9/fb/a6/b2/89/81/861998bed52ed89f084e7dd90e39
    0x1000          2          6        20       121         1        ok       0.000  0x005cd3800  0x0001bb000  0x005918800        25688         153        25535  6a/02/bc/8f/90/7b/e8c5ace522ea11325b78ed632535
    0x1000          2          6        21       127         1        ok       0.000  0x005cd3800  0x0001bdc00  0x005915c00        25688         160        25528  e7/1e/c1/1d/6f/46/1d87ff037a7e617f361becc4e5bc
    0x1000          2          6        22       133         1        ok       0.000  0x005cd3800  0x0001c0800  0x005913000        25688         167        25521  28/5d/0a/d3/2a/42/b46508a0620d2808bc03189dd932
    0x1000          2          6        23       139         1        ok       0.000  0x005cd3800  0x0001c3400  0x005910400        25688         174        25514  d7/44/c3/4c/46/7b/a327b4d2dbe3f4cfbe333e4b4a28
    0x1000          2          6        24       145         1        ok       0.000  0x005cd3800  0x0001c6000  0x00590d800        25688         181        25507  60/2d/8b/2c/dc/2b/0ed91840a8b791ee3c0d80feaefa
    0x1000          2          6        25       151         1        ok       0.000  0x005cd3800  0x0001c8c00  0x00590ac00        25688         188        25500  c6/6b/71/80/00/b0/b97e1c20305454bc31dac4a8e26f
    0x1000          2          6        26       157         1        ok       0.000  0x005cd3800  0x0001cb800  0x005908000        25688         195        25493  7e/8e/68/1c/23/54/783f97bbf0aa514c88a67c0fa5f4
    0x1000          2          6        27       163         1        ok       0.000  0x005cd3800  0x0001ce400  0x005905400        25688         202        25486  92/ab/ab/31/9b/0d/d6347a8bcb6e5ee9117d490c132c
    0x1000          2          6        28       168         1        ok       0.000  0x005cd3800  0x0001d0c00  0x005902c00        25688         208        25480  18/70/31/d0/4a/9e/600420838c1b6468718fc35963d8
    0x1000          2          6        29       174         1        ok       0.000  0x005cd3800  0x0001d3800  0x005900000        25688         215        25473  52/86/49/ae/5d/6f/bd330739e05a84f9e2d3e8da8805
