# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       e1/7a/f9/d8/a3/1c/ac/c9d84cd8a7dc307a6a9a589212
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          7
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:15:25.045048
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=07 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7432916 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          7         1         8         1        ok       0.000  0x005cd3800  0x000187000  0x00594c800        25688          21        25667  eb/58/71/e9/e4/49/80/ae18b0f2b5ef9de95419267336
    0x1000          2          7         2        15         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          29        25659  9a/a8/40/0a/cd/c2/8a/004cc061ef8b03eb3875313205
    0x1000          2          7         3        22         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          37        25651  54/84/31/08/99/eb/d7/06feb4f3653dad2ce6f33cc65b
    0x1000          2          7         4        29         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          45        25643  67/76/be/3a/1f/7c/00/4539b780b4b9b05bba6c1c94a2
    0x1000          2          7         5        36         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          53        25635  7b/6d/65/e2/af/83/3f/1eab0a45e442f5bf1830e924d6
    0x1000          2          7         6        43         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          61        25627  13/14/db/91/5c/53/be/f7da3c5eb229c2c76b09315508
    0x1000          2          7         7        50         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          69        25619  97/06/de/94/4f/7a/b9/8232e2c5ddcae82a1437a13077
    0x1000          2          7         8        57         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          77        25611  28/71/1d/aa/c8/07/46/ece4a499e8de2c3a723c23e45c
    0x1000          2          7         9        64         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          85        25603  8d/b0/1e/59/73/93/49/a0e30aa24fd7a1e6ad6cabf749
    0x1000          2          7        10        71         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          93        25595  19/ae/e1/2e/0c/59/08/8a997eb07f81421d916f8455e1
    0x1000          2          7        11        78         1        ok       0.000  0x005cd3800  0x0001a5000  0x00592e800        25688         101        25587  20/5c/e9/52/3d/a4/3a/19717ab2110f7db26ff083cbb4
    0x1000          2          7        12        85         1        ok       0.000  0x005cd3800  0x0001a8000  0x00592b800        25688         109        25579  f7/55/3d/29/34/01/c2/3cf675738589f0f7586d40f604
    0x1000          2          7        13        92         1        ok       0.000  0x005cd3800  0x0001ab000  0x005928800        25688         117        25571  fd/02/a4/48/44/5b/c7/bd43f33b3b5f56ddd7201fcf25
    0x1000          2          7        14        99         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688         125        25563  00/ba/60/56/64/cf/1a/f1e8941676015780e9ed00708d
    0x1000          2          7        15       106         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688         133        25555  7f/6c/6d/29/33/76/0e/65c3f01d24e2aaf215b092d42c
    0x1000          2          7        16       113         1        ok       0.000  0x005cd3800  0x0001b4000  0x00591f800        25688         141        25547  b9/16/36/3d/88/0e/4f/fa599ef1990a0592af452f610d
    0x1000          2          7        17       120         1        ok       0.000  0x005cd3800  0x0001b7000  0x00591c800        25688         149        25539  36/10/7b/7b/88/47/74/a09cf3240900c880f4d9713bb2
    0x1000          2          7        18       126         1        ok       0.000  0x005cd3800  0x0001b9c00  0x005919c00        25688         156        25532  97/41/db/f5/24/aa/e2/27f3cf71523ad7e7c183332f84
    0x1000          2          7        19       133         1        ok       0.000  0x005cd3800  0x0001bcc00  0x005916c00        25688         164        25524  6d/d4/5c/09/d9/eb/45/55ff487744c2ea6b98e133a0a5
    0x1000          2          7        20       140         1        ok       0.000  0x005cd3800  0x0001bfc00  0x005913c00        25688         172        25516  90/4e/50/a6/40/26/d7/339c98931227b1fe159bc3ff67
    0x1000          2          7        21       147         1        ok       0.000  0x005cd3800  0x0001c2c00  0x005910c00        25688         180        25508  74/d3/85/9a/20/a9/8b/47a8813c220af0867dee0a8cdf
    0x1000          2          7        22       154         1        ok       0.000  0x005cd3800  0x0001c5c00  0x00590dc00        25688         188        25500  c9/9a/98/cc/fd/9b/5e/ad90e9930d0a114ed96b180d40
    0x1000          2          7        23       161         1        ok       0.000  0x005cd3800  0x0001c8c00  0x00590ac00        25688         196        25492  2a/e1/56/ae/f5/49/f4/41aa949380f54dd1ee328d7a00
    0x1000          2          7        24       168         1        ok       0.000  0x005cd3800  0x0001cbc00  0x005907c00        25688         204        25484  34/ab/fc/ad/af/4a/15/c5673fdcf86c619389b16f3cb6
    0x1000          2          7        25       175         1        ok       0.000  0x005cd3800  0x0001cec00  0x005904c00        25688         212        25476  f1/2d/ed/56/de/fc/39/2ddd1bc6d14d504c24934ddc3a
    0x1000          2          7        26       182         1        ok       0.000  0x005cd3800  0x0001d1c00  0x005901c00        25688         220        25468  21/d4/9b/3f/86/28/cb/141305dedbe5d8a729858d9b40
    0x1000          2          7        27       189         1        ok       0.000  0x005cd3800  0x0001d4c00  0x0058fec00        25688         228        25460  43/30/92/13/8e/28/ae/e2fa63f3267ee05cace34e1326
