# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       19/7c/79/60/c8/3f/e2/04/3d08c38563bf3123fa7605e8
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          8
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:15:47.638998
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=08 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7433744 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          8         1         9         1        ok       0.000  0x005cd3800  0x000187400  0x00594c400        25688          22        25666  87/78/90/c2/47/4a/f2/27/fab095ce7482db1fcfe52448
    0x1000          2          8         2        17         1        ok       0.000  0x005cd3800  0x00018a800  0x005949000        25688          31        25657  8f/42/18/e4/49/0b/16/69/85159d28f14e68de06102676
    0x1000          2          8         3        25         1        ok       0.000  0x005cd3800  0x00018dc00  0x005945c00        25688          40        25648  24/d7/65/ec/09/d8/cb/be/8df236c877e91e5fb26a85a0
    0x1000          2          8         4        33         1        ok       0.000  0x005cd3800  0x000191000  0x005942800        25688          49        25639  88/b5/60/fd/78/43/b1/e1/a65212b60f58d93a0707893b
    0x1000          2          8         5        41         1        ok       0.000  0x005cd3800  0x000194400  0x00593f400        25688          58        25630  7d/af/a2/ae/3f/bc/4b/98/f97a15506f5786416466af55
    0x1000          2          8         6        49         1        ok       0.000  0x005cd3800  0x000197800  0x00593c000        25688          67        25621  60/1f/1a/e4/24/82/8e/7e/75f358d73b6ffbcbdd83e317
    0x1000          2          8         7        57         1        ok       0.000  0x005cd3800  0x00019ac00  0x005938c00        25688          76        25612  7f/70/97/82/51/71/84/cf/7c0cbd81d01f3a8b68d02539
    0x1000          2          8         8        65         1        ok       0.000  0x005cd3800  0x00019e000  0x005935800        25688          85        25603  27/d4/74/0d/01/5b/15/93/71a030fcb86916df95083e71
    0x1000          2          8         9        73         1        ok       0.000  0x005cd3800  0x0001a1400  0x005932400        25688          94        25594  77/e4/9c/d2/b6/61/13/a9/524e61d836e4b1f879399604
    0x1000          2          8        10        80         1        ok       0.000  0x005cd3800  0x0001a4400  0x00592f400        25688         102        25586  77/e8/af/ea/cb/49/4c/dc/cd93ef2f3087d5afd6930ea0
    0x1000          2          8        11        88         1        ok       0.000  0x005cd3800  0x0001a7800  0x00592c000        25688         111        25577  47/86/1d/d5/bd/9e/86/3b/c457c068bf0d510ec7305d0f
    0x1000          2          8        12        96         1        ok       0.000  0x005cd3800  0x0001aac00  0x005928c00        25688         120        25568  99/00/53/3e/12/b7/ce/40/eb28a52028f18a97e005c77f
    0x1000          2          8        13       104         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688         129        25559  dc/7c/45/e6/ef/5e/6a/77/5a8e5b338dcc944607d708a6
    0x1000          2          8        14       112         1        ok       0.000  0x005cd3800  0x0001b1400  0x005922400        25688         138        25550  3b/f4/97/bb/76/2d/68/05/e52cfab95b7a78c4ef409356
    0x1000          2          8        15       119         1        ok       0.000  0x005cd3800  0x0001b4400  0x00591f400        25688         146        25542  7f/ee/b4/89/2a/ca/55/cd/8cf9ddceaebbdd4271c7e5f3
    0x1000          2          8        16       127         1        ok       0.000  0x005cd3800  0x0001b7800  0x00591c000        25688         155        25533  9d/ae/46/f0/8b/68/5a/09/d00c3004bacff2c9047fb0b2
    0x1000          2          8        17       135         1        ok       0.000  0x005cd3800  0x0001bac00  0x005918c00        25688         164        25524  cf/65/94/79/8b/d2/e1/29/a7abb97873963c0b9e52700d
    0x1000          2          8        18       143         1        ok       0.000  0x005cd3800  0x0001be000  0x005915800        25688         173        25515  06/60/07/04/7e/a9/5e/64/a70b1b42baed41ca7949a588
    0x1000          2          8        19       151         1        ok       0.000  0x005cd3800  0x0001c1400  0x005912400        25688         182        25506  9b/26/43/b1/53/c5/7f/d3/37964a946dca4b4c07952996
    0x1000          2          8        20       159         1        ok       0.000  0x005cd3800  0x0001c4800  0x00590f000        25688         191        25497  c2/b3/77/90/92/c3/df/2c/17950a3c22784a8e25769299
    0x1000          2          8        21       167         1        ok       0.000  0x005cd3800  0x0001c7c00  0x00590bc00        25688         200        25488  93/9f/6d/f7/33/38/0e/4e/c655b221f95a46b4697ca9f9
    0x1000          2          8        22       175         1        ok       0.000  0x005cd3800  0x0001cb000  0x005908800        25688         209        25479  e8/60/90/65/da/60/d7/91/62498a7336e816d0f6bcee92
    0x1000          2          8        23       183         1        ok       0.000  0x005cd3800  0x0001ce400  0x005905400        25688         218        25470  c6/b2/84/e4/02/57/14/71/def6bd9bb9561236535e2a17
    0x1000          2          8        24       191         1        ok       0.000  0x005cd3800  0x0001d1800  0x005902000        25688         227        25461  35/f5/f2/b7/ef/20/11/c6/71499e8e52e9250e4c815c7f
    0x1000          2          8        25       199         1        ok       0.000  0x005cd3800  0x0001d4c00  0x0058fec00        25688         236        25452  8e/a6/05/7c/da/9c/93/7d/ef8c0f7ff2b5e54c480bb73c
    0x1000          2          8        26       207         1        ok       0.000  0x005cd3800  0x0001d8000  0x0058fb800        25688         245        25443  22/9e/0b/52/f9/7e/ae/fb/200d4d4f83a26360ef6b6ea2
    0x1000          2          8        27       215         1        ok       0.000  0x005cd3800  0x0001db400  0x0058f8400        25688         254        25434  98/d3/ad/32/f4/00/b5/af/3cbf7d2125e9229de17a0a0c
    0x1000          2          8        28       223         1        ok       0.000  0x005cd3800  0x0001de800  0x0058f5000        25688         263        25425  a1/76/60/d9/58/59/d9/bc/fc11dbba9a562ecef5c08d01
    0x1000          2          8        29       231         1        ok       0.000  0x005cd3800  0x0001e1c00  0x0058f1c00        25688         272        25416  8d/77/0e/e6/e2/65/1c/db/a1f7f68fdb35ffc809dd09e8
    0x1000          2          8        30       239         1        ok       0.000  0x005cd3800  0x0001e5000  0x0058ee800        25688         281        25407  43/12/9c/49/54/c4/fd/e9/39e0cc295799abd5571d16e5
    0x1000          2          8        31       247         1        ok       0.000  0x005cd3800  0x0001e8400  0x0058eb400        25688         290        25398  01/75/69/67/5b/2e/65/66/e4bcf6b23f74d3d08df0a7e1
    0x1000          2          8        32       255         1        ok       0.000  0x005cd3800  0x0001eb800  0x0058e8000        25688         299        25389  ea/35/2f/5c/59/9f/09/f9/3454dcb954d97d5db7dbe4a1
    0x1000          2          8        33       263         1        ok       0.000  0x005cd3800  0x0001eec00  0x0058e4c00        25688         308        25380  aa/46/b7/42/10/c6/82/38/cc2fab0e691759a4f5d532fb
    0x1000          2          8        34       271         1        ok       0.000  0x005cd3800  0x0001f2000  0x0058e1800        25688         317        25371  02/8c/d2/29/31/05/61/2d/12bbf6b132b202410e1228e7
    0x1000          2          8        35       279         1        ok       0.000  0x005cd3800  0x0001f5400  0x0058de400        25688         326        25362  d9/c8/fb/b0/d3/ff/ab/08/36b3ce6ec008061c572116db
    0x1000          2          8        36       287         1        ok       0.000  0x005cd3800  0x0001f8800  0x0058db000        25688         335        25353  82/d5/25/5f/06/48/aa/e1/58ec3b015ec710de5549b05d
    0x1000          2          8        37       295         1        ok       0.000  0x005cd3800  0x0001fbc00  0x0058d7c00        25688         344        25344  90/1c/8c/31/ae/7e/19/57/a7092525a294657fa41eb633
    0x1000          2          8        38       303         1        ok       0.000  0x005cd3800  0x0001ff000  0x0058d4800        25688         353        25335  48/f0/21/4d/48/34/de/a7/571ed60dcd3e76f969886241
