# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       00/d5/35/1a/8c/cb/54/e8/7f624fef17c4b26ae980bef1
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          8
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:15:47.684496
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=08 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7405116 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          8         1         9         1        ok       0.000  0x005cd3800  0x000187400  0x00594c400        25688          22        25666  a7/ba/97/a4/56/52/b6/73/98a6e1e20ca5712113eeef6b
    0x1000          2          8         2        17         1        ok       0.000  0x005cd3800  0x00018a800  0x005949000        25688          31        25657  67/79/4c/c8/82/94/af/f6/64aee48a3f5d522708a4a488
    0x1000          2          8         3        25         1        ok       0.000  0x005cd3800  0x00018dc00  0x005945c00        25688          40        25648  5e/00/93/bc/7c/5c/67/c3/da1921e55815af33fb8dec14
    0x1000          2          8         4        33         1        ok       0.000  0x005cd3800  0x000191000  0x005942800        25688          49        25639  01/ec/9b/d0/33/5d/f1/c6/65638d3da3acc13cee60153e
    0x1000          2          8         5        41         1        ok       0.000  0x005cd3800  0x000194400  0x00593f400        25688          58        25630  ed/66/92/2c/93/4c/5e/f4/a6d6d12f599107ba2fabfb7d
    0x1000          2          8         6        48         1        ok       0.000  0x005cd3800  0x000197400  0x00593c400        25688          66        25622  a7/fa/5e/2a/dd/da/47/e3/6cff8ac29ef5f49d3a9b98aa
    0x1000          2          8         7        56         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          75        25613  15/b6/66/24/9e/c7/dd/50/671c37d98d7a98ba34a9f397
    0x1000          2          8         8        64         1        ok       0.000  0x005cd3800  0x00019dc00  0x005935c00        25688          84        25604  b0/5e/fb/49/14/36/4e/7c/8a8c7645b613f5381dda1a49
    0x1000          2          8         9        72         1        ok       0.000  0x005cd3800  0x0001a1000  0x005932800        25688          93        25595  e4/33/67/6c/11/a6/fd/d7/cb7470ea37ecdce53073c2c5
    0x1000          2          8        10        80         1        ok       0.000  0x005cd3800  0x0001a4400  0x00592f400        25688         102        25586  1d/e7/8c/34/11/27/92/c5/92ebda884d8a6177eb97bc80
