# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       4a/b4/72/0d/14/92/3f/de/35/12c969919b798a3539de70
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          9
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:16:08.600297
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=09 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7432588 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2          9         1        10         1        ok       0.000  0x005cd3800  0x000187800  0x00594c000        25688          23        25665  ad/e0/12/19/6f/00/c1/06/9b/51300320e5eb390ad361d2
    0x1000          2          9         2        19         1        ok       0.000  0x005cd3800  0x00018b000  0x005948800        25688          33        25655  6e/3f/95/e9/b9/c0/4b/a1/da/ff2937a7d6a20d3271b738
    0x1000          2          9         3        28         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          43        25645  43/c2/0c/cc/db/ff/83/47/73/2ec8ae5f977b29463dc0d5
    0x1000          2          9         4        37         1        ok       0.000  0x005cd3800  0x000192000  0x005941800        25688          53        25635  a8/33/c8/53/2e/52/23/c8/79/a6beaceab62fafc2499d3d
    0x1000          2          9         5        46         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          63        25625  14/88/52/14/a5/fc/ea/3e/a2/66d1f5ae4f0417195bc958
    0x1000          2          9         6        55         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          73        25615  03/6b/23/6c/31/9e/37/73/cc/9abc6b955f5a4ed3c675bb
    0x1000          2          9         7        64         1        ok       0.000  0x005cd3800  0x00019c800  0x005937000        25688          83        25605  36/1a/18/04/ee/c2/50/9a/eb/d526c4ec3b1d9062f8592e
    0x1000          2          9         8        73         1        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          93        25595  b8/b8/e2/3b/d6/68/41/b7/ac/6cd319a7fcf4a3877fd8be
    0x1000          2          9         9        81         1        ok       0.000  0x005cd3800  0x0001a3400  0x005930400        25688         102        25586  14/46/a9/e1/fb/bf/78/68/a2/d4e4eb6ae247a15e4298ec
    0x1000          2          9        10        90         1        ok       0.000  0x005cd3800  0x0001a6c00  0x00592cc00        25688         112        25576  1c/db/d7/89/71/8e/6e/b1/8c/703da45319c7c33f9420fc
    0x1000          2          9        11        99         1        ok       0.000  0x005cd3800  0x0001aa400  0x005929400        25688         122        25566  5a/e7/2a/80/2b/88/e5/73/f9/298735ef678cbacaf3a97d
    0x1000          2          9        12       107         1        ok       0.000  0x005cd3800  0x0001ad800  0x005926000        25688         131        25557  36/5b/2b/24/73/74/17/c9/56/c78cb59285086cb2cd741a
    0x1000          2          9        13       116         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688         141        25547  02/ef/93/1c/a4/89/27/e3/fa/1bc9279cd87e5c2c0b05d5
    0x1000          2          9        14       125         1        ok       0.000  0x005cd3800  0x0001b4800  0x00591f000        25688         151        25537  58/aa/23/43/c5/89/74/72/0e/4b2a541fc3259601fd3dac
    0x1000          2          9        15       134         1        ok       0.000  0x005cd3800  0x0001b8000  0x00591b800        25688         161        25527  77/4d/cd/87/c7/4a/54/cf/d7/c16aa02e9841fdb4434f86
    0x1000          2          9        16       142         1        ok       0.000  0x005cd3800  0x0001bb400  0x005918400        25688         170        25518  58/0e/76/8b/fe/13/94/da/9a/dfe19a045bb9fcd305d679
    0x1000          2          9        17       151         1        ok       0.000  0x005cd3800  0x0001bec00  0x005914c00        25688         180        25508  c7/46/eb/9f/e6/66/61/33/65/3d24db1396535722dd8bf1
    0x1000          2          9        18       160         1        ok       0.000  0x005cd3800  0x0001c2400  0x005911400        25688         190        25498  45/c7/b2/96/7c/5f/10/d0/1c/a4a605968feab7a6c92c35
    0x1000          2          9        19       169         1        ok       0.000  0x005cd3800  0x0001c5c00  0x00590dc00        25688         200        25488  34/4e/0e/f9/40/71/ce/51/ff/2896cf4ffbe1b7c8e938ee
    0x1000          2          9        20       178         1        ok       0.000  0x005cd3800  0x0001c9400  0x00590a400        25688         210        25478  3e/df/91/22/35/c7/92/79/b0/cd40f6987d017b5218cc74
    0x1000          2          9        21       187         1        ok       0.000  0x005cd3800  0x0001ccc00  0x005906c00        25688         220        25468  7a/aa/84/4b/33/0d/6b/9a/3e/9db26262b4699c8b17b2fa
    0x1000          2          9        22       196         1        ok       0.000  0x005cd3800  0x0001d0400  0x005903400        25688         230        25458  0b/ec/f1/6b/63/e6/98/69/f3/7ef77fc1eac75aa2423771
    0x1000          2          9        23       205         1        ok       0.000  0x005cd3800  0x0001d3c00  0x0058ffc00        25688         240        25448  5c/e1/14/63/13/32/51/a1/66/0472c671fbb017a8e32085
    0x1000          2          9        24       214         1        ok       0.000  0x005cd3800  0x0001d7400  0x0058fc400        25688         250        25438  7d/dc/ca/26/ad/b1/d3/67/8b/15d3f92f28ccfff323c2e7
    0x1000          2          9        25       223         1        ok       0.000  0x005cd3800  0x0001dac00  0x0058f8c00        25688         260        25428  d3/30/d9/df/93/d9/d0/cb/e0/6c02c9f7574deebf1820c9
    0x1000          2          9        26       232         1        ok       0.000  0x005cd3800  0x0001de400  0x0058f5400        25688         270        25418  9b/04/b7/bf/57/72/80/ed/85/ba726873d4ce713257b9b0
    0x1000          2          9        27       241         1        ok       0.000  0x005cd3800  0x0001e1c00  0x0058f1c00        25688         280        25408  a7/07/85/ad/ea/6e/86/0c/b4/ac795ee5f1ba3dd1d04e74
    0x1000          2          9        28       250         1        ok       0.000  0x005cd3800  0x0001e5400  0x0058ee400        25688         290        25398  f5/bf/7b/13/91/31/7c/10/d0/bf7c6fa5cdf22e12879ccb
    0x1000          2          9        29       259         1        ok       0.000  0x005cd3800  0x0001e8c00  0x0058eac00        25688         300        25388  1f/b9/85/d7/c2/83/f4/d4/aa/6266d53365993b18750fb8
    0x1000          2          9        30       268         1        ok       0.000  0x005cd3800  0x0001ec400  0x0058e7400        25688         310        25378  6a/f8/4f/a5/fc/4b/ba/a9/44/ec50f1aa21c762fddacf46
    0x1000          2          9        31       277         1        ok       0.000  0x005cd3800  0x0001efc00  0x0058e3c00        25688         320        25368  ba/36/f5/cf/f2/82/23/a0/0c/95c34e1c270de69332659a
