# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       03/94/12/46/1f/79/70/c0/0b/af/a6/9f/05/1744a0f3406839
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          13
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:17:23.848966
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=13 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7428708 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2         13         1        14         1        ok       0.000  0x005cd3800  0x000188800  0x00594b000        25688          27        25661  89/5c/8a/a0/28/86/7e/fb/a5/1f/f5/8f/54/3d2b6161340e53
    0x1000          2         13         2        27         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          41        25647  05/9c/c2/8d/88/f1/3d/c2/88/5f/01/26/2a/4df98434e0441a
    0x1000          2         13         3        40         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          55        25633  c1/60/93/a1/2f/47/dc/5a/2d/44/f2/eb/63/ed42c6d4aa7fba
    0x1000          2         13         4        53         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          69        25619  42/f0/8c/01/e0/d7/cb/ee/e5/16/c7/0d/91/203f6ab9489525
    0x1000          2         13         5        66         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          83        25605  e7/bd/09/1f/46/ab/56/fb/ef/e2/07/72/e5/2ec080c6ba49e2
    0x1000          2         13         6        79         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          97        25591  b9/5c/02/b5/5f/38/91/51/fa/7c/76/1f/e7/700586db782723
    0x1000          2         13         7        92         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688         111        25577  76/0c/89/21/71/f4/0d/e7/26/38/11/88/cd/b107f7f44dfe32
    0x1000          2         13         8       105         1        ok       0.000  0x005cd3800  0x0001a8000  0x00592b800        25688         125        25563  f1/1f/9e/32/67/78/91/ab/5a/45/47/ab/d4/485cd47aab7271
    0x1000          2         13         9       118         1        ok       0.000  0x005cd3800  0x0001ac800  0x005927000        25688         139        25549  65/f3/3e/85/4a/5f/65/0f/cd/2c/d6/1d/2e/d3965173a1138c
    0x1000          2         13        10       131         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688         153        25535  db/69/d8/18/67/f4/6f/e9/ac/5c/d5/e0/e9/c36d7447165f5e
    0x1000          2         13        11       144         1        ok       0.000  0x005cd3800  0x0001b5800  0x00591e000        25688         167        25521  25/e3/14/b9/ca/1f/af/5e/a9/0a/b1/b9/76/0f4a3e20a44078
    0x1000          2         13        12       157         1        ok       0.000  0x005cd3800  0x0001ba000  0x005919800        25688         181        25507  c4/2b/8b/12/83/1d/47/b0/18/40/42/56/98/7cf249b3e435cc
    0x1000          2         13        13       170         1        ok       0.000  0x005cd3800  0x0001be800  0x005915000        25688         195        25493  5f/31/b9/02/32/8c/f1/67/de/ec/b7/74/0c/2a873504572f52
    0x1000          2         13        14       183         1        ok       0.000  0x005cd3800  0x0001c3000  0x005910800        25688         209        25479  0c/73/95/1f/f9/2b/c3/40/29/6e/d0/22/ff/6268921b765d60
    0x1000          2         13        15       196         1        ok       0.000  0x005cd3800  0x0001c7800  0x00590c000        25688         223        25465  40/12/ce/9d/25/21/3e/bf/0f/ef/42/22/bd/700e5df5882478
    0x1000          2         13        16       209         1        ok       0.000  0x005cd3800  0x0001cc000  0x005907800        25688         237        25451  7f/5a/09/32/51/06/42/16/6a/1e/65/ef/bf/f25ffa1a6d7aa0
    0x1000          2         13        17       222         1        ok       0.000  0x005cd3800  0x0001d0800  0x005903000        25688         251        25437  54/87/3b/3e/ec/1e/03/a9/f6/d6/4a/ad/84/d251c76ba16444
    0x1000          2         13        18       235         1        ok       0.000  0x005cd3800  0x0001d5000  0x0058fe800        25688         265        25423  17/e2/b5/16/9c/30/09/35/dc/7e/72/b7/87/f5377c1056c1c5
    0x1000          2         13        19       248         1        ok       0.000  0x005cd3800  0x0001d9800  0x0058fa000        25688         279        25409  0e/8f/cc/60/89/3c/38/b4/19/f8/ce/d5/d4/88b4e9dbd1548b
    0x1000          2         13        20       261         1        ok       0.000  0x005cd3800  0x0001de000  0x0058f5800        25688         293        25395  d9/09/9c/18/bb/5b/91/ed/01/46/c0/a1/5b/a62e7d4dd3655f
    0x1000          2         13        21       274         1        ok       0.000  0x005cd3800  0x0001e2800  0x0058f1000        25688         307        25381  f9/2d/2d/dd/ae/b4/5e/25/37/68/6e/4c/56/cf905d686d3a78
    0x1000          2         13        22       287         1        ok       0.000  0x005cd3800  0x0001e7000  0x0058ec800        25688         321        25367  99/65/61/ef/e2/97/4a/0e/12/b1/50/2d/20/8429506fed02d3
    0x1000          2         13        23       299         1        ok       0.000  0x005cd3800  0x0001eb400  0x0058e8400        25688         334        25354  c4/51/89/cd/77/0d/ea/6d/3c/13/3f/dc/80/fc90f4ae565a31
    0x1000          2         13        24       312         1        ok       0.000  0x005cd3800  0x0001efc00  0x0058e3c00        25688         348        25340  fa/1f/5b/f5/6d/40/18/82/48/7b/9e/3d/86/ef1ce1335f080e
    0x1000          2         13        25       325         1        ok       0.000  0x005cd3800  0x0001f4400  0x0058df400        25688         362        25326  c9/7c/02/1d/37/7a/e3/97/7b/27/69/bf/7f/64849c91d8668d
