# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       a5/87/fc/49/da/a6/4b/f5/96/f8/17/f9/77/4a/49a7a7288bf0
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          14
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:17:40.890321
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=14 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7426512 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2         14         1        15         1        ok       0.000  0x005cd3800  0x000188c00  0x00594ac00        25688          28        25660  d7/9f/cb/51/76/59/0b/46/61/98/ec/08/c1/fc/5042d6fe3e9c
    0x1000          2         14         2        29         1        ok       0.000  0x005cd3800  0x00018d800  0x005946000        25688          43        25645  10/9b/48/80/b0/b6/48/72/9a/69/b4/d3/84/27/8fb44b775d3e
    0x1000          2         14         3        43         1        ok       0.000  0x005cd3800  0x000192400  0x005941400        25688          58        25630  30/51/4b/8a/83/da/66/ff/93/d0/36/a0/05/c3/2c7720b90120
    0x1000          2         14         4        57         1        ok       0.000  0x005cd3800  0x000197000  0x00593c800        25688          73        25615  24/32/bf/6b/0d/4a/c3/0f/b1/e0/cf/f4/50/b7/5905c4b72ebe
    0x1000          2         14         5        71         1        ok       0.000  0x005cd3800  0x00019bc00  0x005937c00        25688          88        25600  af/1f/89/fb/98/52/d0/3b/7d/b4/7b/c8/35/36/46aa8d83853a
    0x1000          2         14         6        85         1        ok       0.000  0x005cd3800  0x0001a0800  0x005933000        25688         103        25585  d2/d1/b9/ff/62/7d/d9/a9/45/81/82/0b/e2/10/b41b33bcff15
    0x1000          2         14         7        99         1        ok       0.000  0x005cd3800  0x0001a5400  0x00592e400        25688         118        25570  db/0f/9e/6d/23/19/83/bd/38/4c/c5/6c/45/4e/d8cc5065b3d0
    0x1000          2         14         8       113         1        ok       0.000  0x005cd3800  0x0001aa000  0x005929800        25688         133        25555  2e/73/41/ae/1f/9f/7e/10/c6/d6/97/fc/17/93/a123850cca83
    0x1000          2         14         9       127         1        ok       0.000  0x005cd3800  0x0001aec00  0x005924c00        25688         148        25540  b0/f8/42/d7/7f/a9/a4/2a/31/0f/aa/40/df/8a/2381d6ac4449
    0x1000          2         14        10       141         1        ok       0.000  0x005cd3800  0x0001b3800  0x005920000        25688         163        25525  02/c0/ea/ed/d2/e8/5b/aa/f8/d8/30/d6/cf/2d/6c240ed6918b
    0x1000          2         14        11       155         1        ok       0.000  0x005cd3800  0x0001b8400  0x00591b400        25688         178        25510  21/f6/ce/37/5e/77/d4/df/d3/47/77/ed/43/55/06b88c2639af
    0x1000          2         14        12       169         1        ok       0.000  0x005cd3800  0x0001bd000  0x005916800        25688         193        25495  99/64/49/d2/72/83/e7/27/84/a4/b3/81/c4/53/071e13e1debf
    0x1000          2         14        13       183         1        ok       0.000  0x005cd3800  0x0001c1c00  0x005911c00        25688         208        25480  cc/45/ef/c0/8f/1e/87/e2/f1/79/42/ad/4f/7a/89e0eec4ea2a
    0x1000          2         14        14       197         1        ok       0.000  0x005cd3800  0x0001c6800  0x00590d000        25688         223        25465  fa/e3/bc/a4/5f/cc/2d/0e/d6/3f/49/a4/48/42/5594bbe83b66
    0x1000          2         14        15       211         1        ok       0.000  0x005cd3800  0x0001cb400  0x005908400        25688         238        25450  64/0e/72/44/39/10/c9/fa/4e/d5/a1/db/08/80/5da328a82928
    0x1000          2         14        16       225         1        ok       0.000  0x005cd3800  0x0001d0000  0x005903800        25688         253        25435  00/33/f6/a9/5f/a9/ed/67/10/db/01/81/41/4c/b833853937ad
    0x1000          2         14        17       239         1        ok       0.000  0x005cd3800  0x0001d4c00  0x0058fec00        25688         268        25420  ec/5b/07/0e/8a/01/4d/41/ff/18/18/ba/8c/6e/b9678a680312
    0x1000          2         14        18       253         1        ok       0.000  0x005cd3800  0x0001d9800  0x0058fa000        25688         283        25405  82/01/ee/77/e4/03/0b/e5/5c/7e/83/a5/14/31/93799c8a42f3
    0x1000          2         14        19       267         1        ok       0.000  0x005cd3800  0x0001de400  0x0058f5400        25688         298        25390  03/2e/cb/83/83/73/6f/31/8c/19/d5/ed/55/a3/1f119da17f66
    0x1000          2         14        20       281         1        ok       0.000  0x005cd3800  0x0001e3000  0x0058f0800        25688         313        25375  2f/69/e8/62/af/74/31/91/a0/5c/e8/b3/5e/0e/8074d66ee1e2
    0x1000          2         14        21       295         1        ok       0.000  0x005cd3800  0x0001e7c00  0x0058ebc00        25688         328        25360  92/6a/ba/a2/f2/40/e3/34/ef/02/b4/3e/7a/d6/4da4c600f055
    0x1000          2         14        22       309         1        ok       0.000  0x005cd3800  0x0001ec800  0x0058e7000        25688         343        25345  bb/f0/57/c8/1b/42/02/00/04/83/57/51/56/08/a570a221c40d
    0x1000          2         14        23       323         1        ok       0.000  0x005cd3800  0x0001f1400  0x0058e2400        25688         358        25330  b6/19/22/4b/f6/1e/18/dc/ef/80/89/d5/12/41/0f12c672be5d
    0x1000          2         14        24       337         1        ok       0.000  0x005cd3800  0x0001f6000  0x0058dd800        25688         373        25315  bc/e4/e6/45/c1/f3/da/e4/fb/8f/a3/67/31/f7/3e32f6b08824
    0x1000          2         14        25       350         1        ok       0.000  0x005cd3800  0x0001fa800  0x0058d9000        25688         387        25301  b0/fd/29/ed/52/f3/9f/28/bf/0a/e6/88/89/66/0fbee67cf7ee
    0x1000          2         14        26       363         1        ok       0.000  0x005cd3800  0x0001ff000  0x0058d4800        25688         401        25287  fa/2a/6b/6f/54/d5/27/f1/9b/93/a6/d5/60/20/ea49f769053b
    0x1000          2         14        27       377         1        ok       0.000  0x005cd3800  0x000203c00  0x0058cfc00        25688         416        25272  3e/6b/48/e0/1d/22/f5/50/f2/1d/50/98/85/e0/154e21259c26
    0x1000          2         14        28       391         1        ok       0.000  0x005cd3800  0x000208800  0x0058cb000        25688         431        25257  3d/d9/84/38/bc/59/ae/eb/11/42/5e/a4/ca/0f/2bd3927fe33a
    0x1000          2         14        29       405         1        ok       0.000  0x005cd3800  0x00020d400  0x0058c6400        25688         446        25242  48/b2/f9/79/60/09/2c/87/b5/80/0d/28/53/cf/30cf108e6182
    0x1000          2         14        30       419         1        ok       0.000  0x005cd3800  0x000212000  0x0058c1800        25688         461        25227  04/9d/3d/06/a8/c9/2f/f8/29/02/b5/68/1e/b9/76260a573271
    0x1000          2         14        31       433         1        ok       0.000  0x005cd3800  0x000216c00  0x0058bcc00        25688         476        25212  73/b0/dc/a6/6b/2c/aa/cc/95/1f/ec/9a/8d/32/b84c7c2597ac
    0x1000          2         14        32       447         1        ok       0.000  0x005cd3800  0x00021b800  0x0058b8000        25688         491        25197  cd/46/5e/23/24/b8/4d/ba/39/08/40/b6/0c/ce/5892e4474ed3
    0x1000          2         14        33       461         1        ok       0.000  0x005cd3800  0x000220400  0x0058b3400        25688         506        25182  28/06/3c/d2/d6/cf/58/03/d8/70/4e/a1/8e/cb/e99dde7c5c5c
    0x1000          2         14        34       474         1        ok       0.000  0x005cd3800  0x000224c00  0x0058aec00        25688         520        25168  af/80/9d/f1/a1/65/0c/27/f4/15/5d/08/ea/79/d1d9efd742fc
    0x1000          2         14        35       488         1        ok       0.000  0x005cd3800  0x000229800  0x0058aa000        25688         535        25153  f8/50/5f/e6/f3/18/73/99/02/d4/69/38/64/14/1d853ce94c5b
    0x1000          2         14        36       502         1        ok       0.000  0x005cd3800  0x00022e400  0x0058a5400        25688         550        25138  ee/1d/a9/bb/da/14/53/dc/7a/1a/0f/6d/6c/04/8cf6e9eece21
    0x1000          2         14        37       516         1        ok       0.000  0x005cd3800  0x000233000  0x0058a0800        25688         565        25123  e9/7b/10/aa/f4/f9/26/29/3e/70/30/ee/a7/62/4ae749faacb8
    0x1000          2         14        38       530         1        ok       0.000  0x005cd3800  0x000237c00  0x00589bc00        25688         580        25108  ae/28/de/4c/79/28/e9/42/c3/c0/a8/01/9b/24/468fada4d6d9
    0x1000          2         14        39       543         1        ok       0.000  0x005cd3800  0x00023c400  0x005897400        25688         594        25094  db/ee/1a/1b/a5/7e/a1/49/61/4b/59/ca/5e/30/70493e2f771a
    0x1000          2         14        40       556         1        ok       0.000  0x005cd3800  0x000240c00  0x005892c00        25688         608        25080  f8/8b/fe/fb/c8/0d/f8/cc/d5/c4/e6/80/26/76/8ddae574f2a5
    0x1000          2         14        41       570         1        ok       0.000  0x005cd3800  0x000245800  0x00588e000        25688         623        25065  80/36/23/05/3c/fd/0b/87/3c/06/83/c4/1d/59/fb921f7b46b7
    0x1000          2         14        42       584         1        ok       0.000  0x005cd3800  0x00024a400  0x005889400        25688         638        25050  7b/b3/63/79/23/e7/00/c4/a0/c9/42/cf/3c/08/313aa90849c3
    0x1000          2         14        43       598         1        ok       0.000  0x005cd3800  0x00024f000  0x005884800        25688         653        25035  6f/fe/9d/5d/d4/23/f0/48/27/c5/04/0d/c1/45/00b27b02a529
    0x1000          2         14        44       612         1        ok       0.000  0x005cd3800  0x000253c00  0x00587fc00        25688         668        25020  a8/cb/b3/9b/23/68/a8/98/7d/d8/ad/30/31/51/f75d34646c2c
    0x1000          2         14        45       626         1        ok       0.000  0x005cd3800  0x000258800  0x00587b000        25688         683        25005  33/ef/df/d7/28/54/50/2b/ee/da/1d/99/f7/ac/a0182f708291
    0x1000          2         14        46       640         1        ok       0.000  0x005cd3800  0x00025d400  0x005876400        25688         698        24990  f1/84/dd/0e/84/45/a0/0b/f6/f2/3f/84/ad/12/34a3f8c9079f
    0x1000          2         14        47       654         1        ok       0.000  0x005cd3800  0x000262000  0x005871800        25688         713        24975  2a/4e/33/41/ff/82/6a/1d/59/7e/6f/3d/5a/37/5263ac637d8f
    0x1000          2         14        48       668         1        ok       0.000  0x005cd3800  0x000266c00  0x00586cc00        25688         728        24960  29/8d/aa/7c/76/f7/a2/aa/44/47/82/34/00/86/4f2ea2ca24df
    0x1000          2         14        49       682         1        ok       0.000  0x005cd3800  0x00026b800  0x005868000        25688         743        24945  1c/81/a9/16/e6/06/62/11/0a/8c/29/9b/f5/93/5f3f1e43a304
    0x1000          2         14        50       696         1        ok       0.000  0x005cd3800  0x000270400  0x005863400        25688         758        24930  e8/2f/e3/69/19/89/61/77/16/4a/43/86/6e/6b/6bc367bfc863
    0x1000          2         14        51       710         1        ok       0.000  0x005cd3800  0x000275000  0x00585e800        25688         773        24915  c3/6e/f6/2d/39/aa/a0/bf/be/b8/27/1e/99/4a/f4d328f4012b
    0x1000          2         14        52       724         1        ok       0.000  0x005cd3800  0x000279c00  0x005859c00        25688         788        24900  e6/bf/39/66/78/b5/95/39/91/25/9a/92/2c/39/79c7dbb6b005
    0x1000          2         14        53       738         1        ok       0.000  0x005cd3800  0x00027e800  0x005855000        25688         803        24885  bf/79/7f/67/c5/62/dc/c4/91/8a/8f/df/9a/a6/b23ffaa688fb
    0x1000          2         14        54       752         1        ok       0.000  0x005cd3800  0x000283400  0x005850400        25688         818        24870  e0/6f/92/17/5e/4a/ec/9a/5f/d4/e5/c0/12/c7/8d646291d154
    0x1000          2         14        55       765         1        ok       0.000  0x005cd3800  0x000287c00  0x00584bc00        25688         832        24856  30/39/4a/cf/85/20/60/ce/7b/75/d4/58/36/1b/9da7383bcb1e
