# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       be/9a/6f/b3/df/fb/5e/b4/5f/89/6d/3c/51/62/8d/7b9a0bba6e
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          15
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:17:58.722356
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=15 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7424076 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2         15         1        16         1        ok       0.000  0x005cd3800  0x000189000  0x00594a800        25688          29        25659  a2/3a/f2/da/fb/30/9e/f5/07/e5/c6/5d/40/e2/7f/0d3693f33e
    0x1000          2         15         2        31         1        ok       0.000  0x005cd3800  0x00018e000  0x005945800        25688          45        25643  cc/62/7f/86/22/8f/ad/19/22/40/7f/cb/9d/30/30/e2f69921ce
    0x1000          2         15         3        46         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          61        25627  00/88/7b/2b/90/51/5e/1c/cd/3b/34/a3/c9/9b/90/6ed4dbde75
    0x1000          2         15         4        61         1        ok       0.000  0x005cd3800  0x000198000  0x00593b800        25688          77        25611  12/7c/3a/93/10/44/f5/98/e4/7c/24/a9/51/95/ef/6e440fd60c
    0x1000          2         15         5        76         1        ok       0.000  0x005cd3800  0x00019d000  0x005936800        25688          93        25595  9f/c6/b9/10/48/0f/e5/0b/6b/29/02/65/21/6c/fa/b04e482924
    0x1000          2         15         6        91         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688         109        25579  d6/58/1b/37/8e/d9/71/05/97/c3/32/88/71/8d/25/222023f09d
    0x1000          2         15         7       106         1        ok       0.000  0x005cd3800  0x0001a7000  0x00592c800        25688         125        25563  52/fe/2a/4d/06/8c/1d/51/7b/ea/57/f6/2d/dd/50/00b35004e1
    0x1000          2         15         8       121         1        ok       0.000  0x005cd3800  0x0001ac000  0x005927800        25688         141        25547  33/90/b3/3f/1c/37/fd/6c/20/12/44/14/7f/6f/78/6c917b7238
    0x1000          2         15         9       136         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688         157        25531  d4/2b/2a/f7/85/38/71/8b/e7/38/ab/50/9c/a4/33/8581fab3cd
    0x1000          2         15        10       151         1        ok       0.000  0x005cd3800  0x0001b6000  0x00591d800        25688         173        25515  02/eb/64/83/7e/f9/fe/2a/37/76/3e/c0/cb/f6/25/9bb6538565
    0x1000          2         15        11       166         1        ok       0.000  0x005cd3800  0x0001bb000  0x005918800        25688         189        25499  04/12/5a/fc/4f/52/97/91/bb/8d/6c/9c/ff/a0/1d/ca990d3f0b
    0x1000          2         15        12       180         1        ok       0.000  0x005cd3800  0x0001bfc00  0x005913c00        25688         204        25484  9f/2e/df/d7/1e/89/a8/27/1d/a3/2c/0f/8b/80/b5/491e0c1d67
    0x1000          2         15        13       195         1        ok       0.000  0x005cd3800  0x0001c4c00  0x00590ec00        25688         220        25468  fc/1a/c5/8d/55/51/d9/ee/e0/74/ee/86/a7/cc/de/ac73d35067
    0x1000          2         15        14       210         1        ok       0.000  0x005cd3800  0x0001c9c00  0x005909c00        25688         236        25452  b6/1a/96/f4/eb/df/77/14/38/cd/bc/a1/4e/19/3b/f6ebd1f7f7
    0x1000          2         15        15       225         1        ok       0.000  0x005cd3800  0x0001cec00  0x005904c00        25688         252        25436  3b/11/85/7b/d5/d7/78/29/3f/f1/ee/c2/21/2e/d9/bc3f27e9d6
    0x1000          2         15        16       240         1        ok       0.000  0x005cd3800  0x0001d3c00  0x0058ffc00        25688         268        25420  c8/4a/f7/d9/3f/ee/47/f8/27/77/31/99/05/25/f3/e10300eb4c
    0x1000          2         15        17       255         1        ok       0.000  0x005cd3800  0x0001d8c00  0x0058fac00        25688         284        25404  7d/0f/29/b7/42/ed/91/d6/cc/e9/bf/d6/ed/5e/8e/0c5d8df646
    0x1000          2         15        18       270         1        ok       0.000  0x005cd3800  0x0001ddc00  0x0058f5c00        25688         300        25388  55/76/77/57/71/5b/b5/7d/96/88/66/c9/6e/03/80/e6f95730fb
    0x1000          2         15        19       285         1        ok       0.000  0x005cd3800  0x0001e2c00  0x0058f0c00        25688         316        25372  e1/a7/eb/08/84/3e/bf/76/b5/4f/43/93/1a/7c/fb/562e5935b1
    0x1000          2         15        20       300         1        ok       0.000  0x005cd3800  0x0001e7c00  0x0058ebc00        25688         332        25356  b4/64/67/25/c3/53/91/b6/fb/ef/26/c5/cd/9e/a1/2a23149740
    0x1000          2         15        21       315         1        ok       0.000  0x005cd3800  0x0001ecc00  0x0058e6c00        25688         348        25340  9e/f0/e5/79/69/e5/e7/df/e6/43/33/4d/ff/20/45/2ff68d4108
