# Simulating growing object file directories
# 
# dir_split:          2
# example_file:       61/ef/9f/6b/30/78/6a/e4/06/cb/ca/0f/f1/1a/e3/ce/f892becf
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          16
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:18:14.913765
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=02 --dir-depth=16 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7426504 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          2         16         1        17         1        ok       0.000  0x005cd3800  0x000189400  0x00594a400        25688          30        25658  9d/4c/aa/44/15/06/ad/d6/ad/8e/26/cd/0d/1f/01/39/b140caf3
    0x1000          2         16         2        33         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          47        25641  1f/84/0b/bc/84/7e/92/01/3e/35/1d/d7/78/29/31/11/8b12bfe1
    0x1000          2         16         3        49         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          64        25624  e5/f5/0b/cb/7b/8b/5f/aa/d9/fb/9a/f8/a5/2e/09/0c/a4853287
    0x1000          2         16         4        65         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          81        25607  53/c4/aa/41/91/55/8e/9b/6b/1b/35/37/46/de/43/f6/4d280533
    0x1000          2         16         5        81         1        ok       0.000  0x005cd3800  0x00019e400  0x005935400        25688          98        25590  72/29/37/b5/3a/54/f3/b9/e3/b1/99/79/2a/4e/0f/0b/b9c6fa95
    0x1000          2         16         6        97         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688         115        25573  26/08/3e/8c/48/4a/a0/6d/52/65/33/b8/ee/1c/51/74/fe79cd71
    0x1000          2         16         7       113         1        ok       0.000  0x005cd3800  0x0001a8c00  0x00592ac00        25688         132        25556  a1/da/51/fc/38/28/c7/f3/a7/2f/06/ad/ae/82/14/41/5580be80
    0x1000          2         16         8       129         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688         149        25539  c3/4f/8e/c9/37/c8/48/0d/0b/5e/03/ce/0c/a1/52/8e/5198727c
    0x1000          2         16         9       145         1        ok       0.000  0x005cd3800  0x0001b3400  0x005920400        25688         166        25522  6f/79/2d/a6/dc/51/04/1c/f3/fa/07/78/72/61/d6/36/c8fb52ce
    0x1000          2         16        10       161         1        ok       0.000  0x005cd3800  0x0001b8800  0x00591b000        25688         183        25505  bc/25/cc/65/ad/e0/e0/e8/46/cc/62/62/43/67/74/6f/b3f5fdd8
