# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       b1b/2a6/d026cd2e4d82ba54cc73ce522eccf02679
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          2
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:18:40.199522
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=02 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7397388 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3          2         1         3         1        ok       0.000  0x005cd3800  0x000185c00  0x00594dc00        25688          16        25672  376/f46/bc37224caa671b1fe0fe31ed839e68aaf8
    0x1000          3          2         2         5         1        ok       0.000  0x005cd3800  0x000187800  0x00594c000        25688          19        25669  e40/171/169c6cd21ecd8a9b350e9aa64aa1843015
    0x1000          3          2         3         7         1        ok       0.000  0x005cd3800  0x000189400  0x00594a400        25688          22        25666  8fa/6f8/c5007e66498b1176f28bd28d78550332d8
    0x1000          3          2         4         9         1        ok       0.000  0x005cd3800  0x00018b000  0x005948800        25688          25        25663  6cc/bfe/323c979f1e4cbb8ddb8cb9390185dbff9c
    0x1000          3          2         5        11         1        ok       0.000  0x005cd3800  0x00018cc00  0x005946c00        25688          28        25660  5d4/552/a248cdc3fe50deeb32ad129fc815a8cc37
    0x1000          3          2         6        13         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          31        25657  132/ea4/1f7bbdafa74f477eafbbc5db7abdb7750e
    0x1000          3          2         7        15         1        ok       0.000  0x005cd3800  0x000190400  0x005943400        25688          34        25654  000/729/959143e50cc8a182127d83b35cc456bce1
    0x1000          3          2         8        17         1        ok       0.000  0x005cd3800  0x000192000  0x005941800        25688          37        25651  b6a/71f/441ea5dfd6e579086985eb2ffa95c3c290
    0x1000          3          2         9        19         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          40        25648  b6f/e69/787be221a03c019e0866699299daff5fef
    0x1000          3          2        10        21         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          43        25645  d09/5a8/bc6117e5d24a93a3aef6a8d477cd79cddb
    0x1000          3          2        11        23         1        ok       0.000  0x005cd3800  0x000197400  0x00593c400        25688          46        25642  2e2/661/62e9d87e52874651f08ceab30461a2012d
    0x1000          3          2        12        25         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          49        25639  535/d02/d55dce47727d8003fc9115bbbb08f2a3f4
    0x1000          3          2        13        27         1        ok       0.000  0x005cd3800  0x00019ac00  0x005938c00        25688          52        25636  de8/620/2a4207a6a2b90c83cfafbd5520aa3fa49a
    0x1000          3          2        14        29         1        ok       0.000  0x005cd3800  0x00019c800  0x005937000        25688          55        25633  38b/663/322f9e8bccac0e9790b83244abfbe453fb
    0x1000          3          2        15        31         1        ok       0.000  0x005cd3800  0x00019e400  0x005935400        25688          58        25630  51f/51b/529eefdf09b0709cb5a3f55563538b25ba
    0x1000          3          2        16        33         1        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          61        25627  7e5/6f0/684d6e6c248109138eacf0a5e4542d1d4b
    0x1000          3          2        17        35         1        ok       0.000  0x005cd3800  0x0001a1c00  0x005931c00        25688          64        25624  70b/7af/d78e57cdbdae525a823efc2f776027690c
    0x1000          3          2        18        37         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688          67        25621  9df/2df/27a168909d463e502933d628b163e27d2f
    0x1000          3          2        19        39         1        ok       0.000  0x005cd3800  0x0001a5400  0x00592e400        25688          70        25618  d95/d2e/3ebeb3274bd3f52d3c190e1b5d2bd27733
    0x1000          3          2        20        41         1        ok       0.000  0x005cd3800  0x0001a7000  0x00592c800        25688          73        25615  dcd/4c0/834e8944d489af1f17e7c46a88e445f821
    0x1000          3          2        21        43         1        ok       0.000  0x005cd3800  0x0001a8c00  0x00592ac00        25688          76        25612  186/c8e/169ec6c5421918e331073a82803ab26048
    0x1000          3          2        22        45         1        ok       0.000  0x005cd3800  0x0001aa800  0x005929000        25688          79        25609  095/697/f64d4d971863848dcdd47373143d997546
    0x1000          3          2        23        47         1        ok       0.000  0x005cd3800  0x0001ac400  0x005927400        25688          82        25606  7d3/3fd/a2088eea19fdbf1c96856d0846fbdd7d9e
    0x1000          3          2        24        49         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688          85        25603  885/728/c3d3c335e5813f19135cd6645916da6c48
    0x1000          3          2        25        51         1        ok       0.000  0x005cd3800  0x0001afc00  0x005923c00        25688          88        25600  f50/8f2/9e08a8459902fda6b95ecac1cab1518323
    0x1000          3          2        26        53         1        ok       0.000  0x005cd3800  0x0001b1800  0x005922000        25688          91        25597  d56/83c/269206a60fca03aa875cae05dd76d02e8a
    0x1000          3          2        27        55         1        ok       0.000  0x005cd3800  0x0001b3400  0x005920400        25688          94        25594  924/1ad/ed0e58d04b9eb8d733e4ee71d84f53ea17
    0x1000          3          2        28        57         1        ok       0.000  0x005cd3800  0x0001b5000  0x00591e800        25688          97        25591  735/0ed/cb48375d96982b7242a30ee6bc418f9e76
    0x1000          3          2        29        59         1        ok       0.000  0x005cd3800  0x0001b6c00  0x00591cc00        25688         100        25588  654/688/7539857cae9d09ce0f3d66bd11eaedea8c
    0x1000          3          2        30        61         1        ok       0.000  0x005cd3800  0x0001b8800  0x00591b000        25688         103        25585  990/9ae/b60d42aec66e8a016f9c4b90977c5132e5
    0x1000          3          2        31        63         1        ok       0.000  0x005cd3800  0x0001ba400  0x005919400        25688         106        25582  d79/a51/f4c7457872178819fcf6af3ed79b535a8d
    0x1000          3          2        32        65         1        ok       0.000  0x005cd3800  0x0001bc000  0x005917800        25688         109        25579  fa8/7b1/a1ff345b85c5eacf962852d66f94c3af93
    0x1000          3          2        33        67         1        ok       0.000  0x005cd3800  0x0001bdc00  0x005915c00        25688         112        25576  f42/d2f/f7140a98ee16f5db44a721d6345bd674c8
    0x1000          3          2        34        69         1        ok       0.000  0x005cd3800  0x0001bf800  0x005914000        25688         115        25573  d7d/fe2/235a68a4c6b12c12adae4c5dd9bffffed0
    0x1000          3          2        35        71         1        ok       0.000  0x005cd3800  0x0001c1400  0x005912400        25688         118        25570  83c/eb7/6a2309435bbc9ef72ea2dbabfc459ccfe7
    0x1000          3          2        36        73         1        ok       0.000  0x005cd3800  0x0001c3000  0x005910800        25688         121        25567  dbf/254/826480206bd25f99275723e40ae9b67b38
    0x1000          3          2        37        75         1        ok       0.000  0x005cd3800  0x0001c4c00  0x00590ec00        25688         124        25564  c09/e4e/008484216d0a09e7fd8b44bf93035f1b5b
    0x1000          3          2        38        77         1        ok       0.000  0x005cd3800  0x0001c6800  0x00590d000        25688         127        25561  73e/a47/c9e94f9c4d9a5b1c113aadf15ac69def09
    0x1000          3          2        39        79         1        ok       0.000  0x005cd3800  0x0001c8400  0x00590b400        25688         130        25558  e41/635/fb4100d52d2d047795196c3dcabcd10327
    0x1000          3          2        40        81         1        ok       0.000  0x005cd3800  0x0001ca000  0x005909800        25688         133        25555  bb2/371/db208a85c607f244f6f2ba8e21785c4219
    0x1000          3          2        41        83         1        ok       0.000  0x005cd3800  0x0001cbc00  0x005907c00        25688         136        25552  807/51d/4e2aeeaaa10eedae9844ae560168439fed
    0x1000          3          2        42        85         1        ok       0.000  0x005cd3800  0x0001cd800  0x005906000        25688         139        25549  e84/c25/1296a8befa7a3ec61bc7a2f371c84d8d58
    0x1000          3          2        43        87         1        ok       0.000  0x005cd3800  0x0001cf400  0x005904400        25688         142        25546  326/bc4/373c51fe69a346eaa285527c2585108da2
    0x1000          3          2        44        89         1        ok       0.000  0x005cd3800  0x0001d1000  0x005902800        25688         145        25543  3b5/106/68fbc9f579502c36b8e38c4ef3174432b1
    0x1000          3          2        45        91         1        ok       0.000  0x005cd3800  0x0001d2c00  0x005900c00        25688         148        25540  393/937/6a29046ff6fa9496955c272d944150b117
    0x1000          3          2        46        93         1        ok       0.000  0x005cd3800  0x0001d4800  0x0058ff000        25688         151        25537  b09/695/cbcfd7846e52125e8dd8cfb7a34420d976
    0x1000          3          2        47        95         1        ok       0.000  0x005cd3800  0x0001d6400  0x0058fd400        25688         154        25534  383/05f/9a51e449faba909270cc727d4971f2f505
    0x1000          3          2        48        97         1        ok       0.000  0x005cd3800  0x0001d8000  0x0058fb800        25688         157        25531  15e/0ba/c75a1100a1571e641c353deab135b800bf
    0x1000          3          2        49        99         1        ok       0.000  0x005cd3800  0x0001d9c00  0x0058f9c00        25688         160        25528  eb2/ad0/8bafc9fac17da9f410a5efbbae9e8a9248
    0x1000          3          2        50       101         1        ok       0.000  0x005cd3800  0x0001db800  0x0058f8000        25688         163        25525  aeb/06b/98faedfde104479553e7a2c097a9d141ad
