# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       aec/00a/6a3/041/1b2f003abbdf952827f4ce74e4fc
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          4
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:22:13.038032
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=04 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7416080 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3          4         1         5         1        ok       0.001  0x005cd3800  0x000186400  0x00594d400        25688          18        25670  58a/1e0/831/a72/01798cf1c63218860fdedd333cce
    0x1000          3          4         2         9         1        ok       0.001  0x005cd3800  0x000188800  0x00594b000        25688          23        25665  dd2/b33/bcf/0a1/6ba5b5b399b190b01618bc989836
    0x1000          3          4         3        13         1        ok       0.000  0x005cd3800  0x00018ac00  0x005948c00        25688          28        25660  e5a/9b0/e33/317/8a4a1fc806e00f586636f6cfaf1d
    0x1000          3          4         4        17         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          33        25655  920/c9b/f4a/59e/e90dee1788ec908b64bb76235a53
    0x1000          3          4         5        21         1        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          38        25650  ad2/a59/db4/10f/a6219b7586a8089624781603820e
    0x1000          3          4         6        25         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          43        25645  f21/b9c/9b4/ac2/01a61dad227fc6148436c43dd501
    0x1000          3          4         7        29         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          48        25640  15a/3d6/c37/fed/c0b5683d4caa95833b66f4b93c75
    0x1000          3          4         8        33         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          53        25635  b95/524/7b3/e51/e90534ca1192bc194c5b6bdd2457
    0x1000          3          4         9        37         1        ok       0.000  0x005cd3800  0x000198400  0x00593b400        25688          58        25630  181/775/b4a/b97/13f34f02800db673996920420f57
    0x1000          3          4        10        41         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          63        25625  c7c/dce/254/b60/7ef1b12f39ba544c0a8e824b0ed0
    0x1000          3          4        11        45         1        ok       0.000  0x005cd3800  0x00019cc00  0x005936c00        25688          68        25620  ff1/316/859/8d8/f308441cb5ab1ffd1be155cad132
    0x1000          3          4        12        49         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          73        25615  b94/2af/e20/80d/0de8f31f4f486c216f1ae7d5228a
    0x1000          3          4        13        53         1        ok       0.000  0x005cd3800  0x0001a1400  0x005932400        25688          78        25610  bbc/26c/fe9/04a/859e39f4b4d0700097f331e7bc41
    0x1000          3          4        14        57         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688          83        25605  422/80a/2d5/7c0/9012b456d0966305136e75daff13
    0x1000          3          4        15        61         1        ok       0.000  0x005cd3800  0x0001a5c00  0x00592dc00        25688          88        25600  d84/0d2/47c/2d6/35801f45988cf2886a3ee01f5bc0
    0x1000          3          4        16        65         1        ok       0.000  0x005cd3800  0x0001a8000  0x00592b800        25688          93        25595  0ca/066/40e/568/e029cac0cac707db8aed96fac3c4
    0x1000          3          4        17        69         1        ok       0.000  0x005cd3800  0x0001aa400  0x005929400        25688          98        25590  7c3/044/362/0ac/c81133408887321d2dbf2b9437c4
    0x1000          3          4        18        73         1        ok       0.000  0x005cd3800  0x0001ac800  0x005927000        25688         103        25585  40d/b03/b47/d89/0400faa1fce58cb71a13c2187834
    0x1000          3          4        19        77         1        ok       0.000  0x005cd3800  0x0001aec00  0x005924c00        25688         108        25580  297/f05/b7d/01e/7a942dbf1f1424225c47a26d59aa
    0x1000          3          4        20        81         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688         113        25575  899/25f/5e9/afa/3020e0d7e98794f3572ef8ffbac9
    0x1000          3          4        21        85         1        ok       0.000  0x005cd3800  0x0001b3400  0x005920400        25688         118        25570  ae0/d64/a92/62f/cc1c6d14af590c4c99bd3aa84f85
    0x1000          3          4        22        89         1        ok       0.000  0x005cd3800  0x0001b5800  0x00591e000        25688         123        25565  2b0/e31/327/948/e65bab29c66aca926d020e86a8ac
    0x1000          3          4        23        93         1        ok       0.000  0x005cd3800  0x0001b7c00  0x00591bc00        25688         128        25560  99e/029/bf9/e70/04a2cde01fccd2600ed72378739b
    0x1000          3          4        24        97         1        ok       0.000  0x005cd3800  0x0001ba000  0x005919800        25688         133        25555  d4d/200/664/4ac/07ac0904d7684510434273ca0540
    0x1000          3          4        25       101         1        ok       0.000  0x005cd3800  0x0001bc400  0x005917400        25688         138        25550  c3d/350/293/254/cd162db3b3db7f71e3f77907252c
    0x1000          3          4        26       105         1        ok       0.000  0x005cd3800  0x0001be800  0x005915000        25688         143        25545  5e3/f6e/c02/7e3/2770f51c88011976c9c3353b6546
    0x1000          3          4        27       109         1        ok       0.000  0x005cd3800  0x0001c0c00  0x005912c00        25688         148        25540  773/bfe/d80/bfb/25d6e25ad6f9a3f1b9a5c20031a7
    0x1000          3          4        28       113         1        ok       0.000  0x005cd3800  0x0001c3000  0x005910800        25688         153        25535  d01/d1c/93c/7cc/f1985a8a95892185416def1238e7
    0x1000          3          4        29       117         1        ok       0.000  0x005cd3800  0x0001c5400  0x00590e400        25688         158        25530  b79/c8f/d2f/235/2513793dbeb1554057c19edc1535
    0x1000          3          4        30       121         1        ok       0.000  0x005cd3800  0x0001c7800  0x00590c000        25688         163        25525  155/35d/654/944/8c7ad22b29384624b81acdba53a5
    0x1000          3          4        31       125         1        ok       0.000  0x005cd3800  0x0001c9c00  0x005909c00        25688         168        25520  745/5c9/ce4/2f4/cd2eacdc17f776a1ae47d0517c6a
    0x1000          3          4        32       129         1        ok       0.000  0x005cd3800  0x0001cc000  0x005907800        25688         173        25515  b70/49a/f34/c7f/eb8f9495ca04d936180d73d6f5ae
