# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       966/630/ec3/da3/550fe92778a78781bd08a273fc3d
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          4
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:19:05.395047
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=04 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7404648 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3          4         1         5         1        ok       0.000  0x005cd3800  0x000186400  0x00594d400        25688          18        25670  278/918/2a8/192/47c7663dff838c3aad366ca25db3
    0x1000          3          4         2         9         1        ok       0.000  0x005cd3800  0x000188800  0x00594b000        25688          23        25665  815/56c/cd8/fe3/71086d9b344c64539fa321ba93dc
    0x1000          3          4         3        13         1        ok       0.000  0x005cd3800  0x00018ac00  0x005948c00        25688          28        25660  fe8/3d8/dc1/49a/efc9abb1e8e0974f5ecbb4e8f92f
    0x1000          3          4         4        17         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          33        25655  af4/7d7/fdb/44e/46a877961c5399c42697900cde16
    0x1000          3          4         5        21         1        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          38        25650  0f7/6ad/43d/4cf/7c5298fcec4cd583bb7ea6c8bf60
    0x1000          3          4         6        25         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          43        25645  6f6/066/4ca/cb3/37666d7e34ae27d72f6fdb5615e3
    0x1000          3          4         7        29         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          48        25640  873/99c/6f0/e17/43390416e97a1c61bf7cd34639c4
    0x1000          3          4         8        33         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          53        25635  e89/cb8/be4/a4e/430e35de06072e6c95c593497588
    0x1000          3          4         9        37         1        ok       0.000  0x005cd3800  0x000198400  0x00593b400        25688          58        25630  9b1/b09/ebe/e3e/719825ea8d98d7fbf93498160308
    0x1000          3          4        10        41         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          63        25625  015/979/9af/c74/b9521700c9a5471d9797ffc47f13
    0x1000          3          4        11        45         1        ok       0.000  0x005cd3800  0x00019cc00  0x005936c00        25688          68        25620  f93/b58/64f/307/8250cf7143a9ad0fae16a2075143
    0x1000          3          4        12        49         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          73        25615  647/20f/225/eb4/6ea6015c1358dee402830f260918
    0x1000          3          4        13        53         1        ok       0.000  0x005cd3800  0x0001a1400  0x005932400        25688          78        25610  fb8/862/279/180/ba4c27244046d42975cdb52a33d7
    0x1000          3          4        14        57         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688          83        25605  3df/680/39e/7eb/0858677f1572675c31c2a43499f8
