# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       9e9/be1/e59/c73/5a5/2da90ff5fc0ba2cedb2558def
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          5
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:22:47.353167
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=05 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7414052 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3          5         1         6         1        ok       0.000  0x005cd3800  0x000186800  0x00594d000        25688          19        25669  00d/2b5/058/ead/e5d/3f23b4b21bc018e6792189d29
    0x1000          3          5         2        11         1        ok       0.000  0x005cd3800  0x000189000  0x00594a800        25688          25        25663  29b/13e/085/d84/74c/e1bad7e53bedf8e362c8492fc
    0x1000          3          5         3        16         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          31        25657  487/761/b70/094/49e/1449e25ab7b3648a3175ca682
    0x1000          3          5         4        21         1        ok       0.000  0x005cd3800  0x00018e000  0x005945800        25688          37        25651  ab2/d67/7e1/778/bd6/50e3b3b140a05c2bb0e5c8be0
    0x1000          3          5         5        26         1        ok       0.000  0x005cd3800  0x000190800  0x005943000        25688          43        25645  71c/d57/af3/ae2/2a9/d10e456679bf5f5f694c54651
    0x1000          3          5         6        31         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          49        25639  f89/71a/255/26f/7ef/94ebe5e258d36ea98b978a5ca
    0x1000          3          5         7        36         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          55        25633  943/c1d/9d7/b00/8bd/6e318e4a068851cdff6eb771e
    0x1000          3          5         8        41         1        ok       0.000  0x005cd3800  0x000198000  0x00593b800        25688          61        25627  fae/c42/269/40e/87e/9e028a242b43a69c00c76aa8a
    0x1000          3          5         9        46         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          67        25621  6f1/f29/19e/a0e/ccf/ddbc1e0f600569923c4ded5e6
    0x1000          3          5        10        51         1        ok       0.000  0x005cd3800  0x00019d000  0x005936800        25688          73        25615  80e/e63/e9b/135/3dd/051c47e97e826e75e5f33057a
    0x1000          3          5        11        56         1        ok       0.000  0x005cd3800  0x00019f800  0x005934000        25688          79        25609  49f/9f7/f30/233/89a/314d0308c1c0a3c98fdb8655a
    0x1000          3          5        12        61         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          85        25603  7ab/acb/e11/f9c/e05/8ff0f427376e9beae9fe99d08
    0x1000          3          5        13        66         1        ok       0.000  0x005cd3800  0x0001a4800  0x00592f000        25688          91        25597  739/46a/72a/7e1/337/aa5233cc6921576a73f38ba91
    0x1000          3          5        14        71         1        ok       0.000  0x005cd3800  0x0001a7000  0x00592c800        25688          97        25591  82a/8b1/241/7c0/a6c/d65f6c61c8f6383d2b7b1d8ba
