# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       f0c/21b/3e7/921/1f5/f88b4e76f3b981c6b6be66ebb
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          5
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:19:42.233159
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=05 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7403228 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3          5         1         6         1        ok       0.000  0x005cd3800  0x000186800  0x00594d000        25688          19        25669  835/98c/a0f/83d/026/905520bbcf6630aaafbb5e6f6
    0x1000          3          5         2        11         1        ok       0.000  0x005cd3800  0x000189000  0x00594a800        25688          25        25663  0bd/796/6a8/a2b/e14/f028b2357b325a90e9ee28dcd
    0x1000          3          5         3        16         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          31        25657  d04/77f/01e/685/97b/065f15e3b28bd0ce3c4e8d973
    0x1000          3          5         4        21         1        ok       0.000  0x005cd3800  0x00018e000  0x005945800        25688          37        25651  8cc/7ba/89c/e7a/de6/43f9e883064295144a9d470d6
    0x1000          3          5         5        26         1        ok       0.000  0x005cd3800  0x000190800  0x005943000        25688          43        25645  fed/eb3/995/a92/a0c/eeb62cce21d8699e8034cd631
    0x1000          3          5         6        31         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          49        25639  6b4/2ae/e07/4e8/037/4bc00933ac59b9c9469675ed8
    0x1000          3          5         7        36         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          55        25633  053/d73/8a0/465/615/4b2f177b0cea081a2f4d41166
    0x1000          3          5         8        41         1        ok       0.000  0x005cd3800  0x000198000  0x00593b800        25688          61        25627  d4b/9ab/3bb/0d2/9fa/e8b501d1de264d6f1d2fd0101
    0x1000          3          5         9        46         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          67        25621  1b2/d51/3bf/5fa/f0c/b17ee14d566e6f765a3c09b19
    0x1000          3          5        10        51         1        ok       0.000  0x005cd3800  0x00019d000  0x005936800        25688          73        25615  f70/23a/6b9/397/93c/5151a1cf3a64bfa2d4b4c7f3a
    0x1000          3          5        11        56         1        ok       0.000  0x005cd3800  0x00019f800  0x005934000        25688          79        25609  3a1/f88/6b5/e4c/80f/b16290b8bee9fd5ad963d208c
    0x1000          3          5        12        61         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          85        25603  38a/b78/506/f78/5aa/a1fd18c1900457bd2f26721a7
    0x1000          3          5        13        66         1        ok       0.000  0x005cd3800  0x0001a4800  0x00592f000        25688          91        25597  bec/8cc/ad1/06f/7db/96b44d6daf33ca960a39369b5
    0x1000          3          5        14        71         1        ok       0.000  0x005cd3800  0x0001a7000  0x00592c800        25688          97        25591  5da/aae/6f6/038/29e/70d012a555b283e385f8fd24b
    0x1000          3          5        15        76         1        ok       0.000  0x005cd3800  0x0001a9800  0x00592a000        25688         103        25585  ecf/393/471/570/c8c/b4fcc67e97c5f79a180175e75
    0x1000          3          5        16        81         1        ok       0.000  0x005cd3800  0x0001ac000  0x005927800        25688         109        25579  edf/a92/a1e/a54/e25/4e3ce1009a014402e32ba7d90
    0x1000          3          5        17        86         1        ok       0.000  0x005cd3800  0x0001ae800  0x005925000        25688         115        25573  306/442/ff4/019/19e/efc23fabccb394554950c5574
    0x1000          3          5        18        91         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688         121        25567  14c/d15/45a/5b9/531/76b128b1aab6a574e4cbe66b6
    0x1000          3          5        19        96         1        ok       0.000  0x005cd3800  0x0001b3800  0x005920000        25688         127        25561  ee3/8d4/278/e45/38a/a8c59c41d74b24bbf683a19b3
    0x1000          3          5        20       101         1        ok       0.000  0x005cd3800  0x0001b6000  0x00591d800        25688         133        25555  3af/35c/57e/161/280/9178b8611933f50790692eb35
    0x1000          3          5        21       106         1        ok       0.000  0x005cd3800  0x0001b8800  0x00591b000        25688         139        25549  7cc/77e/041/c47/b73/05846f2037b3394fd605d2ece
    0x1000          3          5        22       111         1        ok       0.000  0x005cd3800  0x0001bb000  0x005918800        25688         145        25543  d90/aeb/249/33e/a8b/2fe50d41a24b720469efefa85
    0x1000          3          5        23       116         1        ok       0.000  0x005cd3800  0x0001bd800  0x005916000        25688         151        25537  546/23c/e33/010/40a/3e30655eef0d2670d1e698151
    0x1000          3          5        24       121         1        ok       0.000  0x005cd3800  0x0001c0000  0x005913800        25688         157        25531  cd2/29d/14e/438/8d7/34b7b6e4e8e2797dd4eebe343
    0x1000          3          5        25       126         1        ok       0.000  0x005cd3800  0x0001c2800  0x005911000        25688         163        25525  136/1d8/c72/170/61e/6c8711bf3568baf82f432604b
    0x1000          3          5        26       131         1        ok       0.000  0x005cd3800  0x0001c5000  0x00590e800        25688         169        25519  25f/244/e11/eb7/e27/726e6c457a939a134cc1d0263
    0x1000          3          5        27       136         1        ok       0.000  0x005cd3800  0x0001c7800  0x00590c000        25688         175        25513  d73/6fe/e26/5cd/245/eb997c77c4cb23e1f7437c634
    0x1000          3          5        28       141         1        ok       0.000  0x005cd3800  0x0001ca000  0x005909800        25688         181        25507  98f/e86/571/aa6/18d/dadfef8747b8a8eed0754be2b
    0x1000          3          5        29       146         1        ok       0.000  0x005cd3800  0x0001cc800  0x005907000        25688         187        25501  66d/554/b97/3f0/f36/d46b4323385798d615b58cb72
    0x1000          3          5        30       151         1        ok       0.000  0x005cd3800  0x0001cf000  0x005904800        25688         193        25495  84a/5fe/661/52d/7e2/8cc4b8b7bd63369ddbe8ecc77
    0x1000          3          5        31       156         1        ok       0.000  0x005cd3800  0x0001d1800  0x005902000        25688         199        25489  319/d40/605/7de/1b7/6c44c870584f5b8d66b328ab3
    0x1000          3          5        32       161         1        ok       0.000  0x005cd3800  0x0001d4000  0x0058ff800        25688         205        25483  e8e/a09/5c8/766/b49/da4c928504dbbc15841fe69a1
    0x1000          3          5        33       166         1        ok       0.000  0x005cd3800  0x0001d6800  0x0058fd000        25688         211        25477  420/6ac/ff0/ba4/5d2/431f60134b483f179d18b903c
    0x1000          3          5        34       171         1        ok       0.000  0x005cd3800  0x0001d9000  0x0058fa800        25688         217        25471  990/92c/7e6/802/4e0/98a26688595b7df8fe927e7be
    0x1000          3          5        35       176         1        ok       0.000  0x005cd3800  0x0001db800  0x0058f8000        25688         223        25465  7f8/899/172/9a5/fa0/afc5941a29f16e4248f601690
    0x1000          3          5        36       181         1        ok       0.000  0x005cd3800  0x0001de000  0x0058f5800        25688         229        25459  14d/98a/7dd/510/ea3/c5ce047d7ed4fcfe2da933068
    0x1000          3          5        37       186         1        ok       0.000  0x005cd3800  0x0001e0800  0x0058f3000        25688         235        25453  e9e/624/c66/d14/6b2/28716fb6bff39f7145c7dc908
    0x1000          3          5        38       191         1        ok       0.000  0x005cd3800  0x0001e3000  0x0058f0800        25688         241        25447  6c0/f53/29f/c6b/6a9/c64a26deb5fd62f4a91dc1e0c
    0x1000          3          5        39       196         1        ok       0.000  0x005cd3800  0x0001e5800  0x0058ee000        25688         247        25441  5e1/62a/6d6/bd1/21e/9d3335c223faa1d42749b9daa
    0x1000          3          5        40       201         1        ok       0.000  0x005cd3800  0x0001e8000  0x0058eb800        25688         253        25435  d0a/54e/629/08d/829/504a9f51b440d92da036514b9
    0x1000          3          5        41       206         1        ok       0.000  0x005cd3800  0x0001ea800  0x0058e9000        25688         259        25429  908/5de/2c7/a43/c32/5e3bf175d705862e70eafaab5
    0x1000          3          5        42       211         1        ok       0.000  0x005cd3800  0x0001ed000  0x0058e6800        25688         265        25423  9ba/3b4/df7/8b3/fc0/5670e487844dc9799dec12d10
    0x1000          3          5        43       216         1        ok       0.000  0x005cd3800  0x0001ef800  0x0058e4000        25688         271        25417  638/056/f31/923/723/0c77cf9a0f1c70a26889eaf98
    0x1000          3          5        44       221         1        ok       0.000  0x005cd3800  0x0001f2000  0x0058e1800        25688         277        25411  348/47e/f67/1e0/ed6/1d3f72fcb866ba496fc165b51
    0x1000          3          5        45       226         1        ok       0.000  0x005cd3800  0x0001f4800  0x0058df000        25688         283        25405  19b/493/466/af4/8a4/efb74bdbe3973c8e549a95c88
    0x1000          3          5        46       231         1        ok       0.000  0x005cd3800  0x0001f7000  0x0058dc800        25688         289        25399  810/80f/ebc/112/88c/2bffdc72c73bb8a4260c89ab7
    0x1000          3          5        47       236         1        ok       0.000  0x005cd3800  0x0001f9800  0x0058da000        25688         295        25393  e40/c4f/631/4fc/e94/9cb8579aa53658e6cd64a00ec
    0x1000          3          5        48       241         1        ok       0.000  0x005cd3800  0x0001fc000  0x0058d7800        25688         301        25387  1d4/e64/9b1/d9a/267/3c03cf5bd7ccaa1385debbd51
    0x1000          3          5        49       246         1        ok       0.000  0x005cd3800  0x0001fe800  0x0058d5000        25688         307        25381  ee1/e96/0b3/e37/23e/7de03c40583ee712cf9a59422
    0x1000          3          5        50       251         1        ok       0.000  0x005cd3800  0x000201000  0x0058d2800        25688         313        25375  f2a/887/0e3/ce5/1c8/1cac8f69851c17a035b230006
    0x1000          3          5        51       256         1        ok       0.000  0x005cd3800  0x000203800  0x0058d0000        25688         319        25369  361/9ba/fe9/38e/496/63c1882a2f5d6dff19cf7a540
    0x1000          3          5        52       261         1        ok       0.000  0x005cd3800  0x000206000  0x0058cd800        25688         325        25363  317/38f/7c9/dc8/fa3/ff77f41b35e87970af30f7509
    0x1000          3          5        53       266         1        ok       0.000  0x005cd3800  0x000208800  0x0058cb000        25688         331        25357  b6f/86c/1ba/28f/795/32d196eb1a62a4dc2a26075fa
    0x1000          3          5        54       271         1        ok       0.000  0x005cd3800  0x00020b000  0x0058c8800        25688         337        25351  8e3/c9a/784/a64/544/933c65c2f8139acf7bd9a963f
    0x1000          3          5        55       276         1        ok       0.000  0x005cd3800  0x00020d800  0x0058c6000        25688         343        25345  29a/0dd/0a1/488/e46/7719b0183950d6bc76e4fdfee
    0x1000          3          5        56       281         1        ok       0.000  0x005cd3800  0x000210000  0x0058c3800        25688         349        25339  05a/9fe/3d2/d6d/b4f/b649528fac8a1db6392e91b04
    0x1000          3          5        57       286         1        ok       0.000  0x005cd3800  0x000212800  0x0058c1000        25688         355        25333  b7f/eda/b4b/6b7/a97/406e97f9638d28f970282c6f5
