# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       47e/bfe/bf5/7b3/1f9/114/740b9d1c3d9f2fba3af921
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          6
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:23:15.749011
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=06 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7414776 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3          6         1         7         1        ok       0.000  0x005cd3800  0x000186c00  0x00594cc00        25688          20        25668  80f/57e/000/fcb/a6f/3c6/7f4b145925280c80c10379
    0x1000          3          6         2        13         1        ok       0.000  0x005cd3800  0x000189800  0x00594a000        25688          27        25661  9d6/eca/4e8/e5a/c84/08f/537aa9751604fa168591b0
    0x1000          3          6         3        19         1        ok       0.000  0x005cd3800  0x00018c400  0x005947400        25688          34        25654  338/595/6e4/e40/956/94d/16664c12d6d40818b4264b
    0x1000          3          6         4        25         1        ok       0.000  0x005cd3800  0x00018f000  0x005944800        25688          41        25647  3a7/59e/e14/a95/a37/01a/eacd47ed14a479cdd56220
    0x1000          3          6         5        31         1        ok       0.000  0x005cd3800  0x000191c00  0x005941c00        25688          48        25640  ac2/d0f/85a/982/dad/69f/b38643c14dec0d7f923d5b
    0x1000          3          6         6        37         1        ok       0.000  0x005cd3800  0x000194800  0x00593f000        25688          55        25633  b45/174/614/c6b/c43/248/56469430dfa8f6d7750a97
    0x1000          3          6         7        43         1        ok       0.000  0x005cd3800  0x000197400  0x00593c400        25688          62        25626  943/e1e/9ef/81b/ee8/0a7/2d42e7e0daeb1ec0d12573
    0x1000          3          6         8        49         1        ok       0.000  0x005cd3800  0x00019a000  0x005939800        25688          69        25619  193/085/40c/094/d64/be9/624b94d4ddf4c471583f5a
    0x1000          3          6         9        55         1        ok       0.000  0x005cd3800  0x00019cc00  0x005936c00        25688          76        25612  f11/adb/5cb/575/3e0/4a0/7e830e16884d12d286e24a
    0x1000          3          6        10        61         1        ok       0.000  0x005cd3800  0x00019f800  0x005934000        25688          83        25605  080/f5c/726/dc9/759/2f7/d5cb42dca100996413f998
    0x1000          3          6        11        67         1        ok       0.000  0x005cd3800  0x0001a2400  0x005931400        25688          90        25598  156/a2c/7bc/626/b52/778/2da5a3dfc8d3e1a60459b3
    0x1000          3          6        12        73         1        ok       0.000  0x005cd3800  0x0001a5000  0x00592e800        25688          97        25591  937/e4c/9ab/fb2/7ae/c3a/19ad21c6af82d501da379a
    0x1000          3          6        13        79         1        ok       0.000  0x005cd3800  0x0001a7c00  0x00592bc00        25688         104        25584  662/5eb/48f/cf2/15b/e0f/b3917c6e608eae13ef02ca
    0x1000          3          6        14        85         1        ok       0.000  0x005cd3800  0x0001aa800  0x005929000        25688         111        25577  1d9/ca4/df3/a13/976/87c/4b5af7c8ef7da5c4d46656
    0x1000          3          6        15        91         1        ok       0.000  0x005cd3800  0x0001ad400  0x005926400        25688         118        25570  430/6ec/e34/f0e/d1c/b14/d4bbb93776b81290b8c1dc
    0x1000          3          6        16        97         1        ok       0.000  0x005cd3800  0x0001b0000  0x005923800        25688         125        25563  799/603/d24/f11/426/731/9ca174304e2bf1c4f508b5
    0x1000          3          6        17       103         1        ok       0.000  0x005cd3800  0x0001b2c00  0x005920c00        25688         132        25556  391/e8a/673/c30/510/f20/fd7522483c073e8e324d2e
