# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       c78/81e/8e8/9fc/517/92f/83c/030db2a27bea3ff7e19
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          7
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:20:37.708817
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=07 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7402072 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3          7         1         8         1        ok       0.000  0x005cd3800  0x000187000  0x00594c800        25688          21        25667  ba2/1b0/0d4/be7/70a/9da/8e0/e01c25c1f7f5343496b
    0x1000          3          7         2        15         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          29        25659  a7b/e37/65b/09a/d03/5eb/ce1/156f433a78d2ad54b12
    0x1000          3          7         3        22         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          37        25651  003/cbe/3d5/bda/6f7/bd9/9af/97f3acd58f8c6fd24ec
    0x1000          3          7         4        29         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          45        25643  792/7a2/3c0/83e/b84/30f/169/58ee7c0fb98620359ef
    0x1000          3          7         5        36         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          53        25635  b15/5ef/9cc/745/5c5/c9e/f67/8d0c67d74835541dcc2
    0x1000          3          7         6        43         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          61        25627  511/edf/c07/8b3/073/46b/ff5/17526ad10303cf64d2e
    0x1000          3          7         7        50         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          69        25619  72d/3ba/072/b6a/c79/8ef/881/463d942c8c0a24bf88c
    0x1000          3          7         8        57         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          77        25611  f32/762/078/655/cf7/0a7/718/8e82990faba21c0d4e8
    0x1000          3          7         9        64         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          85        25603  e8e/ee4/d8b/0cb/74f/72e/530/513c757e90e23914cbc
    0x1000          3          7        10        71         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          93        25595  d81/d4f/544/4e9/3e0/138/5db/7946abd7f30c67036a9
    0x1000          3          7        11        78         1        ok       0.000  0x005cd3800  0x0001a5000  0x00592e800        25688         101        25587  d65/045/a78/fbe/65f/4ff/806/b00e0c82ab2836794d8
    0x1000          3          7        12        85         1        ok       0.000  0x005cd3800  0x0001a8000  0x00592b800        25688         109        25579  d79/1f1/8f5/9da/32c/bb3/0a4/bf3a289ab23580c6559
    0x1000          3          7        13        92         1        ok       0.000  0x005cd3800  0x0001ab000  0x005928800        25688         117        25571  7fb/927/45a/dfa/e06/6b5/50c/07793aa3fe0c7f628d4
    0x1000          3          7        14        99         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688         125        25563  64f/912/0d1/138/624/898/f64/c037a5afe1ee48b96bb
    0x1000          3          7        15       106         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688         133        25555  b0d/1cd/292/eb5/da1/616/662/87a77ee07a622c45a3d
    0x1000          3          7        16       113         1        ok       0.000  0x005cd3800  0x0001b4000  0x00591f800        25688         141        25547  73b/659/673/abd/0ba/bd0/660/005c93099ff3ae5bcef
    0x1000          3          7        17       120         1        ok       0.000  0x005cd3800  0x0001b7000  0x00591c800        25688         149        25539  6bb/acc/97b/7d5/fe5/be1/e18/b99808696bb1acd2dc2
    0x1000          3          7        18       127         1        ok       0.000  0x005cd3800  0x0001ba000  0x005919800        25688         157        25531  e7c/2d5/049/02e/a8d/349/a56/8d4272d468251febe61
    0x1000          3          7        19       134         1        ok       0.000  0x005cd3800  0x0001bd000  0x005916800        25688         165        25523  32c/251/4f7/f2b/c58/9cd/9ec/4aab00336b7002b2e99
    0x1000          3          7        20       141         1        ok       0.000  0x005cd3800  0x0001c0000  0x005913800        25688         173        25515  de8/747/f24/e8c/4d5/e6b/30f/3abb08d4b86240db930
    0x1000          3          7        21       148         1        ok       0.000  0x005cd3800  0x0001c3000  0x005910800        25688         181        25507  ac8/9c4/38c/e3c/1f3/5a7/12b/690e1d66658e7d58a99
    0x1000          3          7        22       155         1        ok       0.000  0x005cd3800  0x0001c6000  0x00590d800        25688         189        25499  53f/7b0/bd6/e58/d6a/ed4/286/331787c94d1aa639a02
    0x1000          3          7        23       162         1        ok       0.000  0x005cd3800  0x0001c9000  0x00590a800        25688         197        25491  444/c51/213/d9f/97e/e4e/d7b/41e49c27b9328c74d15
    0x1000          3          7        24       169         1        ok       0.000  0x005cd3800  0x0001cc000  0x005907800        25688         205        25483  018/6fc/c8d/a53/f9e/133/a01/033d49d8d3ff37e0735
    0x1000          3          7        25       176         1        ok       0.000  0x005cd3800  0x0001cf000  0x005904800        25688         213        25475  11d/910/6a9/b2d/e4e/b57/f4d/1efe0c8a84ddd7dd345
    0x1000          3          7        26       183         1        ok       0.000  0x005cd3800  0x0001d2000  0x005901800        25688         221        25467  a9a/050/6b1/e87/1ed/243/d1e/14e468059fc79e97421
    0x1000          3          7        27       190         1        ok       0.000  0x005cd3800  0x0001d5000  0x0058fe800        25688         229        25459  dde/b85/4e8/e51/1d4/238/fdd/f6ffda7bdd2a9c573a7
    0x1000          3          7        28       197         1        ok       0.000  0x005cd3800  0x0001d8000  0x0058fb800        25688         237        25451  ba0/103/0c0/80c/134/180/8ed/bb3101d08898726531d
    0x1000          3          7        29       204         1        ok       0.000  0x005cd3800  0x0001db000  0x0058f8800        25688         245        25443  854/8ff/f68/52b/751/3ff/d14/080f291770fc151736c
    0x1000          3          7        30       211         1        ok       0.000  0x005cd3800  0x0001de000  0x0058f5800        25688         253        25435  7d6/417/603/7d4/8cc/4cd/491/1a14c28398cf5ad9317
    0x1000          3          7        31       218         1        ok       0.000  0x005cd3800  0x0001e1000  0x0058f2800        25688         261        25427  3cb/3d6/62f/78b/603/496/535/ef225a68d7dcab4cc68
    0x1000          3          7        32       225         1        ok       0.000  0x005cd3800  0x0001e4000  0x0058ef800        25688         269        25419  573/491/e91/cf4/a16/270/78a/d55222c4998c752de9d
    0x1000          3          7        33       232         1        ok       0.000  0x005cd3800  0x0001e7000  0x0058ec800        25688         277        25411  7de/869/28d/05c/2d2/735/20c/0409aaa263a22d532cf
    0x1000          3          7        34       239         1        ok       0.000  0x005cd3800  0x0001ea000  0x0058e9800        25688         285        25403  9dd/049/cb6/a9d/096/707/a1e/12d690bc88dedf5ce7b
    0x1000          3          7        35       246         1        ok       0.000  0x005cd3800  0x0001ed000  0x0058e6800        25688         293        25395  799/ae9/079/442/1c1/c20/615/ad8b538ccb77ee8e38b
    0x1000          3          7        36       253         1        ok       0.000  0x005cd3800  0x0001f0000  0x0058e3800        25688         301        25387  884/5d6/549/147/41c/b7c/ca2/c4bae5b1b8e53dfa785
    0x1000          3          7        37       260         1        ok       0.000  0x005cd3800  0x0001f3000  0x0058e0800        25688         309        25379  4a2/43f/e73/756/04e/bdd/da8/b87209724906cce5f7d
    0x1000          3          7        38       267         1        ok       0.000  0x005cd3800  0x0001f6000  0x0058dd800        25688         317        25371  d7f/856/8bb/876/13a/fa1/359/8faa139b5a40e89fd6a
    0x1000          3          7        39       274         1        ok       0.000  0x005cd3800  0x0001f9000  0x0058da800        25688         325        25363  1cd/f90/13e/001/14c/d88/5c5/7514f70fa74fca7453e
    0x1000          3          7        40       281         1        ok       0.000  0x005cd3800  0x0001fc000  0x0058d7800        25688         333        25355  088/14f/cd2/e19/c64/56e/3ca/84801d923439a3899bb
    0x1000          3          7        41       288         1        ok       0.000  0x005cd3800  0x0001ff000  0x0058d4800        25688         341        25347  ac4/e32/a05/1d0/d0d/f28/67a/0e45a0477233cb44a4a
    0x1000          3          7        42       295         1        ok       0.000  0x005cd3800  0x000202000  0x0058d1800        25688         349        25339  70d/52f/b17/1b0/33e/763/1b7/bb54dcc9896e67d9cc6
    0x1000          3          7        43       302         1        ok       0.000  0x005cd3800  0x000205000  0x0058ce800        25688         357        25331  970/25b/a26/6e0/8ba/31d/fc6/f2f9049f526937fe42c
    0x1000          3          7        44       309         1        ok       0.000  0x005cd3800  0x000208000  0x0058cb800        25688         365        25323  54e/dc2/cc5/26b/2a2/026/9a9/8b4c39d1aa8b47c00f5
    0x1000          3          7        45       316         1        ok       0.000  0x005cd3800  0x00020b000  0x0058c8800        25688         373        25315  c67/cc6/1c7/8e9/b89/e78/3cf/7830540a8232a88402b
