# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       825/149/cbf/bbf/b55/ad5/b2a/08c/608c2bfb26090feb
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          8
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:22:27.981481
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=08 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7392264 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3          8         1         9         1        ok       0.000  0x005cd3800  0x000187400  0x00594c400        25688          22        25666  3dd/4ca/b2a/0e4/ae9/3c8/b1a/e44/c9a2d07ce4a5739c
    0x1000          3          8         2        17         1        ok       0.000  0x005cd3800  0x00018a800  0x005949000        25688          31        25657  4e0/c8b/471/164/499/186/02e/d3b/a96cff63fd24cd47
    0x1000          3          8         3        25         1        ok       0.000  0x005cd3800  0x00018dc00  0x005945c00        25688          40        25648  5d4/3b0/54f/643/485/da4/3a8/59e/d3c92329276ff898
    0x1000          3          8         4        33         1        ok       0.000  0x005cd3800  0x000191000  0x005942800        25688          49        25639  7aa/2b5/ffb/02d/426/16f/07a/ec8/2f823989b426909a
    0x1000          3          8         5        41         1        ok       0.000  0x005cd3800  0x000194400  0x00593f400        25688          58        25630  1ca/bd3/3c2/776/ea3/866/398/074/27250a35c939dbcb
    0x1000          3          8         6        49         1        ok       0.000  0x005cd3800  0x000197800  0x00593c000        25688          67        25621  ed6/f07/717/147/d98/2e3/8fe/ba4/deaa9d8b2a30f797
    0x1000          3          8         7        57         1        ok       0.000  0x005cd3800  0x00019ac00  0x005938c00        25688          76        25612  7fe/155/4c9/a11/78a/83e/883/360/6bc7f599c78d97a2
    0x1000          3          8         8        65         1        ok       0.000  0x005cd3800  0x00019e000  0x005935800        25688          85        25603  4df/132/161/c78/543/5b0/9e9/b97/b711a35bc8ac1e9d
    0x1000          3          8         9        73         1        ok       0.000  0x005cd3800  0x0001a1400  0x005932400        25688          94        25594  5d7/a28/a02/e38/bfd/db4/f7b/964/01b74a61b2e0be87
    0x1000          3          8        10        81         1        ok       0.000  0x005cd3800  0x0001a4800  0x00592f000        25688         103        25585  34d/5c8/98e/d23/fd5/80a/837/8ab/2436891cb9a3154b
    0x1000          3          8        11        89         1        ok       0.000  0x005cd3800  0x0001a7c00  0x00592bc00        25688         112        25576  6bd/d95/1f8/10d/fe5/885/039/eb0/96b1803a61a4087e
    0x1000          3          8        12        97         1        ok       0.000  0x005cd3800  0x0001ab000  0x005928800        25688         121        25567  5ff/640/dfb/b77/307/580/ee1/235/60b1e2f9156766a4
    0x1000          3          8        13       105         1        ok       0.000  0x005cd3800  0x0001ae400  0x005925400        25688         130        25558  961/a47/458/cc9/f70/c3d/4e8/bca/1b7a12b2bb919e26
    0x1000          3          8        14       113         1        ok       0.000  0x005cd3800  0x0001b1800  0x005922000        25688         139        25549  5ae/861/102/670/eb0/7a8/660/eed/7cf112764ee5ce8c
    0x1000          3          8        15       121         1        ok       0.000  0x005cd3800  0x0001b4c00  0x00591ec00        25688         148        25540  21a/d63/a36/195/2e2/3d3/65a/38c/219335914ec25799
    0x1000          3          8        16       129         1        ok       0.000  0x005cd3800  0x0001b8000  0x00591b800        25688         157        25531  a26/266/004/d4d/4d2/50d/181/98e/340a14c54bc94d80
    0x1000          3          8        17       137         1        ok       0.000  0x005cd3800  0x0001bb400  0x005918400        25688         166        25522  fc9/8bf/914/978/b26/46e/9d3/07a/041bf70514a54916
    0x1000          3          8        18       145         1        ok       0.000  0x005cd3800  0x0001be800  0x005915000        25688         175        25513  9b7/73a/a74/14d/8b1/b5d/099/4fa/4f75ec6c75ea73f5
    0x1000          3          8        19       153         1        ok       0.000  0x005cd3800  0x0001c1c00  0x005911c00        25688         184        25504  f2f/a03/429/a6c/085/a83/6df/350/d7419e16e43c227b
    0x1000          3          8        20       161         1        ok       0.000  0x005cd3800  0x0001c5000  0x00590e800        25688         193        25495  842/8cf/45a/ecc/578/8e2/f76/520/19c2d201f2ac7c84
    0x1000          3          8        21       169         1        ok       0.000  0x005cd3800  0x0001c8400  0x00590b400        25688         202        25486  794/679/650/20c/690/671/f03/122/19b57906b2ba0030
    0x1000          3          8        22       177         1        ok       0.000  0x005cd3800  0x0001cb800  0x005908000        25688         211        25477  35d/7f9/7f1/249/b06/2ec/914/230/b373ce9fa98e9cba
    0x1000          3          8        23       185         1        ok       0.000  0x005cd3800  0x0001cec00  0x005904c00        25688         220        25468  a04/522/3f3/bb9/fb9/6b1/5e4/9fb/85ccd0ec995b70e9
    0x1000          3          8        24       193         1        ok       0.000  0x005cd3800  0x0001d2000  0x005901800        25688         229        25459  802/739/864/12c/cf5/1ea/488/478/926d6b1ea4906c02
    0x1000          3          8        25       201         1        ok       0.000  0x005cd3800  0x0001d5400  0x0058fe400        25688         238        25450  c1e/98a/571/5ba/b76/f2b/f32/30d/96822a597ee19e54
    0x1000          3          8        26       209         1        ok       0.000  0x005cd3800  0x0001d8800  0x0058fb000        25688         247        25441  a0a/cb1/cb6/6c9/f13/cf1/14d/2c8/a09bbbf674571121
    0x1000          3          8        27       217         1        ok       0.000  0x005cd3800  0x0001dbc00  0x0058f7c00        25688         256        25432  67b/1be/799/95c/696/d81/c87/46f/f264a081049b3929
    0x1000          3          8        28       225         1        ok       0.000  0x005cd3800  0x0001df000  0x0058f4800        25688         265        25423  9d2/7c2/bd5/862/32c/56b/2ea/5c0/9f4e917c60b42676
    0x1000          3          8        29       233         1        ok       0.000  0x005cd3800  0x0001e2400  0x0058f1400        25688         274        25414  ade/690/fa7/607/376/479/0ad/2d7/97c44db9dc22eedb
    0x1000          3          8        30       241         1        ok       0.000  0x005cd3800  0x0001e5800  0x0058ee000        25688         283        25405  89b/637/5c9/64c/dd5/2f7/5fa/b21/8953df4d685fe041
    0x1000          3          8        31       249         1        ok       0.000  0x005cd3800  0x0001e8c00  0x0058eac00        25688         292        25396  189/64e/aa8/fdd/0b5/733/5ea/29a/b329aee67637742c
    0x1000          3          8        32       257         1        ok       0.000  0x005cd3800  0x0001ec000  0x0058e7800        25688         301        25387  500/950/eb0/bec/167/8e3/d44/c26/84fe91c0f6ff61b6
    0x1000          3          8        33       265         1        ok       0.000  0x005cd3800  0x0001ef400  0x0058e4400        25688         310        25378  265/1c4/4a7/c1a/7a7/740/497/282/9185f93268888df2
    0x1000          3          8        34       273         1        ok       0.000  0x005cd3800  0x0001f2800  0x0058e1000        25688         319        25369  732/ae4/e80/119/136/3ea/52d/b19/d027c61617040898
    0x1000          3          8        35       281         1        ok       0.000  0x005cd3800  0x0001f5c00  0x0058ddc00        25688         328        25360  d85/b5d/1d3/44c/0c7/451/3c2/a21/5958f70257f48add
    0x1000          3          8        36       289         1        ok       0.000  0x005cd3800  0x0001f9000  0x0058da800        25688         337        25351  dd5/18f/7af/f21/f02/7c1/ab4/b7a/f2bdd171263c297c
    0x1000          3          8        37       297         1        ok       0.000  0x005cd3800  0x0001fc400  0x0058d7400        25688         346        25342  3ea/a08/250/2ea/270/0a5/c32/99f/64f7d0e93811e771
    0x1000          3          8        38       305         1        ok       0.000  0x005cd3800  0x0001ff800  0x0058d4000        25688         355        25333  495/4f2/8bd/968/9a7/b32/0d9/4ac/2539bf7b8d89ea26
    0x1000          3          8        39       313         1        ok       0.000  0x005cd3800  0x000202c00  0x0058d0c00        25688         364        25324  63b/dc8/163/fb9/d45/9c1/b8d/780/b559bf1aba60a3e7
    0x1000          3          8        40       321         1        ok       0.000  0x005cd3800  0x000206000  0x0058cd800        25688         373        25315  371/f64/696/f2b/2d4/19e/cb8/757/d1d60fd8620a50bb
    0x1000          3          8        41       329         1        ok       0.000  0x005cd3800  0x000209400  0x0058ca400        25688         382        25306  fe6/77b/888/ebf/9ef/7a1/a73/498/a1474c60cdd98efc
    0x1000          3          8        42       337         1        ok       0.000  0x005cd3800  0x00020c800  0x0058c7000        25688         391        25297  3c4/52b/883/826/748/dbc/049/f46/183c28a98b8f1b76
    0x1000          3          8        43       345         1        ok       0.000  0x005cd3800  0x00020fc00  0x0058c3c00        25688         400        25288  7d1/617/e7f/aea/111/eb6/dbd/f27/f19511fd9181a752
    0x1000          3          8        44       353         1        ok       0.000  0x005cd3800  0x000213000  0x0058c0800        25688         409        25279  898/520/b2b/719/2cd/519/b5a/21f/a119abba70bad5d7
    0x1000          3          8        45       361         1        ok       0.000  0x005cd3800  0x000216400  0x0058bd400        25688         418        25270  c77/a87/d38/28f/68f/60e/8d9/568/ba9e27db5f82feb3
    0x1000          3          8        46       369         1        ok       0.000  0x005cd3800  0x000219800  0x0058ba000        25688         427        25261  bf6/9d4/2ff/906/a85/45d/30f/438/b13b5ddd3c6cc6f7
    0x1000          3          8        47       377         1        ok       0.000  0x005cd3800  0x00021cc00  0x0058b6c00        25688         436        25252  db1/a13/651/d0d/d7c/0cd/443/9da/18ef1fad7a433613
    0x1000          3          8        48       385         1        ok       0.000  0x005cd3800  0x000220000  0x0058b3800        25688         445        25243  9bf/c94/c22/82c/3dd/352/6c4/637/01289677ba976ae4
    0x1000          3          8        49       393         1        ok       0.000  0x005cd3800  0x000223400  0x0058b0400        25688         454        25234  4cc/b9a/27f/1f3/498/dc6/0df/34e/57b23bbec0e2329e
    0x1000          3          8        50       401         1        ok       0.000  0x005cd3800  0x000226800  0x0058ad000        25688         463        25225  12b/ad6/478/758/90e/03b/fd4/f9a/7e9ea3b30fd1085a
    0x1000          3          8        51       409         1        ok       0.000  0x005cd3800  0x000229c00  0x0058a9c00        25688         472        25216  95d/d51/891/ff1/0b0/ab4/31b/70d/14c1f0e3aa876202
    0x1000          3          8        52       417         1        ok       0.000  0x005cd3800  0x00022d000  0x0058a6800        25688         481        25207  9e8/29a/b5b/b85/7a4/e1d/468/af5/11e2405191250a02
    0x1000          3          8        53       425         1        ok       0.000  0x005cd3800  0x000230400  0x0058a3400        25688         490        25198  abe/3d3/3e1/615/538/1c8/bb5/003/bef3ab54e5007534
    0x1000          3          8        54       433         1        ok       0.000  0x005cd3800  0x000233800  0x0058a0000        25688         499        25189  c9b/178/c22/ffa/d21/464/c64/ab8/fab8af4e7f5d5e16
    0x1000          3          8        55       441         1        ok       0.000  0x005cd3800  0x000236c00  0x00589cc00        25688         508        25180  99d/979/70a/5a5/0a4/0fa/520/952/72b34fb7ee467a6f
    0x1000          3          8        56       449         1        ok       0.000  0x005cd3800  0x00023a000  0x005899800        25688         517        25171  a18/388/e05/1ca/5d2/d1c/d4d/a01/e84d3893c4e015ad
    0x1000          3          8        57       457         1        ok       0.000  0x005cd3800  0x00023d400  0x005896400        25688         526        25162  96a/418/7c8/40c/262/421/bcd/930/f3abbb73da45db88
    0x1000          3          8        58       465         1        ok       0.000  0x005cd3800  0x000240800  0x005893000        25688         535        25153  323/eef/210/72c/b0b/5fa/508/729/95b65bc276172851
    0x1000          3          8        59       473         1        ok       0.000  0x005cd3800  0x000243c00  0x00588fc00        25688         544        25144  b06/3a9/579/ab2/c88/3fa/fd7/e51/24fc979cb2630ca9
    0x1000          3          8        60       481         1        ok       0.000  0x005cd3800  0x000247000  0x00588c800        25688         553        25135  4ca/472/1a5/379/9fe/2be/787/94c/849783a2af4cb290
    0x1000          3          8        61       489         1        ok       0.000  0x005cd3800  0x00024a400  0x005889400        25688         562        25126  81c/655/6b5/a4f/0d0/920/046/bad/08dc535fe3d9befb
    0x1000          3          8        62       497         1        ok       0.000  0x005cd3800  0x00024d800  0x005886000        25688         571        25117  332/79f/798/c44/8e9/fc9/38b/08c/9d0bae8fb1ffc9dc
    0x1000          3          8        63       505         1        ok       0.000  0x005cd3800  0x000250c00  0x005882c00        25688         580        25108  ff4/7aa/7c8/3a5/fcf/9d3/df7/fad/f05c890101443a04
    0x1000          3          8        64       513         1        ok       0.000  0x005cd3800  0x000254000  0x00587f800        25688         589        25099  f7a/4d4/756/3ff/486/31e/0c0/292/2b7a440270916f21
    0x1000          3          8        65       521         1        ok       0.000  0x005cd3800  0x000257400  0x00587c400        25688         598        25090  185/df9/cb1/235/521/8f4/7da/404/054abf2799643b0b
    0x1000          3          8        66       529         1        ok       0.000  0x005cd3800  0x00025a800  0x005879000        25688         607        25081  aa9/7cd/fda/2eb/521/b4d/d3f/ad0/fe036183ab68ba08
    0x1000          3          8        67       537         1        ok       0.000  0x005cd3800  0x00025dc00  0x005875c00        25688         616        25072  a2b/4fa/ca3/69f/b4e/c01/126/244/9735c753fdcaa39e
    0x1000          3          8        68       545         1        ok       0.000  0x005cd3800  0x000261000  0x005872800        25688         625        25063  137/579/e4c/594/884/ce3/50d/2ae/1f780494c6d7a384
    0x1000          3          8        69       553         1        ok       0.000  0x005cd3800  0x000264400  0x00586f400        25688         634        25054  354/352/b0c/37e/574/e40/b9c/025/4190f2a387bdf6ae
