# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       5db/d72/709/457/725/5a1/589/d12/ad026db9864c6fe6
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          8
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:20:59.255634
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=08 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7402840 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3          8         1         9         1        ok       0.000  0x005cd3800  0x000187400  0x00594c400        25688          22        25666  e89/fe2/4b9/148/761/7ca/29b/dd2/25809ee672be2821
    0x1000          3          8         2        17         1        ok       0.000  0x005cd3800  0x00018a800  0x005949000        25688          31        25657  871/43d/5a5/8f9/37e/bc5/bcd/330/ffe9f6c7310a022b
    0x1000          3          8         3        25         1        ok       0.000  0x005cd3800  0x00018dc00  0x005945c00        25688          40        25648  f01/536/3c6/653/d93/098/559/2a9/fedfce6932b91acb
    0x1000          3          8         4        33         1        ok       0.000  0x005cd3800  0x000191000  0x005942800        25688          49        25639  b41/6da/225/118/c94/5f9/d48/a8f/f4de558ae81dc714
    0x1000          3          8         5        41         1        ok       0.000  0x005cd3800  0x000194400  0x00593f400        25688          58        25630  650/ce4/4fb/b1e/03b/d27/e7c/6e1/237d1b6ac7eb2e88
    0x1000          3          8         6        49         1        ok       0.000  0x005cd3800  0x000197800  0x00593c000        25688          67        25621  459/85e/35b/de8/d09/0cf/d35/7ff/06da0b48a83226cb
    0x1000          3          8         7        57         1        ok       0.000  0x005cd3800  0x00019ac00  0x005938c00        25688          76        25612  5f2/553/d3a/ec2/231/bef/926/660/79696cb4139271d1
    0x1000          3          8         8        65         1        ok       0.000  0x005cd3800  0x00019e000  0x005935800        25688          85        25603  b68/006/aa9/78c/d66/bd1/34e/c9a/e6a0e5efdb26c0e7
    0x1000          3          8         9        73         1        ok       0.000  0x005cd3800  0x0001a1400  0x005932400        25688          94        25594  d95/c81/f12/ba1/79d/7d0/35f/76c/a427e6c432e2555b
    0x1000          3          8        10        81         1        ok       0.000  0x005cd3800  0x0001a4800  0x00592f000        25688         103        25585  f61/7a2/27f/d25/7a3/b14/ea6/820/109c5cbf75a3cc56
    0x1000          3          8        11        89         1        ok       0.000  0x005cd3800  0x0001a7c00  0x00592bc00        25688         112        25576  f7b/450/752/52e/b93/8a4/7be/56c/49e951714bff4951
    0x1000          3          8        12        97         1        ok       0.000  0x005cd3800  0x0001ab000  0x005928800        25688         121        25567  23e/5b0/24c/a17/a69/862/cbd/cb6/ec06b1f5403caf12
    0x1000          3          8        13       105         1        ok       0.000  0x005cd3800  0x0001ae400  0x005925400        25688         130        25558  385/5b5/a00/914/af4/119/0c6/336/b726ee74f882c37a
