# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       cd1/9d3/030/01a/911/fb8/e40/2bc/5b1/b18fb916684f6
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          9
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:22:47.720839
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=09 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7390760 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3          9         1        10         1        ok       0.000  0x005cd3800  0x000187800  0x00594c000        25688          23        25665  0b1/438/cf0/a58/2b0/56a/c5a/49a/513/92c1e2080e61f
    0x1000          3          9         2        19         1        ok       0.000  0x005cd3800  0x00018b000  0x005948800        25688          33        25655  e92/1e4/c82/f08/361/627/aa5/845/2f6/3ad362d6cfc46
    0x1000          3          9         3        28         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          43        25645  55a/d7d/a41/a6e/637/0e0/00b/14d/a8d/4465dffbe5f6d
    0x1000          3          9         4        37         1        ok       0.000  0x005cd3800  0x000192000  0x005941800        25688          53        25635  564/2f4/d92/111/c31/e62/82e/0cd/18b/0228669361861
    0x1000          3          9         5        46         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          63        25625  db5/11d/773/4e5/7be/bc8/026/e08/1cd/ce46e53d2cfc0
    0x1000          3          9         6        55         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          73        25615  60a/119/73c/551/90b/c2c/971/fde/c4e/aaa191a7129c0
    0x1000          3          9         7        64         1        ok       0.000  0x005cd3800  0x00019c800  0x005937000        25688          83        25605  13b/17a/d12/0a5/1b2/0d0/ea9/e80/a90/63159f1c94129
    0x1000          3          9         8        73         1        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          93        25595  a77/c43/506/419/c24/806/578/56f/851/45d169dbc8395
    0x1000          3          9         9        82         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688         103        25585  cb3/e56/8c2/303/bcc/f74/7cd/70a/575/e01f74306d332
    0x1000          3          9        10        91         1        ok       0.000  0x005cd3800  0x0001a7000  0x00592c800        25688         113        25575  32a/ad2/d72/663/3ac/a01/283/fee/067/564952abe8a32
    0x1000          3          9        11       100         1        ok       0.000  0x005cd3800  0x0001aa800  0x005929000        25688         123        25565  ae8/0bb/255/9fa/a53/aaa/5f4/383/5be/f57d46984607c
    0x1000          3          9        12       109         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688         133        25555  097/947/ade/55c/c8b/be3/4d5/258/e88/4f0672457e078
    0x1000          3          9        13       118         1        ok       0.000  0x005cd3800  0x0001b1800  0x005922000        25688         143        25545  753/172/369/5b9/a2d/7e7/e48/b11/a58/a6cadfb2413c7
    0x1000          3          9        14       127         1        ok       0.000  0x005cd3800  0x0001b5000  0x00591e800        25688         153        25535  299/9dc/bb5/16e/3c2/729/6cf/d2d/432/2ac8d79362593
    0x1000          3          9        15       136         1        ok       0.000  0x005cd3800  0x0001b8800  0x00591b000        25688         163        25525  cb0/8b5/a5f/25c/aa1/532/f05/f32/76b/3458e7279a9c0
    0x1000          3          9        16       145         1        ok       0.000  0x005cd3800  0x0001bc000  0x005917800        25688         173        25515  af5/495/07e/b56/103/28c/f4d/cb4/16b/e0c7255e3ba3d
    0x1000          3          9        17       154         1        ok       0.000  0x005cd3800  0x0001bf800  0x005914000        25688         183        25505  ca6/969/cef/a9d/e46/610/d56/3ea/1c2/3282bddaaf8b5
    0x1000          3          9        18       163         1        ok       0.000  0x005cd3800  0x0001c3000  0x005910800        25688         193        25495  487/213/073/f39/a16/b2d/3fa/cd7/fa6/1281645962013
    0x1000          3          9        19       172         1        ok       0.000  0x005cd3800  0x0001c6800  0x00590d000        25688         203        25485  1a4/c4c/4ef/c84/596/c12/af2/f0b/f68/ef455f9ca987c
    0x1000          3          9        20       181         1        ok       0.000  0x005cd3800  0x0001ca000  0x005909800        25688         213        25475  462/3ac/d44/11d/268/3ff/ce3/de9/bc2/10c549f0580d5
    0x1000          3          9        21       190         1        ok       0.000  0x005cd3800  0x0001cd800  0x005906000        25688         223        25465  37c/ebb/c39/beb/fc9/4c1/b72/d87/021/2f56d314e5d9c
    0x1000          3          9        22       199         1        ok       0.000  0x005cd3800  0x0001d1000  0x005902800        25688         233        25455  a9f/ad1/cda/1f3/859/192/beb/8ea/1f3/4d810bd142071
    0x1000          3          9        23       208         1        ok       0.000  0x005cd3800  0x0001d4800  0x0058ff000        25688         243        25445  f50/499/870/3c2/bc5/4a6/6fa/c07/653/b582376d483e8
    0x1000          3          9        24       217         1        ok       0.000  0x005cd3800  0x0001d8000  0x0058fb800        25688         253        25435  523/976/467/a16/fd4/2e1/412/07e/303/afa86e398aa03
    0x1000          3          9        25       226         1        ok       0.000  0x005cd3800  0x0001db800  0x0058f8000        25688         263        25425  749/d61/795/98d/bc0/2e9/80f/262/554/7d3513c7398c1
    0x1000          3          9        26       235         1        ok       0.000  0x005cd3800  0x0001df000  0x0058f4800        25688         273        25415  ddd/17d/5cd/1db/b33/1d1/0af/934/0e5/4fc2ab865bb04
    0x1000          3          9        27       244         1        ok       0.000  0x005cd3800  0x0001e2800  0x0058f1000        25688         283        25405  430/d4c/47b/daa/cd2/296/d3d/0c7/436/82c94a16f1909
    0x1000          3          9        28       253         1        ok       0.000  0x005cd3800  0x0001e6000  0x0058ed800        25688         293        25395  45b/bd9/04d/29b/8fc/ea0/460/b3c/b86/828ef6624137e
    0x1000          3          9        29       262         1        ok       0.000  0x005cd3800  0x0001e9800  0x0058ea000        25688         303        25385  75b/3e0/ec3/7a4/71b/27a/59f/31a/f6f/7893a35b582f5
    0x1000          3          9        30       271         1        ok       0.000  0x005cd3800  0x0001ed000  0x0058e6800        25688         313        25375  ca2/ecf/774/bd1/ee1/df3/a4d/f08/8a3/fddbd30b8adc6
    0x1000          3          9        31       280         1        ok       0.000  0x005cd3800  0x0001f0800  0x0058e3000        25688         323        25365  54f/c8e/85a/c7c/876/a7a/461/cae/ce6/a5e487ee5dc58
    0x1000          3          9        32       289         1        ok       0.000  0x005cd3800  0x0001f4000  0x0058df800        25688         333        25355  d3d/802/d53/fe6/2c2/928/4fb/83d/2d7/d80a7c4ccac37
    0x1000          3          9        33       298         1        ok       0.000  0x005cd3800  0x0001f7800  0x0058dc000        25688         343        25345  650/3bf/97a/e79/3f9/fa8/c92/6c3/90c/9a482d8485fbf
    0x1000          3          9        34       307         1        ok       0.000  0x005cd3800  0x0001fb000  0x0058d8800        25688         353        25335  6a0/a0b/705/172/23d/5eb/02b/303/119/5f925c372bc71
    0x1000          3          9        35       316         1        ok       0.000  0x005cd3800  0x0001fe800  0x0058d5000        25688         363        25325  872/4b4/561/01a/682/b78/558/c73/387/498d7125c0846
    0x1000          3          9        36       325         1        ok       0.000  0x005cd3800  0x000202000  0x0058d1800        25688         373        25315  5fa/fca/575/95a/9ec/b69/952/2c2/2c7/fa51fe76f2c43
    0x1000          3          9        37       334         1        ok       0.000  0x005cd3800  0x000205800  0x0058ce000        25688         383        25305  524/b23/7e3/9e4/875/97d/6b9/678/d08/406ccd7fc57ce
    0x1000          3          9        38       343         1        ok       0.000  0x005cd3800  0x000209000  0x0058ca800        25688         393        25295  632/41b/aa7/fbd/af5/907/ea0/107/acb/df6110768a4c5
    0x1000          3          9        39       351         1        ok       0.000  0x005cd3800  0x00020c400  0x0058c7400        25688         402        25286  60a/039/f7f/4f9/7b7/bc2/61a/dd6/f34/268c02b74025a
