# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       686/01d/14c/522/5c3/600/35a/115/d0a/06ed900066191
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          9
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:21:19.349744
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=09 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7402488 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3          9         1        10         1        ok       0.000  0x005cd3800  0x000187800  0x00594c000        25688          23        25665  de6/a9d/64a/72f/23f/8e0/50e/3c7/858/d13fbe9f10d77
    0x1000          3          9         2        19         1        ok       0.000  0x005cd3800  0x00018b000  0x005948800        25688          33        25655  8f7/5d9/8fc/b59/9ea/396/3f2/39e/7d0/c57b28d67bc85
    0x1000          3          9         3        28         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          43        25645  c16/de9/4ca/141/7fd/a61/35e/293/884/3d65f704dd901
    0x1000          3          9         4        37         1        ok       0.000  0x005cd3800  0x000192000  0x005941800        25688          53        25635  20b/a6d/84d/5c7/866/7b7/fe2/88c/808/5b3ca58e7280e
    0x1000          3          9         5        46         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          63        25625  a73/87f/c70/f9b/427/358/2cd/3c1/41c/2d74ccc1c9424
    0x1000          3          9         6        55         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          73        25615  1ff/33a/e4d/344/e0c/a19/9c2/f6c/2ad/be92f8b1d244b
    0x1000          3          9         7        64         1        ok       0.000  0x005cd3800  0x00019c800  0x005937000        25688          83        25605  046/1b0/b7e/62b/298/057/4a7/b24/4c2/ac9c95998157d
    0x1000          3          9         8        73         1        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          93        25595  368/70a/722/d3d/e7b/c78/6a2/6d7/6b1/59c37e4ad299d
    0x1000          3          9         9        82         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688         103        25585  a4d/72e/801/b5e/37f/4e3/63d/410/326/7792e3b7c250e
    0x1000          3          9        10        91         1        ok       0.000  0x005cd3800  0x0001a7000  0x00592c800        25688         113        25575  f06/1ed/698/850/014/fbb/6fb/db0/2d9/e8ad2f1b76f8e
