# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       1c6/451/fe1/143/531/23a/232/aaf/665/a2f/0ba3ae01aa
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          10
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:24:41.861378
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=10 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7410824 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3         10         1        11         1        ok       0.000  0x005cd3800  0x000187c00  0x00594bc00        25688          24        25664  867/17e/9a1/0e5/da2/3e7/a6a/2c3/45c/0ec/e48de46642
    0x1000          3         10         2        21         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          35        25653  845/473/9ba/ef6/443/a0a/335/280/748/8d4/5f9b5b87fc
    0x1000          3         10         3        31         1        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          46        25642  e08/3b0/698/a74/cdd/8ff/2a0/ef1/b30/331/f3c16ebbc1
    0x1000          3         10         4        41         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          57        25631  f3b/19c/b11/e56/edc/7f8/163/9e3/71b/386/bb492eb8ac
    0x1000          3         10         5        51         1        ok       0.000  0x005cd3800  0x000196c00  0x00593cc00        25688          68        25620  869/0a4/65b/58a/276/ab2/4e2/80e/2b6/af7/ec4bf26382
    0x1000          3         10         6        61         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          79        25609  c2f/c27/59b/54e/9db/f6e/766/40a/395/cde/f2a063c43f
    0x1000          3         10         7        71         1        ok       0.000  0x005cd3800  0x00019e400  0x005935400        25688          90        25598  91d/3b4/e2d/0f8/f07/57a/309/098/cf8/790/6519cd6449
    0x1000          3         10         8        81         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688         101        25587  016/d2c/217/4ef/8ee/d73/876/306/80a/5c3/c5801e156e
    0x1000          3         10         9        91         1        ok       0.000  0x005cd3800  0x0001a5c00  0x00592dc00        25688         112        25576  879/c08/1d4/797/0e3/adc/944/956/a52/7cf/95faa3fa99
    0x1000          3         10        10       101         1        ok       0.000  0x005cd3800  0x0001a9800  0x00592a000        25688         123        25565  87f/a86/3e1/241/4b9/852/e7a/118/6c6/a37/897b7d2b30
    0x1000          3         10        11       111         1        ok       0.000  0x005cd3800  0x0001ad400  0x005926400        25688         134        25554  876/640/213/b5f/5e3/b98/8d1/970/d60/766/870a93bfef
    0x1000          3         10        12       121         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688         145        25543  600/b94/0a0/49a/3ec/46a/328/fa3/3d2/dc9/9a1d1f915a
    0x1000          3         10        13       131         1        ok       0.000  0x005cd3800  0x0001b4c00  0x00591ec00        25688         156        25532  6dd/831/a87/529/122/322/2b6/26b/04f/57a/53804e1aba
    0x1000          3         10        14       141         1        ok       0.000  0x005cd3800  0x0001b8800  0x00591b000        25688         167        25521  f8a/56b/3ee/e64/7b7/e83/8cb/cd4/2dc/f31/9864ff7d5e
