# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       970/43c/0fc/13b/6f7/46e/805/217/339/15b/135ee0f4ed
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          10
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:23:06.521996
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=10 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7389916 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3         10         1        11         1        ok       0.000  0x005cd3800  0x000187c00  0x00594bc00        25688          24        25664  63f/152/70f/5ea/0e3/a52/378/50e/519/2b4/17d8334593
    0x1000          3         10         2        21         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          35        25653  5ed/e55/674/a35/750/b50/d4c/545/9f4/fb7/74bda70f71
    0x1000          3         10         3        31         1        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          46        25642  62b/a07/f90/2d3/74d/ec0/1b0/ccd/c29/dcc/98329f1017
    0x1000          3         10         4        41         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          57        25631  bb4/d00/1b7/7b9/19d/d30/6a4/5f1/538/0b7/f0de97bb71
    0x1000          3         10         5        51         1        ok       0.000  0x005cd3800  0x000196c00  0x00593cc00        25688          68        25620  aa7/a29/8a3/9fb/f8d/fb5/de2/e07/841/574/c1410f72e1
    0x1000          3         10         6        61         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          79        25609  0d7/a1c/2cb/637/afe/2b7/ecf/eb4/4fd/3e4/17f6bda484
    0x1000          3         10         7        71         1        ok       0.000  0x005cd3800  0x00019e400  0x005935400        25688          90        25598  4a3/8db/773/380/b7f/8f7/cb4/c92/86b/f1e/80a0fde649
    0x1000          3         10         8        81         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688         101        25587  87a/0a5/c2c/8cc/539/acd/1da/250/52f/136/6d4b2b2d32
    0x1000          3         10         9        91         1        ok       0.000  0x005cd3800  0x0001a5c00  0x00592dc00        25688         112        25576  49e/00f/5ab/3e0/6ff/2e6/53c/9cd/65b/8c3/48a987903f
    0x1000          3         10        10       101         1        ok       0.000  0x005cd3800  0x0001a9800  0x00592a000        25688         123        25565  363/9b5/182/a8a/dde/226/583/abe/f40/d9b/e9480ca0c6
    0x1000          3         10        11       111         1        ok       0.000  0x005cd3800  0x0001ad400  0x005926400        25688         134        25554  b11/2a8/1bb/a2b/84c/ceb/06c/a22/4ce/71d/d8239707b6
    0x1000          3         10        12       121         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688         145        25543  f4c/eb8/3e2/f9c/1df/c46/9b5/b09/845/1c0/77b4ab686d
    0x1000          3         10        13       131         1        ok       0.000  0x005cd3800  0x0001b4c00  0x00591ec00        25688         156        25532  834/b96/ae4/fe1/0ef/1dd/f8a/80c/42d/0b3/c4fa404346
    0x1000          3         10        14       141         1        ok       0.000  0x005cd3800  0x0001b8800  0x00591b000        25688         167        25521  e8c/096/183/b4a/cc4/dac/7eb/366/72d/65b/c29650b960
    0x1000          3         10        15       151         1        ok       0.000  0x005cd3800  0x0001bc400  0x005917400        25688         178        25510  ca3/194/403/268/9f4/30f/e05/3c0/9a8/e5d/1efe2509b5
    0x1000          3         10        16       161         1        ok       0.000  0x005cd3800  0x0001c0000  0x005913800        25688         189        25499  95c/5da/7aa/50c/c0b/a32/1fe/95a/733/c05/b4b6f43b03
    0x1000          3         10        17       171         1        ok       0.000  0x005cd3800  0x0001c3c00  0x00590fc00        25688         200        25488  851/153/379/fda/2e2/1a6/ab1/494/da8/71d/d845532912
    0x1000          3         10        18       181         1        ok       0.000  0x005cd3800  0x0001c7800  0x00590c000        25688         211        25477  a5e/a10/594/532/4b9/526/97e/89e/ed9/1cf/4e048b531b
    0x1000          3         10        19       191         1        ok       0.000  0x005cd3800  0x0001cb400  0x005908400        25688         222        25466  a2e/a13/0d1/68c/502/1d6/17a/716/070/3f7/a86e5df7eb
    0x1000          3         10        20       200         1        ok       0.000  0x005cd3800  0x0001cec00  0x005904c00        25688         232        25456  aa7/435/3c3/55a/fa2/a13/6e3/942/d2a/f89/bfa7ac1bdc
    0x1000          3         10        21       210         1        ok       0.000  0x005cd3800  0x0001d2800  0x005901000        25688         243        25445  ddf/dea/ccc/fa8/0e9/b4a/a59/ce4/f91/7f6/5951941b37
    0x1000          3         10        22       220         1        ok       0.000  0x005cd3800  0x0001d6400  0x0058fd400        25688         254        25434  a59/b55/fe0/2da/88e/450/fa7/db9/7ce/b7f/90702a046f
    0x1000          3         10        23       230         1        ok       0.000  0x005cd3800  0x0001da000  0x0058f9800        25688         265        25423  947/f74/05d/db8/4a7/55a/ee0/07a/f39/5d0/c835480d23
    0x1000          3         10        24       240         1        ok       0.000  0x005cd3800  0x0001ddc00  0x0058f5c00        25688         276        25412  835/660/2d6/1a0/312/65e/cd1/734/777/17f/e78ddfc92c
    0x1000          3         10        25       250         1        ok       0.000  0x005cd3800  0x0001e1800  0x0058f2000        25688         287        25401  166/b95/d11/9fa/bb7/144/49f/7ed/b7d/412/3d584e73cb
    0x1000          3         10        26       260         1        ok       0.000  0x005cd3800  0x0001e5400  0x0058ee400        25688         298        25390  922/359/bfb/c8a/cb0/11f/05c/9d5/5d6/bdb/1bf0ad5542
    0x1000          3         10        27       270         1        ok       0.000  0x005cd3800  0x0001e9000  0x0058ea800        25688         309        25379  df2/58f/735/658/21b/899/e1a/c46/476/f0b/5b9f52942e
    0x1000          3         10        28       280         1        ok       0.000  0x005cd3800  0x0001ecc00  0x0058e6c00        25688         320        25368  234/43c/4c3/cc1/9c8/643/eba/98d/c65/496/8bd4d240b2
    0x1000          3         10        29       290         1        ok       0.000  0x005cd3800  0x0001f0800  0x0058e3000        25688         331        25357  1bf/bc7/b66/529/faf/edc/2fc/3cd/0cd/69e/be76fb2636
    0x1000          3         10        30       300         1        ok       0.000  0x005cd3800  0x0001f4400  0x0058df400        25688         342        25346  4ec/b35/7f4/a12/054/8c4/9dd/a94/71e/f30/205bba38a2
    0x1000          3         10        31       310         1        ok       0.000  0x005cd3800  0x0001f8000  0x0058db800        25688         353        25335  f8a/efb/4ed/651/4d9/f60/3d8/9d2/cea/ff3/592003b3e7
    0x1000          3         10        32       320         1        ok       0.000  0x005cd3800  0x0001fbc00  0x0058d7c00        25688         364        25324  5fc/729/151/79f/080/eea/b61/eb1/4c0/365/0be86e47f0
    0x1000          3         10        33       330         1        ok       0.000  0x005cd3800  0x0001ff800  0x0058d4000        25688         375        25313  da7/393/405/c8a/a0d/722/a5c/8f7/93e/0cf/d8a9cb5da9
    0x1000          3         10        34       340         1        ok       0.000  0x005cd3800  0x000203400  0x0058d0400        25688         386        25302  af5/8e3/e05/9c8/f33/eba/25f/3c4/568/0ad/f4fbc0594b
    0x1000          3         10        35       350         1        ok       0.000  0x005cd3800  0x000207000  0x0058cc800        25688         397        25291  329/2de/36e/3f6/e56/c43/7b5/bea/22d/032/655d009c0b
