# Simulating growing object file directories
# 
# dir_split:          3
# example_file:       c54/47f/c87/e8c/4a5/1ca/2c9/4a5/d66/d47/d61eec05ce
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          10
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:21:38.496590
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=03 --dir-depth=10 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7401728 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          3         10         1        11         1        ok       0.000  0x005cd3800  0x000187c00  0x00594bc00        25688          24        25664  99a/474/94f/582/a89/bf7/45e/e2c/296/70c/5dd1848703
    0x1000          3         10         2        21         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          35        25653  e74/7ba/6bc/453/4f0/40c/079/f66/e22/eae/6eeb92071e
    0x1000          3         10         3        31         1        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          46        25642  997/a50/4c4/8b8/7f6/6e4/418/d85/970/274/abf9c60509
    0x1000          3         10         4        41         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          57        25631  6ef/156/0d2/7da/e0b/735/f7b/0ca/782/d31/c26a2e3125
    0x1000          3         10         5        51         1        ok       0.000  0x005cd3800  0x000196c00  0x00593cc00        25688          68        25620  356/13c/adf/657/f16/d06/11c/68f/08c/4e0/ffbb5fa7b2
    0x1000          3         10         6        61         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          79        25609  e45/161/d22/c5f/551/ba6/aab/9c9/0ef/c8e/b7d7f7b17c
    0x1000          3         10         7        71         1        ok       0.000  0x005cd3800  0x00019e400  0x005935400        25688          90        25598  a0d/d08/ade/871/3fa/232/c83/a30/587/2e3/19b8301418
    0x1000          3         10         8        81         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688         101        25587  b3c/c62/f31/37c/167/b50/25a/8d7/a1d/502/2049b6e843
    0x1000          3         10         9        91         1        ok       0.000  0x005cd3800  0x0001a5c00  0x00592dc00        25688         112        25576  928/c73/dbb/201/573/c88/33f/b9a/55f/15f/87d10009a3
    0x1000          3         10        10       101         1        ok       0.000  0x005cd3800  0x0001a9800  0x00592a000        25688         123        25565  5e8/915/48a/dbc/04c/639/aa4/721/798/bfa/98d095fba8
    0x1000          3         10        11       111         1        ok       0.000  0x005cd3800  0x0001ad400  0x005926400        25688         134        25554  989/15d/2d1/471/265/0c9/19f/72f/268/11b/56a1117d7c
    0x1000          3         10        12       121         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688         145        25543  06c/ec0/6ae/be9/e3a/4a3/02c/4da/2b9/ac5/4469d9b63d
    0x1000          3         10        13       131         1        ok       0.000  0x005cd3800  0x0001b4c00  0x00591ec00        25688         156        25532  ca6/c0c/467/470/98f/ee9/9ad/e73/dcc/f14/7231efe444
    0x1000          3         10        14       141         1        ok       0.000  0x005cd3800  0x0001b8800  0x00591b000        25688         167        25521  984/efb/bc1/c7b/a04/840/e7d/470/130/84e/990e2f4cf7
