# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       9298/be579c5252fb1e3d02129c8aeb8aa75fa1a4
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          1
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:25:50.516453
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=01 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7410184 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          1         1         2         1        ok       0.000  0x005cd3800  0x000185800  0x00594e000        25688          15        25673  d4eb/f02a9f24f2a671225ba921094fc8d3bf5cd4
    0x1000          4          1         2         3         1        ok       0.000  0x005cd3800  0x000187000  0x00594c800        25688          17        25671  fcbd/620b3f20dfe8ad47cf5d2d9310eb6eceaace
    0x1000          4          1         3         4         1        ok       0.000  0x005cd3800  0x000188800  0x00594b000        25688          19        25669  cf82/62ea481b7e86e15bae9199ea1b9bb8b73309
    0x1000          4          1         4         5         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          21        25667  f9c2/a2895f108dda1225276c1492320410146aaa
    0x1000          4          1         5         6         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          23        25665  dada/78c6b36ee77d627eef29d1e9d995b98f1b32
    0x1000          4          1         6         7         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          25        25663  f66b/5b34e329cdfb6a0f75db65acc2ffbdc6d65f
    0x1000          4          1         7         8         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          27        25661  aa94/e646783c855e3a29e6a4b645e433ea545b50
    0x1000          4          1         8         9         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          29        25659  22da/98ab6ed58cab912562f22597b8d461c2bdb7
    0x1000          4          1         9        10         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          31        25657  5e7f/632d5d75566f841d276d53a35810336fa3ab
    0x1000          4          1        10        11         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          33        25655  bedd/b880176c3db2b362f2aed20a8e8ac2e3359f
    0x1000          4          1        11        12         1        ok       0.000  0x005cd3800  0x000194800  0x00593f000        25688          35        25653  c626/e4abdf0c10af52f809d2fa4e40f5222bfa95
    0x1000          4          1        12        13         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          37        25651  007f/f111fc2595cdad929a0d4da608902be33421
    0x1000          4          1        13        14         1        ok       0.000  0x005cd3800  0x000197800  0x00593c000        25688          39        25649  fd84/68efffbc89b50b2dac9147d476c665e5bc60
    0x1000          4          1        14        15         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          41        25647  d314/0bce807b9a9a1fa00ed2816c79da7e627119
    0x1000          4          1        15        16         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          43        25645  839c/39761b419fa7bd6026c68307fc6274607839
    0x1000          4          1        16        17         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          45        25643  c52c/29033c609d830c47144d3d96143dabed4892
    0x1000          4          1        17        18         1        ok       0.000  0x005cd3800  0x00019d800  0x005936000        25688          47        25641  984e/dfa89b2720675f1f6c93e99cef22378eb6cb
    0x1000          4          1        18        19         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          49        25639  1bf4/a81f2e6f66ec109c27601df41fab6572ce43
    0x1000          4          1        19        20         1        ok       0.000  0x005cd3800  0x0001a0800  0x005933000        25688          51        25637  7786/c183979160aeb97113aaaa5509c47fe466df
    0x1000          4          1        20        21         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          53        25635  058d/43a357ffaf338d5df884bbf771e482c8f609
    0x1000          4          1        21        22         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688          55        25633  99c9/d36f1ab37b03c2538d436c8b929020062425
    0x1000          4          1        22        23         1        ok       0.000  0x005cd3800  0x0001a5000  0x00592e800        25688          57        25631  0020/421012911630ec037845ef1ff90b8e9cccd0
    0x1000          4          1        23        24         1        ok       0.000  0x005cd3800  0x0001a6800  0x00592d000        25688          59        25629  4bad/8c4e72d2eacaa2cd03c9f7a5cc47e46da325
    0x1000          4          1        24        25         1        ok       0.000  0x005cd3800  0x0001a8000  0x00592b800        25688          61        25627  9044/a42ff4e29460b4777ecb5acc40759468cc66
    0x1000          4          1        25        26         1        ok       0.000  0x005cd3800  0x0001a9800  0x00592a000        25688          63        25625  2135/8260a59524c280d5488741b8f5a4d8102f2e
    0x1000          4          1        26        27         1        ok       0.000  0x005cd3800  0x0001ab000  0x005928800        25688          65        25623  c98d/2e23305f156def878ffe78c46cbf62298c95
    0x1000          4          1        27        28         1        ok       0.000  0x005cd3800  0x0001ac800  0x005927000        25688          67        25621  4aff/c99a700737e30edd6cb5e6c511d2eb64e9db
    0x1000          4          1        28        29         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688          69        25619  866b/be39bf9ac8fb1af7e3b65c7abce67b72ea4c
    0x1000          4          1        29        30         1        ok       0.000  0x005cd3800  0x0001af800  0x005924000        25688          71        25617  ed20/f7decd5c8c3750e50de6a6a9c79a2cdd07d0
    0x1000          4          1        30        31         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688          73        25615  3ccf/519e7f3d0d346047e94340bcd0d6915a6a1e
    0x1000          4          1        31        32         1        ok       0.000  0x005cd3800  0x0001b2800  0x005921000        25688          75        25613  e092/16f19a98b53bf7a6a7dada39a30159f2e761
    0x1000          4          1        32        33         1        ok       0.000  0x005cd3800  0x0001b4000  0x00591f800        25688          77        25611  a2f7/814ba1f2f7f61e45bf20b8703e5f4ef00455
    0x1000          4          1        33        34         1        ok       0.000  0x005cd3800  0x0001b5800  0x00591e000        25688          79        25609  57f6/f1f6935b17675c414d8cfc151c32f919998f
    0x1000          4          1        34        35         1        ok       0.000  0x005cd3800  0x0001b7000  0x00591c800        25688          81        25607  b9ed/c5424f7495cd1acf464d77c9ac45e1f159a5
