# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       b267/66159ce22cfd0117d47d12c737a5563fea56
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          1
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:23:24.267387
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=01 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7389528 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          1         1         2         1        ok       0.000  0x005cd3800  0x000185800  0x00594e000        25688          15        25673  e554/b41d4ed1d09bd06bf14e16e292476d1c8fc9
    0x1000          4          1         2         3         1        ok       0.000  0x005cd3800  0x000187000  0x00594c800        25688          17        25671  294c/3816b1abfd8fa08bb20d029b619589192487
    0x1000          4          1         3         4         1        ok       0.000  0x005cd3800  0x000188800  0x00594b000        25688          19        25669  24dc/aa39f4af6e8f467dc6e76bf0710c034ab11d
    0x1000          4          1         4         5         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          21        25667  ecdd/e4a112476dd5ad0b15bc11c35f5401d57322
    0x1000          4          1         5         6         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          23        25665  99e3/5ba32464276a4ea02ff5da3d14aea3d22e04
    0x1000          4          1         6         7         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          25        25663  ad4a/33f38498297e16680f4aae586d6666a676b9
    0x1000          4          1         7         8         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          27        25661  abfa/4b600323dc6df51e1a30602753bdebfe7ce6
    0x1000          4          1         8         9         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          29        25659  beb8/ffecb01f59e19fdda9ff6b2ce67c94a1cc75
    0x1000          4          1         9        10         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          31        25657  8643/a982dda612e938a03bb2b11b83d72078f54b
    0x1000          4          1        10        11         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          33        25655  d981/dc130b6588b9e415f4bba9317575bcb246dd
    0x1000          4          1        11        12         1        ok       0.000  0x005cd3800  0x000194800  0x00593f000        25688          35        25653  d2cd/31c7f64881e4cbb12a9812b63a837403c8b6
    0x1000          4          1        12        13         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          37        25651  e6a4/e50dabe7d3b76182b5904d1f54536a43e814
    0x1000          4          1        13        14         1        ok       0.000  0x005cd3800  0x000197800  0x00593c000        25688          39        25649  1da8/55ed0a593f5dc56cf7f726ec8437cf036479
    0x1000          4          1        14        15         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          41        25647  3a24/8d7b8bbcbf4b891b52b3df3d59225bb05504
    0x1000          4          1        15        16         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          43        25645  c70d/e4b4b65cb8c92df624317702c5136280a390
    0x1000          4          1        16        17         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          45        25643  b1fa/ed10092a5394d3241b50fecce04ee49561a9
    0x1000          4          1        17        18         1        ok       0.000  0x005cd3800  0x00019d800  0x005936000        25688          47        25641  594a/ae1fb8d9c64d0e28de366da9a6157be12f8e
    0x1000          4          1        18        19         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          49        25639  7cb3/53815b5ae80710d0cf18c4bc4e5ffa8ddac6
    0x1000          4          1        19        20         1        ok       0.000  0x005cd3800  0x0001a0800  0x005933000        25688          51        25637  faea/f370ee57ce1594b5109bfca5abc9340997b6
    0x1000          4          1        20        21         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          53        25635  4a76/6e5f212d6d6d53003bdf28e523579a597159
    0x1000          4          1        21        22         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688          55        25633  e4ef/7c317683c6a1f4cd2babb3c42cbd38ab1aed
    0x1000          4          1        22        23         1        ok       0.000  0x005cd3800  0x0001a5000  0x00592e800        25688          57        25631  4b33/16b3496734e70ea7190bc4606601c5205672
    0x1000          4          1        23        24         1        ok       0.000  0x005cd3800  0x0001a6800  0x00592d000        25688          59        25629  9a3a/1c76fdba144831dab1831155068833feb569
    0x1000          4          1        24        25         1        ok       0.000  0x005cd3800  0x0001a8000  0x00592b800        25688          61        25627  2fb3/84feca2ceab816bb1bd916afa860c2499598
    0x1000          4          1        25        26         1        ok       0.000  0x005cd3800  0x0001a9800  0x00592a000        25688          63        25625  e6d6/e424fd53e7607943c31589af06bbb8841b74
