# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       7df6/1def/41becd8ff11b3c64a99703ae4e8aab26
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          2
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:26:51.242535
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=02 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7405908 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          2         1         3         1        ok       0.000  0x005cd3800  0x000185c00  0x00594dc00        25688          16        25672  9cad/c13d/8b4690628c40575b740ea5fad6e6031e
    0x1000          4          2         2         5         1        ok       0.000  0x005cd3800  0x000187800  0x00594c000        25688          19        25669  ab54/648c/ba562033bb5423afd119b3b3c2820632
    0x1000          4          2         3         7         1        ok       0.000  0x005cd3800  0x000189400  0x00594a400        25688          22        25666  a435/581e/69b802afcc1f76633df14f19b4dd7c68
    0x1000          4          2         4         9         1        ok       0.000  0x005cd3800  0x00018b000  0x005948800        25688          25        25663  7abd/452d/667ba8e4fcd42bb36c41559b963d3f54
    0x1000          4          2         5        11         1        ok       0.000  0x005cd3800  0x00018cc00  0x005946c00        25688          28        25660  bcf1/6aab/621f9fda0afcfe354f0d684347779e93
    0x1000          4          2         6        13         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          31        25657  5123/3d3c/4a07854e6fd29a9dd007f746c30db99b
    0x1000          4          2         7        15         1        ok       0.000  0x005cd3800  0x000190400  0x005943400        25688          34        25654  0a8c/afb7/57824327c0f3b7adab2c94d7f810ff77
    0x1000          4          2         8        17         1        ok       0.000  0x005cd3800  0x000192000  0x005941800        25688          37        25651  7f2f/ee54/f3831cb354f9be08c234644d7c83ea73
    0x1000          4          2         9        19         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          40        25648  0ddb/0301/3c2cd6c5cc994493c300b6a620cce7df
    0x1000          4          2        10        21         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          43        25645  7f26/667d/c8e4acc1ab67f420acdec0870f8a5847
    0x1000          4          2        11        23         1        ok       0.000  0x005cd3800  0x000197400  0x00593c400        25688          46        25642  443d/9776/25ed752ada0f8c9b15f42da6479e4fc7
