# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       35e3/ddb5/b9fbc446ea829acc70d3c2af7481142f
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          2
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:22:56.394111
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=02 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7397336 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          2         1         3         1        ok       0.000  0x005cd3800  0x000185c00  0x00594dc00        25688          16        25672  f28d/664d/039e9075790ea7de4fa1f68416b33a73
    0x1000          4          2         2         5         1        ok       0.000  0x005cd3800  0x000187800  0x00594c000        25688          19        25669  043e/9a17/18c76feccd25ef007017659171ef2b15
    0x1000          4          2         3         7         1        ok       0.000  0x005cd3800  0x000189400  0x00594a400        25688          22        25666  2024/5ac4/5af0a9dd91d7538f5bcd5c6f5077a204
    0x1000          4          2         4         9         1        ok       0.000  0x005cd3800  0x00018b000  0x005948800        25688          25        25663  0048/9c57/6d9d0c85be93ecca01d8a586bd1ac314
    0x1000          4          2         5        11         1        ok       0.000  0x005cd3800  0x00018cc00  0x005946c00        25688          28        25660  8c18/ef0d/093019fa57efaaa7214412fe327d6d3d
    0x1000          4          2         6        13         1        ok       0.000  0x005cd3800  0x00018e800  0x005945000        25688          31        25657  3b6e/5c68/5883575852663fd8943e7893a5577ce8
    0x1000          4          2         7        15         1        ok       0.000  0x005cd3800  0x000190400  0x005943400        25688          34        25654  21ad/7e14/81638564164d286131e883d715381579
    0x1000          4          2         8        17         1        ok       0.000  0x005cd3800  0x000192000  0x005941800        25688          37        25651  3451/f8bb/c36206ffdf29885cdc2d1d7df318a84a
    0x1000          4          2         9        19         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          40        25648  abe6/a5bc/5bd53fdd0e12b5c8e59e40a384b3f3fb
    0x1000          4          2        10        21         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          43        25645  863f/99e5/cbd8a670ad0090104e00d996e43e457a
    0x1000          4          2        11        23         1        ok       0.000  0x005cd3800  0x000197400  0x00593c400        25688          46        25642  92bf/85fc/0b0c0f82ebcf88ac80a776fa6d6a8102
    0x1000          4          2        12        25         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          49        25639  aa8a/2f41/7ed7ccba4a8bf0e8d342c93808ddbd10
    0x1000          4          2        13        27         1        ok       0.000  0x005cd3800  0x00019ac00  0x005938c00        25688          52        25636  e55a/938e/c56327ceaf6f01f68fe34fd53d0fb937
    0x1000          4          2        14        29         1        ok       0.000  0x005cd3800  0x00019c800  0x005937000        25688          55        25633  0149/29a1/096432f4d0affc20f78da4796102e380
    0x1000          4          2        15        31         1        ok       0.000  0x005cd3800  0x00019e400  0x005935400        25688          58        25630  44ec/5555/4251c5aebde162300a117e082742195d
    0x1000          4          2        16        33         1        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          61        25627  66e5/38e5/cfce21ac62de3b49328b3abbae66d702
    0x1000          4          2        17        35         1        ok       0.000  0x005cd3800  0x0001a1c00  0x005931c00        25688          64        25624  1819/0216/20bfb1a793c91c45fa33803cb7d6cf41
    0x1000          4          2        18        37         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688          67        25621  4caf/3c50/5ee991376fb97ddee742b6725c98f91c
    0x1000          4          2        19        39         1        ok       0.000  0x005cd3800  0x0001a5400  0x00592e400        25688          70        25618  da5f/a9e5/b8e9ffa39ead0c20af6a219ef0294360
    0x1000          4          2        20        41         1        ok       0.000  0x005cd3800  0x0001a7000  0x00592c800        25688          73        25615  6ce6/76d7/d6f7a6cc70a6f785b999bb7ab01206d9
    0x1000          4          2        21        43         1        ok       0.000  0x005cd3800  0x0001a8c00  0x00592ac00        25688          76        25612  7419/bdac/0af17968b347797519e48e28de1acebf
    0x1000          4          2        22        45         1        ok       0.000  0x005cd3800  0x0001aa800  0x005929000        25688          79        25609  45aa/0731/da31e9d342b55033edb9f2c1c16731f6
    0x1000          4          2        23        47         1        ok       0.000  0x005cd3800  0x0001ac400  0x005927400        25688          82        25606  6ab8/254a/93d8c0a31de1409299c3b9076c91a7a4
    0x1000          4          2        24        49         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688          85        25603  956a/d3ac/acad80002c109793fba003549fad850b
    0x1000          4          2        25        51         1        ok       0.000  0x005cd3800  0x0001afc00  0x005923c00        25688          88        25600  64de/934a/d02de9de94c43e4e5e78f22f4976b089
    0x1000          4          2        26        53         1        ok       0.000  0x005cd3800  0x0001b1800  0x005922000        25688          91        25597  03e3/6491/72e9886a1e2d090005f7a9d433bb2399
    0x1000          4          2        27        55         1        ok       0.000  0x005cd3800  0x0001b3400  0x005920400        25688          94        25594  77f1/22e2/67c46098be4a29134b2feeac83c33a6d
    0x1000          4          2        28        57         1        ok       0.000  0x005cd3800  0x0001b5000  0x00591e800        25688          97        25591  ec83/ddff/793de1560a0c8fb91fe3d86a0d57a832
    0x1000          4          2        29        59         1        ok       0.000  0x005cd3800  0x0001b6c00  0x00591cc00        25688         100        25588  8641/9b58/fbdb83e228f11f0277f1b95041c72126
    0x1000          4          2        30        61         1        ok       0.000  0x005cd3800  0x0001b8800  0x00591b000        25688         103        25585  a8d0/cb2f/051d6a4b3ff1eaf3a59e43f05653f99d
    0x1000          4          2        31        63         1        ok       0.000  0x005cd3800  0x0001ba400  0x005919400        25688         106        25582  55f5/246a/197b4108f824d1b6169283a93a773afa
    0x1000          4          2        32        65         1        ok       0.000  0x005cd3800  0x0001bc000  0x005917800        25688         109        25579  6eac/5b9c/e9a83f6d49cc85f0cce4161de5585fc8
    0x1000          4          2        33        67         1        ok       0.000  0x005cd3800  0x0001bdc00  0x005915c00        25688         112        25576  9a6a/fb83/768f07315ca9a1450d2aa597c6aaefd3
    0x1000          4          2        34        69         1        ok       0.000  0x005cd3800  0x0001bf800  0x005914000        25688         115        25573  3d21/17dd/aab50e191f1b27a7c5199563050185e3
    0x1000          4          2        35        71         1        ok       0.000  0x005cd3800  0x0001c1400  0x005912400        25688         118        25570  276d/1f4b/6328b1ef833701a2d6cf296a4164b6dc
    0x1000          4          2        36        73         1        ok       0.000  0x005cd3800  0x0001c3000  0x005910800        25688         121        25567  e4c0/7eab/5ed45b136518c8129f0e751f5ba41a0f
    0x1000          4          2        37        75         1        ok       0.000  0x005cd3800  0x0001c4c00  0x00590ec00        25688         124        25564  adb4/50e4/7483ef789d4b27c375d26291e5cb7037
    0x1000          4          2        38        77         1        ok       0.000  0x005cd3800  0x0001c6800  0x00590d000        25688         127        25561  d724/ea9a/13d774c64cdb3d3d5faa4d297048f58a
    0x1000          4          2        39        79         1        ok       0.000  0x005cd3800  0x0001c8400  0x00590b400        25688         130        25558  609b/f2eb/856866871fbce077d3679d9907035dc3
    0x1000          4          2        40        81         1        ok       0.000  0x005cd3800  0x0001ca000  0x005909800        25688         133        25555  3d32/f6b9/64c8fa721b4a5575242eddea2de62ac1
    0x1000          4          2        41        83         1        ok       0.000  0x005cd3800  0x0001cbc00  0x005907c00        25688         136        25552  6154/b825/2a94eb8286d9ebf7a6072313e7990e1e
    0x1000          4          2        42        85         1        ok       0.000  0x005cd3800  0x0001cd800  0x005906000        25688         139        25549  1f41/e7f8/d937ba373545f4db6f737ba8123e1993
    0x1000          4          2        43        87         1        ok       0.000  0x005cd3800  0x0001cf400  0x005904400        25688         142        25546  747c/6b58/b7b11e3eec76a2ce27f07bb6e7885c0f
    0x1000          4          2        44        89         1        ok       0.000  0x005cd3800  0x0001d1000  0x005902800        25688         145        25543  ad65/641b/3d0a274147402d38cf26bedf30f5b7c3
    0x1000          4          2        45        91         1        ok       0.000  0x005cd3800  0x0001d2c00  0x005900c00        25688         148        25540  8e9f/6cea/df262a696e4892a2cc9e13435e1ac7a5
    0x1000          4          2        46        93         1        ok       0.000  0x005cd3800  0x0001d4800  0x0058ff000        25688         151        25537  d252/bdb1/3896e53602ab3f662b91e3193d9194d5
    0x1000          4          2        47        95         1        ok       0.000  0x005cd3800  0x0001d6400  0x0058fd400        25688         154        25534  be57/0250/b1e42c08e3562fd2a052b3270e14a847
    0x1000          4          2        48        97         1        ok       0.000  0x005cd3800  0x0001d8000  0x0058fb800        25688         157        25531  7c65/deb7/889f8910bc4d533c10a918a97d34a1e2
    0x1000          4          2        49        99         1        ok       0.000  0x005cd3800  0x0001d9c00  0x0058f9c00        25688         160        25528  fe86/72d8/6e53f3b6f465f3343c94103f59bb3bc2
    0x1000          4          2        50       101         1        ok       0.000  0x005cd3800  0x0001db800  0x0058f8000        25688         163        25525  174f/d2c3/ab4d07b41d1fe7658be6cf9cad151724
    0x1000          4          2        51       103         1        ok       0.000  0x005cd3800  0x0001dd400  0x0058f6400        25688         166        25522  ae9d/31b5/4657e34a8c515d5db59163ff9ddb6905
    0x1000          4          2        52       105         1        ok       0.000  0x005cd3800  0x0001df000  0x0058f4800        25688         169        25519  5f7a/347f/ba8f4a4b7a8217710b5f93ad7e6e3127
    0x1000          4          2        53       107         1        ok       0.000  0x005cd3800  0x0001e0c00  0x0058f2c00        25688         172        25516  a90c/fb64/6105b94cc6a7543a8f67ff059c9ce6a9
    0x1000          4          2        54       109         1        ok       0.000  0x005cd3800  0x0001e2800  0x0058f1000        25688         175        25513  5322/049e/eb3e43647c075231a9897ee58e065c68
    0x1000          4          2        55       111         1        ok       0.000  0x005cd3800  0x0001e4400  0x0058ef400        25688         178        25510  8f4f/d80e/21dcee696892693e44d2e9e6f16fb2c0
    0x1000          4          2        56       113         1        ok       0.000  0x005cd3800  0x0001e6000  0x0058ed800        25688         181        25507  2d23/9ea4/7bc50f18dd20c8e53429024b52321e08
