# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       3977/09d5/9030/1059146fe75ed212952731b9f038
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          3
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:27:32.529586
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=03 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7404816 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          3         1         4         1        ok       0.000  0x005cd3800  0x000186000  0x00594d800        25688          17        25671  99f2/9c32/1ae9/4a04322348a8c3e5e187a3403f9c
    0x1000          4          3         2         7         1        ok       0.000  0x005cd3800  0x000188000  0x00594b800        25688          21        25667  47c6/ce9d/f009/ccab75d020b9183804c853d27ad3
    0x1000          4          3         3        10         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          25        25663  f062/c8ab/3c6f/e69a155a4712e89612eeae9d521a
    0x1000          4          3         4        13         1        ok       0.000  0x005cd3800  0x00018c000  0x005947800        25688          29        25659  ffb6/eed5/3d4b/22226db499d634300186695fa40b
    0x1000          4          3         5        16         1        ok       0.000  0x005cd3800  0x00018e000  0x005945800        25688          33        25655  76f7/06c8/3c7e/e7b9d7938e558df1185d674c8510
    0x1000          4          3         6        19         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          37        25651  3a61/e9ce/2b54/9aca4fbd4e815ecfcbd0361db1ed
    0x1000          4          3         7        22         1        ok       0.000  0x005cd3800  0x000192000  0x005941800        25688          41        25647  ed6e/b6bb/3d02/a22930c9b891a6f09f3bbabd7f7a
    0x1000          4          3         8        25         1        ok       0.000  0x005cd3800  0x000194000  0x00593f800        25688          45        25643  37b9/75fe/820e/9f1d6ca4074d1b44c2dae7257257
    0x1000          4          3         9        28         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          49        25639  0223/03ab/220f/e33df4303d8c93d34870cfb1adb7
    0x1000          4          3        10        31         1        ok       0.000  0x005cd3800  0x000198000  0x00593b800        25688          53        25635  4f8b/1a6f/c691/57a99480fac6101e288f4b6cc1bf
