# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       4656/7fa2/41af/2206ebc3ac09892158f034fb7cfc
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          3
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:25:05.001375
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=03 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7383320 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          3         1         4         1        ok       0.000  0x005cd3800  0x000186000  0x00594d800        25688          17        25671  803f/f5cf/61b2/9e8b3e2fde89d1e69a6b1441608d
    0x1000          4          3         2         7         1        ok       0.000  0x005cd3800  0x000188000  0x00594b800        25688          21        25667  7531/ff25/2434/e4af0c4aa8daeb0cb99723584a2a
    0x1000          4          3         3        10         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          25        25663  955d/f5db/98e5/c5f7d1284ea62fbeaedd26367069
    0x1000          4          3         4        13         1        ok       0.000  0x005cd3800  0x00018c000  0x005947800        25688          29        25659  ac5c/6018/ef78/e7359171ffb3a8cfefb29350fd35
    0x1000          4          3         5        16         1        ok       0.000  0x005cd3800  0x00018e000  0x005945800        25688          33        25655  2db2/01bd/3633/811e675d4e33689ce96ea1fbb3d8
    0x1000          4          3         6        19         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          37        25651  8955/301b/758d/c760f7b10fc421ae28df0affe91e
    0x1000          4          3         7        22         1        ok       0.000  0x005cd3800  0x000192000  0x005941800        25688          41        25647  69e8/6bd4/d84d/8c1db5b709eb4f3957bd28659ac9
    0x1000          4          3         8        25         1        ok       0.000  0x005cd3800  0x000194000  0x00593f800        25688          45        25643  6ed3/e6d0/0ad9/1b9b55bc3cd948b9b8e4cdaeba45
    0x1000          4          3         9        28         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          49        25639  9778/18e7/192a/0d4eee0292c62089dc0cc2cb6e27
    0x1000          4          3        10        31         1        ok       0.000  0x005cd3800  0x000198000  0x00593b800        25688          53        25635  d03e/16a1/48aa/c145bf45c5a37182355b26a8c9cf
    0x1000          4          3        11        34         1        ok       0.000  0x005cd3800  0x00019a000  0x005939800        25688          57        25631  0ee4/79ed/1241/bfbbfce3dcb8ce4f78ada0a2826e
    0x1000          4          3        12        37         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          61        25627  6c55/6685/45ca/a11c89ed33961a4851ae514ccacd
    0x1000          4          3        13        40         1        ok       0.000  0x005cd3800  0x00019e000  0x005935800        25688          65        25623  fb38/389f/a65f/6fff642bd350af03bd549a8d6635
    0x1000          4          3        14        43         1        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          69        25619  8510/3a05/2a88/b6b24c33dbaf502484d1814abb8e
    0x1000          4          3        15        46         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          73        25615  c07b/3104/0426/847e6c698cbd83ccfabbd674ccd9
    0x1000          4          3        16        49         1        ok       0.000  0x005cd3800  0x0001a4000  0x00592f800        25688          77        25611  2836/447c/79e5/d1205e67c453571c1cbaa12808e1
    0x1000          4          3        17        52         1        ok       0.000  0x005cd3800  0x0001a6000  0x00592d800        25688          81        25607  0b3d/ff40/b54b/88b3e84df9bf9c4fea552282bd41
    0x1000          4          3        18        55         1        ok       0.000  0x005cd3800  0x0001a8000  0x00592b800        25688          85        25603  e5c4/822d/08ff/bb01dcbf94eeeb568de1dd9833a1
    0x1000          4          3        19        58         1        ok       0.000  0x005cd3800  0x0001aa000  0x005929800        25688          89        25599  4dfe/0311/a095/b2ea9e2f5b586da3194fa6aac65d
    0x1000          4          3        20        61         1        ok       0.000  0x005cd3800  0x0001ac000  0x005927800        25688          93        25595  31f7/b677/c908/970ddb86bbdf35fcd412d690cbf0
    0x1000          4          3        21        64         1        ok       0.000  0x005cd3800  0x0001ae000  0x005925800        25688          97        25591  3ad5/ccc5/8d53/b958793ac316af21bda8893aecae
    0x1000          4          3        22        67         1        ok       0.000  0x005cd3800  0x0001b0000  0x005923800        25688         101        25587  9e44/88ed/1231/ef96cdf880639e18ccc52c8e418a
    0x1000          4          3        23        70         1        ok       0.000  0x005cd3800  0x0001b2000  0x005921800        25688         105        25583  89da/fcc9/ed34/a10f21aa102ca11eb15d00c71d13
    0x1000          4          3        24        73         1        ok       0.000  0x005cd3800  0x0001b4000  0x00591f800        25688         109        25579  86f5/ab0b/c737/f12fc3343a27ac2a03e51100b555
