# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       9567/42d1/38c7/e100/d57c9b199750f8bcfbbf1997
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          4
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:24:09.017894
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=04 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7393600 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          4         1         5         1        ok       0.000  0x005cd3800  0x000186400  0x00594d400        25688          18        25670  372a/18ab/828b/ced1/16658e1dcc1065e6d542c521
    0x1000          4          4         2         9         1        ok       0.000  0x005cd3800  0x000188800  0x00594b000        25688          23        25665  86a7/9802/6f87/3449/1442ba9c89e248ba14375430
    0x1000          4          4         3        13         1        ok       0.000  0x005cd3800  0x00018ac00  0x005948c00        25688          28        25660  e6fd/c7f7/ca7e/d64a/32d28fb44500a6cae27b00f3
    0x1000          4          4         4        17         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          33        25655  1f20/2421/9307/6104/88ea2d0b24e288710e27a316
    0x1000          4          4         5        21         1        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          38        25650  446f/6d0e/20c7/b93e/541d1ae2e59cf96bfe907e0b
    0x1000          4          4         6        25         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          43        25645  a040/5f95/c4bc/df02/9b19382ce5f93b6eddc452b6
    0x1000          4          4         7        29         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          48        25640  46b0/ea41/3996/2de5/2495f11a6f6413ef03080632
    0x1000          4          4         8        33         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          53        25635  38ee/082c/8598/0938/00c3f310a73f5b2504dd782a
    0x1000          4          4         9        37         1        ok       0.000  0x005cd3800  0x000198400  0x00593b400        25688          58        25630  dd2a/6a4d/5791/cd9b/e2d336239b59172e73a7c7e3
    0x1000          4          4        10        41         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          63        25625  b70f/29ff/e3ba/94cf/67224360328edbfcffa1d214
    0x1000          4          4        11        45         1        ok       0.000  0x005cd3800  0x00019cc00  0x005936c00        25688          68        25620  f058/70a8/64a8/62d1/aced28c9e11218ce4b71fe82
    0x1000          4          4        12        49         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          73        25615  6304/1c1a/6089/8748/6db5770bf85deff52349fc19
    0x1000          4          4        13        53         1        ok       0.000  0x005cd3800  0x0001a1400  0x005932400        25688          78        25610  2a52/7c85/5183/1948/5b1132b9b8dafa51f21cb31a
    0x1000          4          4        14        57         1        ok       0.000  0x005cd3800  0x0001a3800  0x005930000        25688          83        25605  54ed/bacf/01f7/8ad0/1f752dd41c21d44e2c6e4431
    0x1000          4          4        15        61         1        ok       0.000  0x005cd3800  0x0001a5c00  0x00592dc00        25688          88        25600  8150/dcac/541a/ef4f/afbcea3ef9bd5e5c878d6bbf
    0x1000          4          4        16        65         1        ok       0.000  0x005cd3800  0x0001a8000  0x00592b800        25688          93        25595  a691/1cfe/4802/e13c/587778ade9cfd47043d067b8
    0x1000          4          4        17        69         1        ok       0.000  0x005cd3800  0x0001aa400  0x005929400        25688          98        25590  d2d2/6fe4/ee2d/1e30/9aa2cbc48bbce10f186be5aa
    0x1000          4          4        18        73         1        ok       0.000  0x005cd3800  0x0001ac800  0x005927000        25688         103        25585  3c10/d6d9/c676/8d10/00bb88fdee5638994c57c0cc
    0x1000          4          4        19        77         1        ok       0.000  0x005cd3800  0x0001aec00  0x005924c00        25688         108        25580  70f8/d1d4/09d4/71af/03b74c1a38bf9cbdd1817b5c
    0x1000          4          4        20        81         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688         113        25575  784b/73f3/ea7f/9f13/95879d6658ea13cd9c5b8d90
    0x1000          4          4        21        85         1        ok       0.000  0x005cd3800  0x0001b3400  0x005920400        25688         118        25570  ca16/bfc1/75be/9cff/7de82a9f162d9e6313bbd8ab
    0x1000          4          4        22        89         1        ok       0.000  0x005cd3800  0x0001b5800  0x00591e000        25688         123        25565  688b/b21c/c6dc/c53d/5ba41a22c046d29b2cb3b69b
    0x1000          4          4        23        93         1        ok       0.000  0x005cd3800  0x0001b7c00  0x00591bc00        25688         128        25560  0fa4/68da/6ce8/10fd/19c590a02ca5c8c1b9f8e1b0
    0x1000          4          4        24        97         1        ok       0.000  0x005cd3800  0x0001ba000  0x005919800        25688         133        25555  dd10/ce8b/f621/c500/01591e1273736d97ed872bc7
    0x1000          4          4        25       101         1        ok       0.000  0x005cd3800  0x0001bc400  0x005917400        25688         138        25550  114e/1435/99b4/50a1/3a4e644b96e9820488ace626
    0x1000          4          4        26       105         1        ok       0.000  0x005cd3800  0x0001be800  0x005915000        25688         143        25545  5546/e2d4/cc03/6bad/2a31d04a9ceb289060bbdac1
    0x1000          4          4        27       109         1        ok       0.000  0x005cd3800  0x0001c0c00  0x005912c00        25688         148        25540  7424/e1e3/f94e/806f/e26814ca66603319e228950c
    0x1000          4          4        28       113         1        ok       0.000  0x005cd3800  0x0001c3000  0x005910800        25688         153        25535  6421/8713/ef55/1443/96d459cb1e9892aa87b94b2a
    0x1000          4          4        29       117         1        ok       0.000  0x005cd3800  0x0001c5400  0x00590e400        25688         158        25530  6103/6a73/2c8b/167e/a565abf9ac221ce6ffed3628
    0x1000          4          4        30       121         1        ok       0.000  0x005cd3800  0x0001c7800  0x00590c000        25688         163        25525  9973/275d/2f83/a86e/8471052ac05ad02240d3b836
    0x1000          4          4        31       125         1        ok       0.000  0x005cd3800  0x0001c9c00  0x005909c00        25688         168        25520  eead/b0bf/4bf2/c841/67bc758bae12d2e4543eacc3
    0x1000          4          4        32       129         1        ok       0.000  0x005cd3800  0x0001cc000  0x005907800        25688         173        25515  afb0/8e32/3fe4/263b/542f5d40a4f530cd424206f1
    0x1000          4          4        33       133         1        ok       0.000  0x005cd3800  0x0001ce400  0x005905400        25688         178        25510  f0da/958a/7bb8/b0f2/49c9ba39326aa1674c295d53
    0x1000          4          4        34       137         1        ok       0.000  0x005cd3800  0x0001d0800  0x005903000        25688         183        25505  8273/0db7/0253/666e/320b5086bf99da7c6f964e2a
    0x1000          4          4        35       141         1        ok       0.000  0x005cd3800  0x0001d2c00  0x005900c00        25688         188        25500  9c18/8ed0/91c5/7b68/6b36b08d8c78b9550a2a3b46
    0x1000          4          4        36       145         1        ok       0.000  0x005cd3800  0x0001d5000  0x0058fe800        25688         193        25495  8882/5f37/968d/25c5/11e601a24e87c4150c809437
    0x1000          4          4        37       149         1        ok       0.000  0x005cd3800  0x0001d7400  0x0058fc400        25688         198        25490  cb31/6b0b/a862/53ca/5744412d6773c93eab5bf2ab
    0x1000          4          4        38       153         1        ok       0.000  0x005cd3800  0x0001d9800  0x0058fa000        25688         203        25485  4217/ea05/7dd4/07fe/5ad2246b91fe0e8c13e1d16a
    0x1000          4          4        39       157         1        ok       0.000  0x005cd3800  0x0001dbc00  0x0058f7c00        25688         208        25480  17da/1b83/2130/0bb2/676a253732781e8dd9b8ea63
    0x1000          4          4        40       161         1        ok       0.000  0x005cd3800  0x0001de000  0x0058f5800        25688         213        25475  8934/0e56/8cc2/e208/cb458fb6ddaf9596413c5024
    0x1000          4          4        41       165         1        ok       0.000  0x005cd3800  0x0001e0400  0x0058f3400        25688         218        25470  217e/9607/7c11/9e4d/b5c17a147d6cd9b654f241aa
    0x1000          4          4        42       169         1        ok       0.000  0x005cd3800  0x0001e2800  0x0058f1000        25688         223        25465  c054/38d0/ecde/8538/4dfc1e914e5fbb6968be8faa
    0x1000          4          4        43       173         1        ok       0.000  0x005cd3800  0x0001e4c00  0x0058eec00        25688         228        25460  a700/2383/55d7/5b65/32261a47eca3e391a288f8bf
    0x1000          4          4        44       177         1        ok       0.000  0x005cd3800  0x0001e7000  0x0058ec800        25688         233        25455  8114/5da7/1ac8/d998/aa6e212d70dde50def131bd8
    0x1000          4          4        45       181         1        ok       0.000  0x005cd3800  0x0001e9400  0x0058ea400        25688         238        25450  f65d/da9b/2b0c/1fd6/dd5cda40025483ff529c376c
    0x1000          4          4        46       185         1        ok       0.000  0x005cd3800  0x0001eb800  0x0058e8000        25688         243        25445  1ad5/d29f/b933/369e/860a7f270af2690678c9bef0
    0x1000          4          4        47       189         1        ok       0.000  0x005cd3800  0x0001edc00  0x0058e5c00        25688         248        25440  6d53/136f/56d2/b33a/9d969ec7c2f815c309ceb945
    0x1000          4          4        48       193         1        ok       0.000  0x005cd3800  0x0001f0000  0x0058e3800        25688         253        25435  6826/d7c4/442f/39ef/958beb638cd0ba172611d893
    0x1000          4          4        49       197         1        ok       0.000  0x005cd3800  0x0001f2400  0x0058e1400        25688         258        25430  f9a4/f93f/0d3d/46c4/0afd88a560141403d873de69
    0x1000          4          4        50       201         1        ok       0.000  0x005cd3800  0x0001f4800  0x0058df000        25688         263        25425  8aff/fcdd/f32d/6035/e6e3cfc7d90dfb89e836f4c0
    0x1000          4          4        51       205         1        ok       0.000  0x005cd3800  0x0001f6c00  0x0058dcc00        25688         268        25420  f362/2f63/c07a/12e2/3e36208a6d4c950a41968bb8
    0x1000          4          4        52       209         1        ok       0.000  0x005cd3800  0x0001f9000  0x0058da800        25688         273        25415  e0e0/f368/cd01/50bb/62c395e414ca1e1956f6a647
    0x1000          4          4        53       213         1        ok       0.000  0x005cd3800  0x0001fb400  0x0058d8400        25688         278        25410  5da2/4827/69ab/f65c/044d403cc04b135192d90837
    0x1000          4          4        54       217         1        ok       0.000  0x005cd3800  0x0001fd800  0x0058d6000        25688         283        25405  294d/601d/ca7a/d397/7313bbe2386b3490e1813b36
    0x1000          4          4        55       221         1        ok       0.000  0x005cd3800  0x0001ffc00  0x0058d3c00        25688         288        25400  d602/4d15/d939/1d67/65cc2f536dde7e77149b50a1
    0x1000          4          4        56       225         1        ok       0.000  0x005cd3800  0x000202000  0x0058d1800        25688         293        25395  9e08/d079/71e7/ae4f/232585a3d10dd2fa5df8796f
    0x1000          4          4        57       229         1        ok       0.000  0x005cd3800  0x000204400  0x0058cf400        25688         298        25390  3723/97a8/9bb8/bb56/fc19157863405d5e3d028328
    0x1000          4          4        58       233         1        ok       0.000  0x005cd3800  0x000206800  0x0058cd000        25688         303        25385  dd58/a832/2141/a77b/9e499d03aa47910cfb594caa
    0x1000          4          4        59       237         1        ok       0.000  0x005cd3800  0x000208c00  0x0058cac00        25688         308        25380  1b82/8866/584c/963e/8cecf151487c354b92949ec3
    0x1000          4          4        60       241         1        ok       0.000  0x005cd3800  0x00020b000  0x0058c8800        25688         313        25375  f4b6/1432/d9b9/5c59/47bad90b00152eb60d6ed631
    0x1000          4          4        61       245         1        ok       0.000  0x005cd3800  0x00020d400  0x0058c6400        25688         318        25370  093b/0751/cfe5/daf1/fc4954437485e78d246044bb
    0x1000          4          4        62       249         1        ok       0.000  0x005cd3800  0x00020f800  0x0058c4000        25688         323        25365  dafd/4471/592d/c328/8eaa2a2eaad26bc31bbf22c9
    0x1000          4          4        63       253         1        ok       0.000  0x005cd3800  0x000211c00  0x0058c1c00        25688         328        25360  1a49/bf6e/9961/5e64/3a87574004806ff12901731e
    0x1000          4          4        64       257         1        ok       0.000  0x005cd3800  0x000214000  0x0058bf800        25688         333        25355  0835/2cd6/0d1f/daa7/7d8f3ab14fe68f713beb8162
    0x1000          4          4        65       261         1        ok       0.000  0x005cd3800  0x000216400  0x0058bd400        25688         338        25350  390e/8eeb/e9f9/f857/26b7e36d55798cbd356a44b8
    0x1000          4          4        66       265         1        ok       0.000  0x005cd3800  0x000218800  0x0058bb000        25688         343        25345  b727/613f/55cf/b5e2/0485fad64aa3b479a846207c
    0x1000          4          4        67       269         1        ok       0.000  0x005cd3800  0x00021ac00  0x0058b8c00        25688         348        25340  5710/3008/8eb6/d8ab/b8edf4a6dc54b4d71077592b
    0x1000          4          4        68       273         1        ok       0.000  0x005cd3800  0x00021d000  0x0058b6800        25688         353        25335  59d2/b59e/30cb/ef33/fe1a04cdc78e6a032fbac10c
    0x1000          4          4        69       277         1        ok       0.000  0x005cd3800  0x00021f400  0x0058b4400        25688         358        25330  63f3/5971/a5a6/97fa/ffb5bc1caacc07c67d638411
    0x1000          4          4        70       281         1        ok       0.000  0x005cd3800  0x000221800  0x0058b2000        25688         363        25325  0ec8/e900/9389/bcdd/b109dd41f266c4f9a4dfd22d
    0x1000          4          4        71       285         1        ok       0.000  0x005cd3800  0x000223c00  0x0058afc00        25688         368        25320  008e/63d3/71aa/8275/226c1baf969fc2cbb2ed0368
    0x1000          4          4        72       289         1        ok       0.000  0x005cd3800  0x000226000  0x0058ad800        25688         373        25315  95cc/2630/7a37/a863/96d8218a13066b3244c9a4a1
    0x1000          4          4        73       293         1        ok       0.000  0x005cd3800  0x000228400  0x0058ab400        25688         378        25310  9276/72ad/cdae/28b0/9feb550b782e1d36e961ec01
    0x1000          4          4        74       297         1        ok       0.000  0x005cd3800  0x00022a800  0x0058a9000        25688         383        25305  faa2/6c86/27b0/e81a/acc2bc3457af0b965d445264
    0x1000          4          4        75       301         1        ok       0.000  0x005cd3800  0x00022cc00  0x0058a6c00        25688         388        25300  1e30/4339/a699/1e55/770b9604931c9297fe6c3cc8
    0x1000          4          4        76       305         1        ok       0.000  0x005cd3800  0x00022f000  0x0058a4800        25688         393        25295  bfa8/46c6/2280/b65c/587c543c51afb70285b860a0
    0x1000          4          4        77       309         1        ok       0.000  0x005cd3800  0x000231400  0x0058a2400        25688         398        25290  17e6/7e1c/9977/edaf/b85be5e3c219c3a7ec8d098f
    0x1000          4          4        78       313         1        ok       0.000  0x005cd3800  0x000233800  0x0058a0000        25688         403        25285  9e1d/506d/975d/3a9d/e37fb6879fbe16d5ce6b35b9
    0x1000          4          4        79       317         1        ok       0.000  0x005cd3800  0x000235c00  0x00589dc00        25688         408        25280  54c1/984e/75f6/535f/004f016b7f41fd95fffbe593
    0x1000          4          4        80       321         1        ok       0.000  0x005cd3800  0x000238000  0x00589b800        25688         413        25275  a211/5f1f/7fdb/5b72/465dcbc4864860a9e30a0e7f
    0x1000          4          4        81       325         1        ok       0.000  0x005cd3800  0x00023a400  0x005899400        25688         418        25270  a038/d215/c919/3f5d/63a516f354a97c00e4bb5370
    0x1000          4          4        82       329         1        ok       0.000  0x005cd3800  0x00023c800  0x005897000        25688         423        25265  c525/da70/2b88/c66a/2679c79a6024ef1a318621c0
