# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       cd40/290b/fa3d/0e0b/713b/07d577064e76cab746d9
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          5
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:26:02.109497
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=05 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7382352 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          5         1         6         1        ok       0.000  0x005cd3800  0x000186800  0x00594d000        25688          19        25669  ae72/951b/b78f/854d/643f/50144b7aa146df65f475
    0x1000          4          5         2        11         1        ok       0.000  0x005cd3800  0x000189000  0x00594a800        25688          25        25663  da25/8ae9/039e/1ff3/a24f/6408d9e1bb6f40b32c06
    0x1000          4          5         3        16         1        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          31        25657  1153/548f/a304/5aba/1f4f/d08a1e628ae29f9a6910
    0x1000          4          5         4        21         1        ok       0.000  0x005cd3800  0x00018e000  0x005945800        25688          37        25651  fa88/a5a2/98ae/3e51/9f72/0a83ebc08f0dafb27e71
    0x1000          4          5         5        26         1        ok       0.000  0x005cd3800  0x000190800  0x005943000        25688          43        25645  0ce6/641a/c619/8eec/bfb3/266e64a623f8939c5484
    0x1000          4          5         6        31         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          49        25639  a4e6/cda0/55ae/72bb/511b/5d5e9292c130071c5a87
    0x1000          4          5         7        36         1        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          55        25633  1aa9/aa2d/9838/6ffc/452a/831fa6302a1d41ee54c2
    0x1000          4          5         8        41         1        ok       0.000  0x005cd3800  0x000198000  0x00593b800        25688          61        25627  3426/f135/642a/4a7e/9146/65ec1fefba13f45e8835
    0x1000          4          5         9        46         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          67        25621  daee/1ef4/b1c1/4651/1b0c/521dbcfee3f09f297afa
    0x1000          4          5        10        51         1        ok       0.000  0x005cd3800  0x00019d000  0x005936800        25688          73        25615  c3da/4428/c1cc/d8df/7b37/b78c1f608eb1fc743c86
    0x1000          4          5        11        56         1        ok       0.000  0x005cd3800  0x00019f800  0x005934000        25688          79        25609  3fa9/8e18/b92e/24a4/1035/b5147910f363c00e2a45
    0x1000          4          5        12        61         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          85        25603  5545/79a1/a935/20eb/940c/74fe9671ad44f5419c05
    0x1000          4          5        13        66         1        ok       0.000  0x005cd3800  0x0001a4800  0x00592f000        25688          91        25597  2dff/3c7e/e551/f9e4/6083/12b9fd9c8620341a2398
    0x1000          4          5        14        71         1        ok       0.000  0x005cd3800  0x0001a7000  0x00592c800        25688          97        25591  55b5/92da/8b15/5c27/c7a9/31116107a589a129ecac
    0x1000          4          5        15        76         1        ok       0.000  0x005cd3800  0x0001a9800  0x00592a000        25688         103        25585  f942/32e9/54a3/b6dd/dd6e/7be836152320354a9db2
    0x1000          4          5        16        81         1        ok       0.000  0x005cd3800  0x0001ac000  0x005927800        25688         109        25579  b11f/cf2b/5596/89f8/529b/d118b973b96d24431551
    0x1000          4          5        17        86         1        ok       0.000  0x005cd3800  0x0001ae800  0x005925000        25688         115        25573  306a/db09/d081/b58b/f49d/a9c99a18d99c0eddab03
    0x1000          4          5        18        91         1        ok       0.000  0x005cd3800  0x0001b1000  0x005922800        25688         121        25567  cd4a/e583/30a7/b7b7/feb7/d2cdec69b40e579db55c
    0x1000          4          5        19        96         1        ok       0.000  0x005cd3800  0x0001b3800  0x005920000        25688         127        25561  0c7e/2e2f/b1a6/11b7/fa33/ba363f7e07ee7e116c47
    0x1000          4          5        20       101         1        ok       0.000  0x005cd3800  0x0001b6000  0x00591d800        25688         133        25555  3dd9/7144/717c/e4d7/a314/dd611a3dfe2535901189
    0x1000          4          5        21       106         1        ok       0.000  0x005cd3800  0x0001b8800  0x00591b000        25688         139        25549  4c6e/7cea/dba9/e324/cd31/9f932a9d04921407b19e
    0x1000          4          5        22       111         1        ok       0.000  0x005cd3800  0x0001bb000  0x005918800        25688         145        25543  bf66/27e7/5de7/9a44/1288/973903454894362482a9
    0x1000          4          5        23       116         1        ok       0.000  0x005cd3800  0x0001bd800  0x005916000        25688         151        25537  fb8d/99b2/4101/0602/98ad/ed12b7486469eb7a5213
    0x1000          4          5        24       121         1        ok       0.000  0x005cd3800  0x0001c0000  0x005913800        25688         157        25531  e045/a122/1cdc/eee5/5b61/c14d6b87fd32e140e451
    0x1000          4          5        25       126         1        ok       0.000  0x005cd3800  0x0001c2800  0x005911000        25688         163        25525  1da2/fa68/6e64/5def/ba64/778da348773ad4fe2605
    0x1000          4          5        26       131         1        ok       0.000  0x005cd3800  0x0001c5000  0x00590e800        25688         169        25519  f37c/925b/3fdb/0e77/d7e6/c1ba64e5e592cd4869a7
    0x1000          4          5        27       136         1        ok       0.000  0x005cd3800  0x0001c7800  0x00590c000        25688         175        25513  7b13/2cad/c6ab/438d/13e6/e23b968b64ab1bed872f
    0x1000          4          5        28       141         1        ok       0.000  0x005cd3800  0x0001ca000  0x005909800        25688         181        25507  0eaf/7959/784a/84d2/4ffb/39912ab48ce7e459a05b
    0x1000          4          5        29       146         1        ok       0.000  0x005cd3800  0x0001cc800  0x005907000        25688         187        25501  cbb4/32d3/e9cc/4e8d/7ed3/bed6872257d0bbf1f7b5
    0x1000          4          5        30       151         1        ok       0.000  0x005cd3800  0x0001cf000  0x005904800        25688         193        25495  6204/1aa6/d000/0027/c75a/d88706e70a49d73fed1c
    0x1000          4          5        31       156         1        ok       0.000  0x005cd3800  0x0001d1800  0x005902000        25688         199        25489  725b/cef0/135f/f398/24ed/7e13a53e204560ce3e9b
    0x1000          4          5        32       161         1        ok       0.000  0x005cd3800  0x0001d4000  0x0058ff800        25688         205        25483  cea4/3ec9/e304/26c8/c2c2/2f16979a02568880c8a2
    0x1000          4          5        33       166         1        ok       0.000  0x005cd3800  0x0001d6800  0x0058fd000        25688         211        25477  ade8/9bfd/e519/c654/49ac/f8c6bd2da9e940f70bd4
    0x1000          4          5        34       171         1        ok       0.000  0x005cd3800  0x0001d9000  0x0058fa800        25688         217        25471  f630/ac41/0d83/f9c1/f813/8db26b46395755bc8b27
    0x1000          4          5        35       176         1        ok       0.000  0x005cd3800  0x0001db800  0x0058f8000        25688         223        25465  80a9/34c6/4c88/1309/5f52/d8ba539b0b7cfe2025fc
