# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       4c94/1167/780f/c212/8f62/59df/bd94148254571b7c
# reformat_partition: /dev/murphytest04-vg/smalltest
# data_gen:           random
# dir_depth:          6
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:24:56.768266
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=06 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest04-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest04
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7393612 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest04--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          6         1         7         1        ok       0.000  0x005cd3800  0x000186c00  0x00594cc00        25688          20        25668  844f/2f48/867a/e1c1/4d5a/c474/b5cfd78468333fcc
    0x1000          4          6         2        13         1        ok       0.000  0x005cd3800  0x000189800  0x00594a000        25688          27        25661  70b3/584a/13a5/f6bf/3270/3cb0/815dd3047fcf3cfb
    0x1000          4          6         3        19         1        ok       0.000  0x005cd3800  0x00018c400  0x005947400        25688          34        25654  4fe3/b565/2693/ef29/8638/ac9d/ac668275483aad0e
    0x1000          4          6         4        25         1        ok       0.000  0x005cd3800  0x00018f000  0x005944800        25688          41        25647  c703/9893/40e0/e052/5810/cdfb/0e351131e43f54fd
    0x1000          4          6         5        31         1        ok       0.000  0x005cd3800  0x000191c00  0x005941c00        25688          48        25640  4a38/f438/f19c/98ad/8ea2/3dbc/1ed14eed949f0775
    0x1000          4          6         6        37         1        ok       0.000  0x005cd3800  0x000194800  0x00593f000        25688          55        25633  f6fd/b24a/feb8/a2da/8629/b281/2f4510fea95665c5
    0x1000          4          6         7        43         1        ok       0.000  0x005cd3800  0x000197400  0x00593c400        25688          62        25626  c7ec/c8dc/c929/9eeb/7447/1099/6a827a30a014740d
    0x1000          4          6         8        49         1        ok       0.000  0x005cd3800  0x00019a000  0x005939800        25688          69        25619  146b/0c91/1478/5919/5411/1991/b9a8aa19d19533c1
    0x1000          4          6         9        55         1        ok       0.000  0x005cd3800  0x00019cc00  0x005936c00        25688          76        25612  efb1/e2f7/2305/6ea5/fba9/f8f0/684bc7de0613f71d
    0x1000          4          6        10        61         1        ok       0.000  0x005cd3800  0x00019f800  0x005934000        25688          83        25605  a1a7/6667/3ad5/269e/3e29/1003/421365591b1d9e72
    0x1000          4          6        11        67         1        ok       0.000  0x005cd3800  0x0001a2400  0x005931400        25688          90        25598  dfb1/6933/81b5/e90c/243d/8087/86c0ed837b9fac95
    0x1000          4          6        12        73         1        ok       0.000  0x005cd3800  0x0001a5000  0x00592e800        25688          97        25591  ba0f/14ca/a57c/9f2f/509c/55bd/cd3e0d459812dffb
    0x1000          4          6        13        79         1        ok       0.000  0x005cd3800  0x0001a7c00  0x00592bc00        25688         104        25584  158b/7284/4356/e62b/8fc3/b29c/2776e7c51b979ea8
    0x1000          4          6        14        85         1        ok       0.000  0x005cd3800  0x0001aa800  0x005929000        25688         111        25577  69f0/3c0b/d257/c176/d8bd/e6c9/6d4fc5dd01e0dc70
    0x1000          4          6        15        91         1        ok       0.000  0x005cd3800  0x0001ad400  0x005926400        25688         118        25570  62da/2dc0/5a0a/9fd2/6113/e0ec/99a8af199e8834be
    0x1000          4          6        16        97         1        ok       0.000  0x005cd3800  0x0001b0000  0x005923800        25688         125        25563  5a6a/e723/1783/cb28/784b/d81d/d1dd8353894207e6
    0x1000          4          6        17       103         1        ok       0.000  0x005cd3800  0x0001b2c00  0x005920c00        25688         132        25556  9bfe/3c4d/f864/de6d/4b43/a2ad/e3eef07d370adce9
