# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       d036/9fd4/66f5/c0f9/7697/e40c/5e38/a5d06ee2fb52
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          7
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:26:43.793386
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=07 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7381300 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          7         1         8         1        ok       0.000  0x005cd3800  0x000187000  0x00594c800        25688          21        25667  e1bf/a185/eae0/7d61/a034/f7a6/3ee8/17b646b1637a
    0x1000          4          7         2        15         1        ok       0.000  0x005cd3800  0x00018a000  0x005949800        25688          29        25659  e1b1/8a50/8d4a/0456/846d/75d7/4d99/0a6fc1d87680
    0x1000          4          7         3        22         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          37        25651  6645/d7b1/ff42/60ab/4fdf/efad/8837/db756e77735b
    0x1000          4          7         4        29         1        ok       0.000  0x005cd3800  0x000190000  0x005943800        25688          45        25643  5770/3efa/b55f/6867/3491/8e8e/c56b/7c8d9bb4ef7f
    0x1000          4          7         5        36         1        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          53        25635  f533/d741/e343/984c/fa9d/4e85/c50f/ba7c64171ca5
    0x1000          4          7         6        43         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          61        25627  393a/2bc4/e3ad/15fa/c34c/8e8a/567a/14fd28dcb24b
    0x1000          4          7         7        50         1        ok       0.000  0x005cd3800  0x000199000  0x00593a800        25688          69        25619  ba93/9e13/f732/d345/2f3f/b591/bd14/11b123b7f9dc
    0x1000          4          7         8        57         1        ok       0.000  0x005cd3800  0x00019c000  0x005937800        25688          77        25611  c5d2/c6ab/c0b5/8c68/8c8f/da0f/ad68/15a41c518d25
    0x1000          4          7         9        64         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          85        25603  19dd/fd03/2c21/224c/3e0f/c071/4230/116117aa3330
    0x1000          4          7        10        71         1        ok       0.000  0x005cd3800  0x0001a2000  0x005931800        25688          93        25595  f6cd/9fc2/3a4b/51c2/654f/f51b/dd5f/6ede2c08229e
    0x1000          4          7        11        78         1        ok       0.000  0x005cd3800  0x0001a5000  0x00592e800        25688         101        25587  0da7/dcb0/0b10/70e7/6898/5716/12f7/b5cb484c4475
    0x1000          4          7        12        85         1        ok       0.000  0x005cd3800  0x0001a8000  0x00592b800        25688         109        25579  fbad/68ce/0638/523a/7a7f/4f34/9545/ddb680890f72
    0x1000          4          7        13        92         1        ok       0.000  0x005cd3800  0x0001ab000  0x005928800        25688         117        25571  70dd/9764/42c8/ef2b/9e5d/15c1/8ee5/f4eb276133ce
