# Simulating growing object file directories
# 
# dir_split:          4
# example_file:       ab95/3390/26a6/3372/e6ef/8359/e002/0432/78fbdf73
# reformat_partition: /dev/murphytest03-vg/smalltest
# data_gen:           random
# dir_depth:          8
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:27:01.328209
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=04 --dir-depth=08 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest03-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7380380 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          4          8         1         9         1        ok       0.000  0x005cd3800  0x000187400  0x00594c400        25688          22        25666  db6f/74c7/34b6/099a/d75b/7917/0fd3/683e/1ee6d832
    0x1000          4          8         2        17         1        ok       0.000  0x005cd3800  0x00018a800  0x005949000        25688          31        25657  28c2/c34c/7f9e/0c70/91dd/5439/55a1/517e/cc0c5a63
    0x1000          4          8         3        25         1        ok       0.000  0x005cd3800  0x00018dc00  0x005945c00        25688          40        25648  87dd/7cb5/7b47/b181/3193/ec05/2653/00f5/8bdc784e
    0x1000          4          8         4        33         1        ok       0.000  0x005cd3800  0x000191000  0x005942800        25688          49        25639  2abe/9aaa/b3c6/ecf9/aeed/3295/6cc3/3d4a/63074f9a
    0x1000          4          8         5        41         1        ok       0.000  0x005cd3800  0x000194400  0x00593f400        25688          58        25630  f6e1/1db7/759d/49c4/4166/4587/0b74/5d94/7e947b7f
    0x1000          4          8         6        49         1        ok       0.000  0x005cd3800  0x000197800  0x00593c000        25688          67        25621  d4ac/3620/ba55/d383/9773/e320/710e/4b01/31e3b114
    0x1000          4          8         7        57         1        ok       0.000  0x005cd3800  0x00019ac00  0x005938c00        25688          76        25612  e088/b632/94c9/0fac/b40e/16f5/3b51/3946/108abd63
    0x1000          4          8         8        65         1        ok       0.000  0x005cd3800  0x00019e000  0x005935800        25688          85        25603  0211/475b/12ff/c162/fd0b/1955/ce26/3a0b/1ebb21a3
    0x1000          4          8         9        73         1        ok       0.000  0x005cd3800  0x0001a1400  0x005932400        25688          94        25594  693e/e034/1c4e/98ec/dcdc/129a/81c1/b8f9/700bc308
    0x1000          4          8        10        81         1        ok       0.000  0x005cd3800  0x0001a4800  0x00592f000        25688         103        25585  6f30/b804/7c99/54e7/f849/d0cd/f260/937a/bf6f8af9
    0x1000          4          8        11        89         1        ok       0.000  0x005cd3800  0x0001a7c00  0x00592bc00        25688         112        25576  e833/eb16/48c8/fc48/1ea7/788d/6b1d/8c90/202c9199
    0x1000          4          8        12        97         1        ok       0.000  0x005cd3800  0x0001ab000  0x005928800        25688         121        25567  8fc1/3f4c/3628/e03d/e35b/b7f7/816d/1e67/c81b59da
    0x1000          4          8        13       105         1        ok       0.000  0x005cd3800  0x0001ae400  0x005925400        25688         130        25558  c594/d71f/a9bc/e2f1/7605/8b08/40a3/d331/f722c3de
    0x1000          4          8        14       113         1        ok       0.000  0x005cd3800  0x0001b1800  0x005922000        25688         139        25549  9f02/729a/c839/dd61/37d8/5904/559f/59fe/49e7d1b8
    0x1000          4          8        15       121         1        ok       0.000  0x005cd3800  0x0001b4c00  0x00591ec00        25688         148        25540  f3df/f80f/0d1a/c9f2/8e44/3c32/bf0a/b45a/51609507
    0x1000          4          8        16       129         1        ok       0.000  0x005cd3800  0x0001b8000  0x00591b800        25688         157        25531  953e/a9de/cf00/92a2/1c78/02a3/c76c/186a/03411882
    0x1000          4          8        17       137         1        ok       0.000  0x005cd3800  0x0001bb400  0x005918400        25688         166        25522  2199/a6d1/fdde/bab3/0667/fd1a/75b3/06db/87e6f7ef
    0x1000          4          8        18       145         1        ok       0.000  0x005cd3800  0x0001be800  0x005915000        25688         175        25513  51df/ec4c/2c29/3471/34e3/7bfe/b20a/67a1/4ef301b5
    0x1000          4          8        19       153         1        ok       0.000  0x005cd3800  0x0001c1c00  0x005911c00        25688         184        25504  127a/d259/faea/eed6/eb6b/4d02/be34/b16f/6e9184c3
    0x1000          4          8        20       161         1        ok       0.000  0x005cd3800  0x0001c5000  0x00590e800        25688         193        25495  6a72/b30a/db5c/2c70/ed92/2b44/9496/e1e1/9d48c163
    0x1000          4          8        21       169         1        ok       0.000  0x005cd3800  0x0001c8400  0x00590b400        25688         202        25486  eac0/f5aa/ac46/5f39/39bf/2bb6/4dbb/81a4/58aecfd1
    0x1000          4          8        22       177         1        ok       0.000  0x005cd3800  0x0001cb800  0x005908000        25688         211        25477  2885/14ee/6eff/74d0/14b8/93ca/a38f/dc23/3158c370
    0x1000          4          8        23       185         1        ok       0.000  0x005cd3800  0x0001cec00  0x005904c00        25688         220        25468  c10a/9784/3d26/69bb/6334/c13b/2460/e3fd/33527c55
    0x1000          4          8        24       193         1        ok       0.000  0x005cd3800  0x0001d2000  0x005901800        25688         229        25459  49d7/a95b/bf45/833b/7fa7/d131/f029/17c7/3f13ca41
    0x1000          4          8        25       201         1        ok       0.000  0x005cd3800  0x0001d5400  0x0058fe400        25688         238        25450  43c7/0ef9/b83e/dc46/4b71/8083/87aa/47af/c9b7398e
    0x1000          4          8        26       209         1        ok       0.000  0x005cd3800  0x0001d8800  0x0058fb000        25688         247        25441  0d9c/271c/a0a0/fa80/db7a/4979/4f29/6425/ff92b35f
    0x1000          4          8        27       217         1        ok       0.000  0x005cd3800  0x0001dbc00  0x0058f7c00        25688         256        25432  0900/a5bd/edbc/56db/4f10/c7a6/6c6c/b711/dbcdf6b6
