# Simulating growing object file directories
# 
# dir_split:          5
# example_file:       2f301/971d5/a75a6/ea8a3/59643ecbecc751a50e23
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          4
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:32:11.578840
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=05 --dir-depth=04 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7389668 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          5          4         1         5         1        ok       0.000  0x005cd3800  0x000186400  0x00594d400        25688          18        25670  7ea8c/f9878/34168/9e0c7/668098b25de9a1dbbdcd
    0x1000          5          4         2         9         1        ok       0.000  0x005cd3800  0x000188800  0x00594b000        25688          23        25665  01930/72acd/85a0d/1aede/17b912c07824333bcd72
    0x1000          5          4         3        13         1        ok       0.000  0x005cd3800  0x00018ac00  0x005948c00        25688          28        25660  53367/5f6d1/dc2c4/05e3b/29a19da4b961dc655dc9
    0x1000          5          4         4        17         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          33        25655  4e5bf/431e0/8fcda/c9fc9/8b92f01a298262d3bd4a
    0x1000          5          4         5        21         1        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          38        25650  cfa3e/fe485/41ba1/4e9ab/1f1e7ec5bb1000eeb29a
    0x1000          5          4         6        25         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          43        25645  a9b4d/6e7b3/32568/aa6a3/8422284e41f94d8aab9c
    0x1000          5          4         7        29         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          48        25640  ba70b/1546a/b91c4/96363/c75d337d0a64b14f9c81
    0x1000          5          4         8        33         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          53        25635  d1d66/b906e/284fe/bb582/408b71c3818eb88a85ca
    0x1000          5          4         9        37         1        ok       0.000  0x005cd3800  0x000198400  0x00593b400        25688          58        25630  6b1c9/b1003/6d413/0b175/1448d719cd093523458f
    0x1000          5          4        10        41         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          63        25625  6cbf1/ad04e/40d84/ae959/06f5b7d583e08ad0195d
    0x1000          5          4        11        45         1        ok       0.000  0x005cd3800  0x00019cc00  0x005936c00        25688          68        25620  267cd/3cab2/5f459/295cf/228b528bc22aab70b255
    0x1000          5          4        12        49         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          73        25615  bf850/76ef0/71198/2c2bd/abb54df0e35a102cefad
    0x1000          5          4        13        53         1        ok       0.000  0x005cd3800  0x0001a1400  0x005932400        25688          78        25610  24520/ea0b4/07a8b/75bf3/6e5acf81ee605e190d33
