# Simulating growing object file directories
# 
# dir_split:          6
# example_file:       d800ef/77681b/3531c2/f9abd9/3084038d62e7d53f
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          4
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T14:35:45.568565
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=06 --dir-depth=04 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   f71b540 FS test: Fix args bug
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7381644 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          6          4         1         5         1        ok       0.001  0x005cd3800  0x000186400  0x00594d400        25688          18        25670  cc474c/3d0f31/f7c7a6/3231d8/84edbff48210eb93
    0x1000          6          4         2         9         1        ok       0.000  0x005cd3800  0x000188800  0x00594b000        25688          23        25665  a8ffda/0089de/b27f4f/16e819/a5f769375bc2f9b8
    0x1000          6          4         3        13         1        ok       0.000  0x005cd3800  0x00018ac00  0x005948c00        25688          28        25660  cc3d42/5839ad/ffbd8b/52beab/dc33b26ea265936d
    0x1000          6          4         4        17         1        ok       0.000  0x005cd3800  0x00018d000  0x005946800        25688          33        25655  19c827/3bb389/51ea7e/a441fe/e3523b11904cefc0
    0x1000          6          4         5        21         1        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          38        25650  ad70f4/6fa1d7/dab17b/f0dc6d/216620dd1d432e45
    0x1000          6          4         6        25         1        ok       0.000  0x005cd3800  0x000191800  0x005942000        25688          43        25645  b7cf79/8d0062/6cbfd4/9ad5d8/05124589874b94ae
    0x1000          6          4         7        29         1        ok       0.000  0x005cd3800  0x000193c00  0x00593fc00        25688          48        25640  271a31/47b17e/7f2a89/93e539/f7d00f8f67ed48b8
    0x1000          6          4         8        33         1        ok       0.000  0x005cd3800  0x000196000  0x00593d800        25688          53        25635  529b17/a69ad0/cbc599/95ee65/40f0e3e4ad218908
    0x1000          6          4         9        37         1        ok       0.000  0x005cd3800  0x000198400  0x00593b400        25688          58        25630  373379/ed74ce/8b2700/bea528/f9a4b0b8cfabfed3
    0x1000          6          4        10        41         1        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          63        25625  14553a/c1efd2/8bf3a3/b7425a/c7876170e6818723
    0x1000          6          4        11        45         1        ok       0.000  0x005cd3800  0x00019cc00  0x005936c00        25688          68        25620  bfb4ad/9d4805/a7b0a3/e5c910/bf2c28574312ac47
    0x1000          6          4        12        49         1        ok       0.000  0x005cd3800  0x00019f000  0x005934800        25688          73        25615  937663/8a375e/7d8651/24318c/fc6a449c91b26ca6
