# Committing increasingly large files
# 
# vcs:         bup
# vcs_version: debian/0.25-1
# data_gen:    random
# 
# date:          2016-10-15T13:18:00.519953
# commandline:   ./increasing_file_size.py bup 0 39 --mag-step=2 --data-gen=random --tmp=/test
# testversion:   117369b Properly detect large files in Bup commits
# hostname:      murphytest01
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7525604 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest01--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filebytes  filesize  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo   c2_time       c2_size   c2_cmd    c2_ver   c2_repo   gc_time       gc_size   gc_cmd   gc_repo
  0  0x0000000001      1.0B     0.000     0.572  0x0000024000       ok  verified   assumed     0.997  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  0  0x0000000001      1.0B     0.000     0.907  0x0000024000       ok  verified   assumed     0.988  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  1  0x0000000002      2.0B     0.000     0.912  0x0000024000       ok  verified   assumed     1.011  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  1  0x0000000003      3.0B     0.000     0.903  0x0000024000       ok  verified   assumed     0.991  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  2  0x0000000004      4.0B     0.000     0.870  0x0000024000       ok  verified   assumed     0.993  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  2  0x0000000006      6.0B     0.000     0.932  0x0000024000       ok  verified   assumed     0.987  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  3  0x0000000008      8.0B     0.000     0.904  0x0000024000       ok  verified   assumed     0.992  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  3  0x000000000c     12.0B     0.000     0.918  0x0000024000       ok  verified   assumed     0.988  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  4  0x0000000010     16.0B     0.000     0.913  0x0000024000       ok  verified   assumed     1.004  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  4  0x0000000018     24.0B     0.000     0.911  0x0000024000       ok  verified   assumed     0.999  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  5  0x0000000020     32.0B     0.000     0.907  0x0000024000       ok  verified   assumed     0.985  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  5  0x0000000030     48.0B     0.000     0.915  0x0000024000       ok  verified   assumed     1.000  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  6  0x0000000040     64.0B     0.000     0.918  0x0000024000       ok  verified   assumed     0.994  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  6  0x0000000060     96.0B     0.000     0.917  0x0000024000       ok  verified   assumed     0.982  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  7  0x0000000080    128.0B     0.000     0.920  0x0000024000       ok  verified   assumed     1.004  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  7  0x00000000c0    192.0B     0.000     0.906  0x0000024000       ok  verified   assumed     0.987  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  8  0x0000000100    256.0B     0.000     0.923  0x0000024000       ok  verified   assumed     1.001  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  8  0x0000000180    384.0B     0.000     0.891  0x0000024000       ok  verified   assumed     1.028  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  9  0x0000000200    512.0B     0.000     0.887  0x0000024000       ok  verified   assumed     0.998  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
  9  0x0000000300    768.0B     0.000     0.912  0x0000024000       ok  verified   assumed     0.994  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
 10  0x0000000400    1.0KiB     0.000     0.914  0x0000024000       ok  verified   assumed     1.004  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
 10  0x0000000600    1.5KiB     0.000     0.909  0x0000024000       ok  verified   assumed     0.993  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
 11  0x0000000800    2.0KiB     0.000     0.916  0x0000024000       ok  verified   assumed     0.992  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
 11  0x0000000c00    3.0KiB     0.000     0.905  0x0000024000       ok  verified   assumed     1.013  0x0000026000       ok  verified   assumed     0.000  0x0000026000       ok   assumed
 12  0x0000001000    4.0KiB     0.000     0.901  0x0000025000       ok  verified   assumed     1.004  0x0000027000       ok  verified   assumed     0.000  0x0000027000       ok   assumed
