# Committing increasingly large numbers of files
# 
# reformat_partition: /dev/murphytest02-vg/test
# vcs:                git
# vcs_version:        git version 2.1.4
# each_file_size:     0x400 bytes (1.0KiB)
# data_gen:           random
# 
# date:          2016-10-18T19:56:59.300608
# commandline:   ./increasing_number_of_files.py git 0 11 --mag-step=4 --data-gen=random --tmp=/test --reformat-partition /dev/murphytest02-vg/test
# testversion:   f01eee6 Fix magnitude/steps for base-10
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7803380 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filecount    totalbytes  cre_time   c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait  stat1_time  stat1_cmd  stat2_time  stat2_cmd   c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait  cleanup_time
  0             1  0x0000000400     0.000     0.007  0x000002b000       ok  verified   assumed           0           0           1           0           0       0.002         ok       0.002         ok     0.022  0x0000033000       ok  verified   assumed           0           0           0           2           2         3.164
  0             2  0x0000000800     0.000     0.005  0x000002e000       ok  verified   assumed           0           0           1           1           0       0.002         ok       0.012         ok     0.005  0x0000036000       ok  verified   assumed           0           0           0           0           0         3.003
  0             4  0x0000001000     0.001     0.006  0x0000034000       ok  verified   assumed           0           0           1           0           0       0.002         ok       0.002         ok     0.006  0x000003c000       ok  verified   assumed           0           0           1           0           0         2.770
  0             6  0x0000001800     0.001     0.006  0x0000039000       ok  verified   assumed           0           0           0           0           0       0.003         ok       0.003         ok     0.007  0x0000041000       ok  verified   assumed           0           0           1           1           0         2.772
  1            10  0x0000002800     0.001     0.007  0x0000046000       ok  verified   assumed           0           0           0           1           0       0.003         ok       0.003         ok     0.008  0x000004e000       ok  verified   assumed           0           0           1           1           0         2.817
  1            25  0x0000006400     0.003     0.010  0x0000071000       ok  verified   assumed           0           0           2           1           0       0.003         ok       0.003         ok     0.008  0x000007a000       ok  verified   assumed           0           0           1           1           0         2.849
  1            50  0x000000c800     0.006     0.014  0x00000ba000       ok  verified   assumed           1           0           2           1           0       0.003         ok       0.010         ok     0.007  0x00000c6000       ok  verified   assumed           0           0           0           1           0         2.742
  1            75  0x0000012c00     0.009     0.019  0x0000102000       ok  verified   assumed           1           0           0           2           0       0.003         ok       0.004         ok     0.012  0x000010f000       ok  verified   assumed           1           0           1           1           0         2.967
  2           100  0x0000019000     0.012     0.023  0x0000145000       ok  verified   assumed           1           0           2           3           0       0.003         ok       0.003         ok     0.009  0x0000156000       ok  verified   assumed           0           0           1           2           0         2.878
  2           250  0x000003e800     0.034     0.056  0x00002fc000       ok  verified   assumed           2           0           3           6           0       0.005         ok       0.019         ok     0.020  0x0000326000       ok  verified   assumed           1           0           1           2           0         2.907
  2           500  0x000007d000     0.059     0.102  0x000055d000       ok  verified   assumed           3           0           8          10           0       0.008         ok       0.011         ok     0.027  0x00005a7000       ok  verified   assumed           1           0           2           1           2         2.905
  2           750  0x00000bb800     0.089     0.147  0x00007a0000       ok  verified   assumed           8           0           6          14           0       0.010         ok       0.012         ok     0.036  0x0000803000       ok  verified   assumed           2           0           2           2           1         2.969
  3          1000  0x00000fa000     0.123     0.191  0x00009cd000       ok  verified   assumed          10           0          10          18           0       0.014         ok       0.016         ok     0.049  0x0000a52000       ok  verified   assumed           2           0           3           6           0         3.050
  3          2500  0x0000271000     0.294     0.427  0x0001514000       ok  verified   assumed          28           0          17          41           0       0.027         ok       0.027         ok     0.086  0x00015cd000       ok  verified   assumed           6           0           3           8           0         3.169
  3          5000  0x00004e2000     0.578     0.784  0x0002904000       ok  verified   assumed          45           0          37          74           2       0.013         ok       0.019         ok     0.109  0x0002a72000       ok  verified   assumed           7           0           6          10           0         3.218
  3          7500  0x0000753000     0.869     1.180  0x0003cf4000       ok  verified   assumed          64           0          57         109           4       0.018         ok       0.027         ok     0.153  0x0003f17000       ok  verified   assumed           9           0           6          14           0         3.418
