# Committing increasingly large numbers of files
# 
# reformat_partition: /dev/murphytest03-vg/test
# vcs:                bup
# vcs_version:        debian/0.25-1
# each_file_size:     0x400 bytes (1.0KiB)
# data_gen:           random
# 
# date:          2016-10-24T09:48:29.908056
# commandline:   ./increasing_number_of_files.py bup 0 7 --mag-step=4 --data-gen=random --tmp=/test --reformat-partition /dev/murphytest03-vg/test
# testversion:   b170c9a Give the time columns an extra digit
# hostname:      murphytest03
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7697788 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest03--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filecount    totalbytes   cre_time    c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait  stat1_time  stat1_cmd  stat2_time  stat2_cmd    c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait  cleanup_time
  0             1  0x0000000400      0.000      0.978  0x0000025000       ok  verified   assumed          20           0           7         154          14       1.709         ok       1.969         ok      1.218  0x0000027000       ok  verified   assumed          19           0           9         214           2         3.206
  0             2  0x0000000800      0.000      0.507  0x0000026000       ok  verified   assumed          22           0           7          46          27       1.762         ok       2.001         ok      1.202  0x0000028000       ok  verified   assumed          19           0           9         212           2         2.947
  0             4  0x0000001000      0.001      0.947  0x0000029000       ok  verified   assumed          21           0           5         157           6       1.775         ok       2.004         ok      1.205  0x000002b000       ok  verified   assumed          23           0           5         208           4         2.855
  0             6  0x0000001800      0.001      1.028  0x000002b000       ok  verified   assumed          20           0           7         175           4       1.777         ok       2.000         ok      1.219  0x000002d000       ok  verified   assumed          22           0           6         212           4         2.811
  1            10  0x0000002800      0.001      1.023  0x0000030000       ok  verified   assumed          20           0           8         173           4       1.773         ok       1.993         ok      1.217  0x0000032000       ok  verified   assumed          19           0           9         213           2         2.837
  1            25  0x0000006400      0.003      1.053  0x0000043000       ok  verified   assumed          19           0           8         179           4       1.764         ok       1.999         ok      1.246  0x0000045000       ok  verified   assumed          22           0           7         217           4         2.872
  1            50  0x000000c800      0.009      1.005  0x0000064000       ok  verified   assumed          20           0           8         168           4       1.740         ok       1.997         ok      1.284  0x0000067000       ok  verified   assumed          24           0           4         220           8         2.836
  1            75  0x0000012c00      0.009      1.006  0x0000084000       ok  verified   assumed          24           0           8         166           4       1.725         ok       2.000         ok      1.267  0x0000087000       ok  verified   assumed          21           0           9         219           3         2.906
  2           100  0x0000019000      0.015      0.952  0x00000a6000       ok  verified   assumed          25           0           8         150           7       1.719         ok       1.999         ok      1.267  0x00000aa000       ok  verified   assumed          26           0           6         219           2         2.804
  2           250  0x000003e800      0.033      1.125  0x0000184000       ok  verified   assumed          35           0           8         178           5       1.636         ok       1.999         ok      1.345  0x000018b000       ok  verified   assumed          28           0          11         227           3         2.893
