# Simulating growing object file directories
# 
# dir_split:          0
# example_file:       //efc6f22e72f9b6627f9ca78d3886a430cd2b3837
# reformat_partition: /dev/murphytest02-vg/smalltest
# data_gen:           random
# dir_depth:          2
# each_file_size:     0x1000 bytes (4.0KiB)
# 
# date:          2017-03-22T13:39:53.584879
# commandline:   ./filesystem_limit_micro.py --each-file-size=4096 --dir-split=00 --dir-depth=02 --data-gen random --tmp=/smalltest --reformat-partition /dev/murphytest02-vg/smalltest
# testversion:   2c8c8af FS test: Create multi-run script
# hostname:      murphytest02
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7484376 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 1998.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                              Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest02--vg-smalltest   93M  1.6M   90M   2% /smalltest
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
each_bytes  dir_split  dir_depth     f_num      dirs   d_f_num  write_ok  write_time     df_total      df_used     df_avail  inode_total  inode_used  inode_avail  path
    0x1000          0          2         1         1         1        ok       0.000  0x005cd3800  0x000185400  0x00594e400        25688          14        25674  //01bcf88aab9550503bc4820da82085c8b962b20c
    0x1000          0          2         2         1         2        ok       0.000  0x005cd3800  0x000186800  0x00594d000        25688          15        25673  //0ea997a303ec5425f89f1750b3504755fba7bc9f
    0x1000          0          2         3         1         3        ok       0.000  0x005cd3800  0x000187c00  0x00594bc00        25688          16        25672  //a842cadf6f2ec368081e62a67d62d81085d86dd0
    0x1000          0          2         4         1         4        ok       0.000  0x005cd3800  0x000189000  0x00594a800        25688          17        25671  //d7053d89474bb6cd7ffd1b0afcd9d21531457f2f
    0x1000          0          2         5         1         5        ok       0.000  0x005cd3800  0x00018a400  0x005949400        25688          18        25670  //c33d7ef2f5e05fed339d5637098532129ec08342
    0x1000          0          2         6         1         6        ok       0.000  0x005cd3800  0x00018b800  0x005948000        25688          19        25669  //1fa52a994e290484d8f42d344bc9957194305632
    0x1000          0          2         7         1         7        ok       0.000  0x005cd3800  0x00018cc00  0x005946c00        25688          20        25668  //2b7a45c68acba8f233deeab85860f7a894bfbd4a
    0x1000          0          2         8         1         8        ok       0.000  0x005cd3800  0x00018e000  0x005945800        25688          21        25667  //05538e76bf83fa8c6f9f3cb1b2a9f359b92aee97
    0x1000          0          2         9         1         9        ok       0.000  0x005cd3800  0x00018f400  0x005944400        25688          22        25666  //a765d62455e53631afe1004d956957913c93a8eb
    0x1000          0          2        10         1        10        ok       0.000  0x005cd3800  0x000190800  0x005943000        25688          23        25665  //94eb69ecee26032a6e8987904876c809b8a63d08
    0x1000          0          2        11         1        11        ok       0.000  0x005cd3800  0x000191c00  0x005941c00        25688          24        25664  //c803fdef5eeee0fed9248faf63d832040e63b378
    0x1000          0          2        12         1        12        ok       0.000  0x005cd3800  0x000193000  0x005940800        25688          25        25663  //4a6395854b99342250a7ad51624cd3b507ce2e18
    0x1000          0          2        13         1        13        ok       0.000  0x005cd3800  0x000194400  0x00593f400        25688          26        25662  //54f018a5ad98d1a3936a1b30e8cb2033594568a2
    0x1000          0          2        14         1        14        ok       0.000  0x005cd3800  0x000195800  0x00593e000        25688          27        25661  //722022fc3954c1a13e31b7d74efede858fb4978b
    0x1000          0          2        15         1        15        ok       0.000  0x005cd3800  0x000196c00  0x00593cc00        25688          28        25660  //bf223fdaf15286893290f0de32ed3a4f18ff5292
    0x1000          0          2        16         1        16        ok       0.000  0x005cd3800  0x000198000  0x00593b800        25688          29        25659  //3b4754049b22fafecfcf9a77b3345c7d28479408
    0x1000          0          2        17         1        17        ok       0.000  0x005cd3800  0x000199400  0x00593a400        25688          30        25658  //e9c60f18f32caaae2f81a23fc676d44e8104962b
    0x1000          0          2        18         1        18        ok       0.000  0x005cd3800  0x00019a800  0x005939000        25688          31        25657  //e1e132c48508b5d80230772a10df6fcc432ad762
    0x1000          0          2        19         1        19        ok       0.000  0x005cd3800  0x00019bc00  0x005937c00        25688          32        25656  //94611c56288a19e3b899420844b85a76d0778de9
    0x1000          0          2        20         1        20        ok       0.000  0x005cd3800  0x00019d000  0x005936800        25688          33        25655  //0897685e81a44093242116e7b861aac17deb8a04
    0x1000          0          2        21         1        21        ok       0.000  0x005cd3800  0x00019ec00  0x005934c00        25688          34        25654  //446851f31b3c07c7231378739079035d6a5b96fb
    0x1000          0          2        22         1        22        ok       0.000  0x005cd3800  0x0001a0000  0x005933800        25688          35        25653  //79d6e7f4001c2c5e740c766acfa8c4d8bf117e24
    0x1000          0          2        23         1        23        ok       0.000  0x005cd3800  0x0001a1400  0x005932400        25688          36        25652  //36cd149e742b7f3dc1d2b611ee22e9998a375411
    0x1000          0          2        24         1        24        ok       0.000  0x005cd3800  0x0001a2800  0x005931000        25688          37        25651  //139e8076c3217651b7d02ffc717fff7cc966240b
    0x1000          0          2        25         1        25        ok       0.000  0x005cd3800  0x0001a3c00  0x00592fc00        25688          38        25650  //600a04abdb0ae721a707e2397f3e70e44adebde8
    0x1000          0          2        26         1        26        ok       0.000  0x005cd3800  0x0001a5000  0x00592e800        25688          39        25649  //f247e91a589af2c59056f9e994f6399a11f4570b
    0x1000          0          2        27         1        27        ok       0.000  0x005cd3800  0x0001a6400  0x00592d400        25688          40        25648  //247ee6fcd4d5c360b3452a6bfefc52468ba09825
    0x1000          0          2        28         1        28        ok       0.000  0x005cd3800  0x0001a7800  0x00592c000        25688          41        25647  //9931afdcfcf3cd0d373b3f691c1e4191ce07b163
    0x1000          0          2        29         1        29        ok       0.000  0x005cd3800  0x0001a8c00  0x00592ac00        25688          42        25646  //6e5d40003787620c9aee54d5986e6fd5fd1c1202
    0x1000          0          2        30         1        30        ok       0.000  0x005cd3800  0x0001aa000  0x005929800        25688          43        25645  //a54c691a7a8a6312c0a065f113049cdb77a64a29
    0x1000          0          2        31         1        31        ok       0.000  0x005cd3800  0x0001ab400  0x005928400        25688          44        25644  //55e7dbcf53000d987cd509d5b85e38ae3aacd94e
    0x1000          0          2        32         1        32        ok       0.000  0x005cd3800  0x0001ac800  0x005927000        25688          45        25643  //ecf0ff4b4267a8601b38708d723ff464c4a08816
    0x1000          0          2        33         1        33        ok       0.000  0x005cd3800  0x0001adc00  0x005925c00        25688          46        25642  //223f71d0fa660cd77b73a3356b76a5d8f0a0aadc
    0x1000          0          2        34         1        34        ok       0.000  0x005cd3800  0x0001af000  0x005924800        25688          47        25641  //73c26cdb228936bc4bcf882407f859c59b9e225d
    0x1000          0          2        35         1        35        ok       0.000  0x005cd3800  0x0001b0400  0x005923400        25688          48        25640  //be2f7ea00b67ba227ff278f03c6f64fd083559a0
    0x1000          0          2        36         1        36        ok       0.000  0x005cd3800  0x0001b1800  0x005922000        25688          49        25639  //8558f408ef0f5be0c9847217b38b7bf509aff1e6
    0x1000          0          2        37         1        37        ok       0.000  0x005cd3800  0x0001b2c00  0x005920c00        25688          50        25638  //a0a2a410cf5924c2b9ddcb846e9d6df6b8bff556
    0x1000          0          2        38         1        38        ok       0.000  0x005cd3800  0x0001b4000  0x00591f800        25688          51        25637  //706a97508ac54c70e8a5a5f58d1cf193287158a0
    0x1000          0          2        39         1        39        ok       0.000  0x005cd3800  0x0001b5400  0x00591e400        25688          52        25636  //58c84bc87d1ae7d301f579caa6281ba730a184ed
    0x1000          0          2        40         1        40        ok       0.000  0x005cd3800  0x0001b6c00  0x00591cc00        25688          53        25635  //279af6aba6d332f4b900686edebe4cd855a09a8b
    0x1000          0          2        41         1        41        ok       0.000  0x005cd3800  0x0001b8000  0x00591b800        25688          54        25634  //c8a7290e19af6b786602bb202cfb780e08f45b82
    0x1000          0          2        42         1        42        ok       0.000  0x005cd3800  0x0001b9400  0x00591a400        25688          55        25633  //d92418dba9a0e9301bfbf5272418b5f4d3b15c71
    0x1000          0          2        43         1        43        ok       0.000  0x005cd3800  0x0001ba800  0x005919000        25688          56        25632  //7597e3b737512d42a7c509c46c6575e4fcdbc80d
    0x1000          0          2        44         1        44        ok       0.000  0x005cd3800  0x0001bbc00  0x005917c00        25688          57        25631  //1e474017f80e4e00bf516248f2c5aab3c2910ab0
    0x1000          0          2        45         1        45        ok       0.000  0x005cd3800  0x0001bd400  0x005916400        25688          58        25630  //369a83f9a03160c28ce92259144116b3b584ded6
    0x1000          0          2        46         1        46        ok       0.000  0x005cd3800  0x0001be800  0x005915000        25688          59        25629  //41e4fb697b2bc820e91935f2f0ddfbac465c8f5a
    0x1000          0          2        47         1        47        ok       0.000  0x005cd3800  0x0001bfc00  0x005913c00        25688          60        25628  //34a061d702aa9ba2b64cc95d10d89b0e9b3f517f
    0x1000          0          2        48         1        48        ok       0.000  0x005cd3800  0x0001c1000  0x005912800        25688          61        25627  //39511d6075514f2e3c5c0cdb38096677792ebca7
    0x1000          0          2        49         1        49        ok       0.000  0x005cd3800  0x0001c2400  0x005911400        25688          62        25626  //85a6e919cb296f2f4ce996484ffc6ec4ad41b71e
    0x1000          0          2        50         1        50        ok       0.000  0x005cd3800  0x0001c3800  0x005910000        25688          63        25625  //094172db07c09990b1eb75cf4a3bef63640f67da
    0x1000          0          2        51         1        51        ok       0.000  0x005cd3800  0x0001c4c00  0x00590ec00        25688          64        25624  //49a5d15e74469b922f6bd1da9bb11a36074bcb58
    0x1000          0          2        52         1        52        ok       0.000  0x005cd3800  0x0001c6000  0x00590d800        25688          65        25623  //6f25bea5af80c941c6a0c94fa94bdaee11521f60
    0x1000          0          2        53         1        53        ok       0.000  0x005cd3800  0x0001c7400  0x00590c400        25688          66        25622  //920bf614e6c62e732da6c5219cbf97103f829c8b
    0x1000          0          2        54         1        54        ok       0.000  0x005cd3800  0x0001c8800  0x00590b000        25688          67        25621  //1b2e2b0c2bb2168033914b7eb8503789e11349d4
    0x1000          0          2        55         1        55        ok       0.000  0x005cd3800  0x0001c9c00  0x005909c00        25688          68        25620  //2b02180c8f08a693780f2638d3a15bb120745377
    0x1000          0          2        56         1        56        ok       0.000  0x005cd3800  0x0001cb000  0x005908800        25688          69        25619  //e0857812d059440808f44e70c90b133cade30357
    0x1000          0          2        57         1        57        ok       0.000  0x005cd3800  0x0001cc400  0x005907400        25688          70        25618  //dec4c8f0c98407f139120aa0f27eefb812c054c3
    0x1000          0          2        58         1        58        ok       0.000  0x005cd3800  0x0001cd800  0x005906000        25688          71        25617  //9bacbf3de514bea734748a9f797163f8873a1d13
    0x1000          0          2        59         1        59        ok       0.000  0x005cd3800  0x0001cec00  0x005904c00        25688          72        25616  //e2d37183c45cabdd09788eb02c5dd235e3b1eef6
    0x1000          0          2        60         1        60        ok       0.000  0x005cd3800  0x0001d0000  0x005903800        25688          73        25615  //b31d5487a7bcb0a00e1757d959798024a2dc9bb0
    0x1000          0          2        61         1        61        ok       0.000  0x005cd3800  0x0001d1800  0x005902000        25688          74        25614  //edbb2eb67a243ba7258e4a4dbd0332b57a002652
    0x1000          0          2        62         1        62        ok       0.000  0x005cd3800  0x0001d2c00  0x005900c00        25688          75        25613  //02fb15d4757b0a01df990e093aa84fce05bf610e
    0x1000          0          2        63         1        63        ok       0.000  0x005cd3800  0x0001d4000  0x0058ff800        25688          76        25612  //a0d34931004401218e9144792abc95b83b4fdb3a
    0x1000          0          2        64         1        64        ok       0.000  0x005cd3800  0x0001d5400  0x0058fe400        25688          77        25611  //5c3e16b0e6dddfdabed66b960e045ae035463ac4
    0x1000          0          2        65         1        65        ok       0.000  0x005cd3800  0x0001d6800  0x0058fd000        25688          78        25610  //3f284fdc3ce104d72e225b90a9a3f9b32eef4fc0
    0x1000          0          2        66         1        66        ok       0.000  0x005cd3800  0x0001d7c00  0x0058fbc00        25688          79        25609  //19fb8a86e7f7aa69e6d0f25293d64f07aa35462f
    0x1000          0          2        67         1        67        ok       0.000  0x005cd3800  0x0001d9000  0x0058fa800        25688          80        25608  //eaaf81f3aed7deac9fccd9e08dcbb53594bfd219
    0x1000          0          2        68         1        68        ok       0.000  0x005cd3800  0x0001da400  0x0058f9400        25688          81        25607  //16c01b9ff800a3f7e6b887e8865b8cefffcccf6a
    0x1000          0          2        69         1        69        ok       0.000  0x005cd3800  0x0001db800  0x0058f8000        25688          82        25606  //28d6ef2cf5bbd04687c5759ef83f7c8b17ae38cf
    0x1000          0          2        70         1        70        ok       0.000  0x005cd3800  0x0001dcc00  0x0058f6c00        25688          83        25605  //a15a3d278f6fd4437cb4c402e1e3a40ebb9676bc
